:ID,name
place_unspecified_early_childhood_setting/5f84282d,Unspecified early childhood setting
place_unspecified_early_childhood_setting/5ae5fdfa,Unspecified early childhood setting
place_unspecified_community_setting/c36e48b9,Unspecified community setting
place_narrative_present_(unspecified_location)/505511b2,Narrative present (unspecified location)
place_graveyard/24b5ea0a,Graveyard
place_family_home_(implied)/c2faf88b,Family home (implied)
place_unspecified_village_location/933a3329,Unspecified village location
place_throughout_philip’s_life_up_to_narration_point/34b12c58,Throughout Philip’s life up to narration point
place_throughout_philip’s_life_up_to_narration_point/9411044b,Throughout Philip’s life up to narration point
place_throughout_philip’s_life_up_to_narration_point/70b254f4,Throughout Philip’s life up to narration point
place_narrative_present_(unspecified_location)/90dbec32,Narrative present (unspecified location)
"place_graveyard_(implied,_by_the_tombstones)/474d0803","Graveyard (implied, by the tombstones)"
place_graveyard/705a8fe0,Graveyard
"place_graveyard,_at_father’s_tombstone/9c9201d0","Graveyard, at father’s tombstone"
place_graveyard/6a1070ed,Graveyard
"place_graveyard,_at_mother’s_portion_of_the_tombstone/444b37c2","Graveyard, at mother’s portion of the tombstone"
place_graveyard/60648a15,Graveyard
"place_beside_the_grave_of_philip’s_parents,_in_the_graveyard/1f4b718d","Beside the grave of Philip’s parents, in the graveyard"
place_graveyard/715b6f5a,Graveyard
place_unspecified_locations_before_burial/51ee9008,Unspecified locations before burial
"place_graveyard_(implied),_remembered_in_narrative_present/bcc81701","Graveyard (implied), remembered in narrative present"
"place_graveyard_(implied),_or_in_philip’s_imagination/c255dd18","Graveyard (implied), or in Philip’s imagination"
"place_graveyard_(implied),_or_in_philip’s_imagination/0e9f3025","Graveyard (implied), or in Philip’s imagination"
place_narrative_present_(unspecified_location)/4ed321ba,Narrative present (unspecified location)
place_marsh_country_by_the_river/12d68bd6,Marsh country by the river
place_marsh_country_down_by_the_river/9aaaf031,Marsh country down by the river
place_marsh_country_down_by_the_river/a00bf0bc,Marsh country down by the river
place_bleak_place_overgrown_with_nettles_/_churchyard/c2f81aa4,bleak place overgrown with nettles / churchyard
place_churchyard/a4512b97,churchyard
place_churchyard/62819067,churchyard
place_churchyard/c345789d,churchyard
place_dark_flat_wilderness_beyond_the_churchyard/1f69c8e6,dark flat wilderness beyond the churchyard
place_marshes/ad2d0f71,marshes
place_low_leaden_line_beyond_the_marshes/c5e5198e,low leaden line beyond the marshes
place_distant_savage_lair/9ade270f,distant savage lair
place_churchyard/e11b10d5,churchyard
place_churchyard/9743f555,churchyard
place_among_the_graves_at_the_side_of_the_church_porch/db446c1c,among the graves at the side of the church porch
place_churchyard_near_church_porch/400f23d2,churchyard near church porch
place_churchyard_near_church_porch/6266b3a6,churchyard near church porch
place_churchyard/7c7ac2bf,churchyard
place_churchyard/b33ae384,churchyard
place_marshes_and_surrounding_countryside_(implied)/31d934cb,marshes and surrounding countryside (implied)
place_churchyard/a46b9399,churchyard
place_churchyard/78fea1fe,churchyard
place_churchyard/8fbae6b2,churchyard
place_churchyard/53b72d0d,churchyard
place_churchyard/3c1cf743,churchyard
place_churchyard/923ec621,churchyard
place_unspecified_outdoor_area_near_village_and_church/1c02da5a,Unspecified outdoor area near village and church
place_flat_in-shore_among_the_alder-trees_and_pollards/db56506c,Flat in-shore among the alder-trees and pollards
"place_flat_in-shore_among_the_alder-trees_and_pollards,_a_mile_or_more_from_the_church/fdf46148","Flat in-shore among the alder-trees and pollards, a mile or more from the church"
place_near_the_churchyard_and_tombstones/fe942bae,Near the churchyard and tombstones
place_near_the_churchyard_and_tombstones/d31524ad,Near the churchyard and tombstones
place_near_the_churchyard_and_tombstones/336778b3,Near the churchyard and tombstones
place_near_the_churchyard_and_tombstones/1d0520ef,Near the churchyard and tombstones
place_visual_field_of_the_narrator_near_the_churchyard/8df6405e,Visual field of the narrator near the churchyard
place_on_a_high_tombstone_in_the_churchyard/2e2abd38,On a high tombstone in the churchyard
place_on_a_high_tombstone_in_the_churchyard/66912a19,On a high tombstone in the churchyard
place_near_the_high_tombstone_in_the_churchyard/fd168fd0,Near the high tombstone in the churchyard
place_near_the_high_tombstone_in_the_churchyard/62f6ee04,Near the high tombstone in the churchyard
place_near_the_high_tombstone_in_the_churchyard/074f8227,Near the high tombstone in the churchyard
place_narrative_reflection_(no_specific_physical_location_given)/67c742c7,Narrative reflection (no specific physical location given)
place_narrative_reflection/9f1633f9,Narrative reflection
