:ID,factor
why_philip_pirrip_is_an_infant_wit/62ad7d76,Philip Pirrip is an infant with limited speech ability
why_the_family_name_is_pirrip_and_/51f3e443,The family name is Pirrip and the Christian name is Philip
why_philip_pirrip_can_only_pronoun/a4f1328b,Philip Pirrip can only pronounce the shorter form 'Pip'
why_philip_pirrip_calls_himself_pi/ab58fc36,Philip Pirrip calls himself Pip
why_social_tendency_to_adopt_a_per/f2234615,Social tendency to adopt a person’s self-given name
why_pip_is_narrating_his_origins_a/2d4066b1,Pip is narrating his origins and family background
why_pip_knows_his_father's_surname/7927cef0,Pip knows his father's surname from written evidence
why_lack_of_living_parents_forces_/b04d3e96,Lack of living parents forces Pip to rely on inscriptions
why_the_tombstone_visibly_displays/de4ec5d5,The tombstone visibly displays the family name
why_pip_is_clarifying_his_family_r/e0c9ae5d,Pip is clarifying his family relationships to the reader
why_social_custom_and_personal_cho/a320268e,Social custom and personal choice lead to marriage
why_pip's_father_died_before_pip_c/44998989,Pip's father died before Pip could know him
why_pip's_mother_died_before_pip_c/a28e3134,Pip's mother died before Pip could know her
why_photography_did_not_exist_in_h/55e20382,Photography did not exist in his parents' time
why_no_portraits_or_images_of_his_/2b5b7aeb,No portraits or images of his parents were available
why_historical_context:_photograph/e0e1d20b,Historical context: photography had not been invented or common
why_absence_of_real_images_or_memo/d586189c,Absence of real images or memories of his parents
why_presence_of_the_tombstones_as_/73ba0a96,Presence of the tombstones as the only visual cues
why_childlike_reasoning_based_on_l/8962d3cf,Childlike reasoning based on limited information
why_visual_details_on_the_tombston/fef10de0,Visual details on the tombstones suggest characteristics to Pip
why_pip_spends_time_looking_at_his/af3ff217,Pip spends time looking at his parents' tombstones
why_the_lettering_is_visually_dist/c6ca436d,The lettering is visually distinctive enough to draw notice
why_childlike_tendency_to_anthropo/75c31d35,Childlike tendency to anthropomorphize visual forms (letters)
"why_the_square,_stout_look_of_the_/08bc0c28","The square, stout look of the lettering suggests bodily traits"
why_presence_of_an_inscription_inc/19fda506,Presence of an inscription including the phrase 'Also Georgiana Wife of the Above'
why_narrator's_habit_or_opportunit/e5d0a4ab,"Narrator's habit or opportunity to read inscriptions (e.g., on a monument or gravestone)"
why_narrator_observes_the_style_('/c03eab5a,Narrator observes the style ('character and turn') of the inscription
why_narrator's_developing_but_imma/a949a6ba,Narrator's developing but immature reasoning abilities as a child
why_narrator’s_interpretation_of_t/1989fb0e,Narrator’s interpretation of the character and turn of the inscription 'Also Georgiana Wife of the Above'
why_narrator’s_limited_childhood_u/048fbc2a,Narrator’s limited childhood understanding of how visual script might relate to personal traits
why_narrator’s_childish_conclusion/764f6aae,Narrator’s childish conclusion about his mother’s freckles and sickness
why_narrator’s_lack_of_direct_memo/908565fc,"Narrator’s lack of direct memory or knowledge of his mother, leading him to construct an image from text"
why_human_mortality_and_hardship_i/fed622e2,Human mortality and hardship in the 'universal struggle' for a living
why_inability_or_failure_to_'get_a/dea9f043,Inability or failure to 'get a living' (implied poverty or frailty)
why_harshness_of_the_'universal_st/826e6ad2,Harshness of the 'universal struggle' for a living
"why_their_death,_metaphorically_fr/9db9b045","Their death, metaphorically framed as ceasing to strive for life"
why_commemorate_the_deaths_of_the_/c77e30bc,Commemorate the deaths of the five little brothers
why_custom_of_marking_graves_with_/51c24402,Custom of marking graves with stones
why_desire_to_honor_and_remember_t/d5c7c07a,Desire to honor and remember the dead brothers
why_philip_pirrip_observes_the_fiv/5ffc35d4,Philip Pirrip observes the five stone lozenges on the grave
why_philip_pirrip’s_childish_imagi/54021764,Philip Pirrip’s childish imagination and limited understanding of death and birth
why_presence_and_appearance_of_the/999874fb,Presence and appearance of the five little stone lozenges
why_intensity_and_seriousness_of_c/8061e80e,Intensity and seriousness of childhood convictions
why_lack_of_contrary_information_a/eb5e72e7,Lack of contrary information about birth and death
why_visual_inference_from_the_shap/2a18c04c,Visual inference from the shape/arrangement of the stones (implied)
why_childish_tendency_to_literaliz/6f4296df,Childish tendency to literalize symbolic objects
why_further_elaboration_of_the_sam/30bdde89,Further elaboration of the same childish misconception about the brothers
"why_anthropomorphic,_humorous_proj/c74ed430","Anthropomorphic, humorous projection onto the dead"
why_extension_of_the_initial_fanci/c8f42821,Extension of the initial fanciful belief to their entire 'state of existence'
why_childlike_tendency_to_create_c/ea09d057,"Childlike tendency to create consistent, absolute scenarios"
why_narrator_is_describing_early_l/6e705e8c,Narrator is describing early life setting
why_narrator_is_reflecting_on_earl/e907e31e,Narrator is reflecting on earliest clear perception
why_the_raw_afternoon_towards_even/d59bf225,The raw afternoon towards evening provided the occasion
why_pip_visually_observes_the_blea/fdc99f72,Pip visually observes the bleak place overgrown with nettles
why_pip’s_prior_but_uncertain_know/1c447359,Pip’s prior but uncertain knowledge of the area as a churchyard
why_pip_reads_or_recalls_the_infor/32d573ca,Pip reads or recalls the information that Philip Pirrip was late of this parish
why_pip’s_awareness_that_people_na/29b0ef07,Pip’s awareness that people named on gravestones in a churchyard are dead and buried
why_pip_reads_or_recalls_that_geor/defc8cba,Pip reads or recalls that Georgiana wife of the above was dead and buried
why_georgiana_is_listed_alongside_/6eb0bc1e,Georgiana is listed alongside Philip Pirrip on grave inscriptions
"why_pip_observes_that_alexander,_b/486ea30a","Pip observes that Alexander, Bartholomew, Abraham, Tobias, and Roger were described as infant children and dead and buried"
why_knowledge_that_inscriptions_in/85ea2529,Knowledge that inscriptions in churchyards indicate death and burial
why_pip_sees_the_dark_flat_wildern/f250bd3a,Pip sees the dark flat wilderness intersected with dikes and mounds and gates with cattle feeding
why_pip’s_background_knowledge_tha/bf69379c,Pip’s background knowledge that this type of terrain is called marshes
why_pip_visually_perceives_a_low_l/8b2beaec,Pip visually perceives a low leaden line beyond the marshes
why_pip’s_prior_geographical_knowl/56f7adb6,Pip’s prior geographical knowledge of the area including the river
why_pip_perceives_the_wind_rushing/7b884002,Pip perceives the wind rushing from a distant savage lair
why_pip’s_understanding_that_the_l/fc94924c,"Pip’s understanding that the large, distant, wind-sending expanse is the sea"
why_pip’s_perceptions_of_the_bleak/ba17eabb,"Pip’s perceptions of the bleak churchyard, marshes, river, and distant sea described as a savage lair"
why_pip’s_youth_and_vulnerability_/4ef46ebd,Pip’s youth and vulnerability intensifying his reaction to the desolate setting
why_pip’s_growing_fear_of_the_blea/65f17427,Pip’s growing fear of the bleak churchyard and surrounding landscape
why_pip’s_emotional_sensitivity_as/8a0153f9,Pip’s emotional sensitivity as a small child confronting death and desolation
why_narrative_identification_that_/6f7b4453,Narrative identification that the small bundle of shivers was Pip
why_pip’s_self-awareness_of_his_ph/58a2290b,"Pip’s self-awareness of his physical and emotional state (shivering, crying)"
why_unknown_man_wants_the_child_to/b3ddcd5b,Unknown man wants the child to be quiet
why_unknown_man_is_hiding_or_actin/c235a990,Unknown man is hiding or acting threateningly near the graves
why_unknown_man_reacts_to_the_pres/efd4b6bc,Unknown man reacts to the presence or noise of the child
why_unknown_man_was_previously_con/2c373691,Unknown man was previously concealed or resting among the graves
why_unknown_man_wants_to_intimidat/7761918c,Unknown man wants to intimidate the child into keeping still
why_unknown_man_is_aggressive_or_d/4c8d17f7,Unknown man is aggressive or desperate in this situation
why_unknown_man_expresses_hostilit/7a93b1d3,Unknown man expresses hostility toward the child
why_insult_reinforces_the_threat_a/8afcecc6,Insult reinforces the threat and intimidation
why_sudden_emergence_of_a_man_from/16220f55,Sudden emergence of a man from the graves
why_man’s_violent_threat_to_cut_th/b7ef5d02,Man’s violent threat to cut the child’s throat
why_previous_harsh_physical_ordeal/f263d176,Previous harsh physical ordeal involving environment and restraints
why_fearful_man_is_described_with_/3d4018d0,"Fearful man is described with no hat, broken shoes, rag around head"
why_exposure_to_water_in_preceding/ace43349,Exposure to water in preceding circumstances
why_movement_through_muddy_ground_/409aa15d,Movement through muddy ground or environment
why_walking_or_falling_on_sharp_st/71e26a10,Walking or falling on sharp stones
why_contact_with_sharp_flints_whil/dedf4a3e,Contact with sharp flints while moving or falling
why_passing_through_nettle_plants/aa1dcb68,Passing through nettle plants
why_struggling_through_briar_bushe/1ceb262f,Struggling through briar bushes or hedges
"why_injuries_from_stones,_flints,_/54fa878d","Injuries from stones, flints, briars, and physical exhaustion"
"why_cold,_wet_clothing_and_physica/4b992f9b","Cold, wet clothing and physical weakness"
"why_hostile,_desperate_state_and_c/a9225d1b","Hostile, desperate state and confrontation with another person"
"why_aggression,_fear,_and_desperat/b5064c17","Aggression, fear, and desperation toward the person he confronts"
why_cold_and_intense_fear_or_physi/b6b04deb,Cold and intense fear or physical shock
why_fearful_man’s_desperation_and_/03b58398,Fearful man’s desperation and need to control or threaten the narrator
"why_fearful_man’s_general_rough,_d/e227854f","Fearful man’s general rough, desperate condition as a fugitive or prisoner"
why_narrator_believes_the_unknown_/fda09dc2,Narrator believes the unknown man might cut the narrator's throat
why_narrator_feels_intense_fear_an/a443400a,Narrator feels intense fear and desires to survive
why_unknown_man_is_perceived_as_a_/47ed6577,Unknown man is perceived as a direct physical threat
why_possibility_of_having_throat_c/bcaf7f12,Possibility of having throat cut implies imminent death
why_narrator_wants_to_reinforce_th/cb620cd7,Narrator wants to reinforce the request to avoid harm
why_narrator_remains_in_a_continui/d9522647,Narrator remains in a continuing state of fear
why_the_man_wants_the_narrator_to_/007d962e,the man wants the narrator to repeat whatever was just done or said
why_power_imbalance_or_intimidatio/d13d8850,power imbalance or intimidation between the man and the narrator
why_the_man_is_focusing_his_attent/490cd1a3,"the man is focusing his attention on the narrator, possibly to intimidate or emphasize his command"
why_the_man_may_be_assessing_the_n/00e9ae8e,the man may be assessing the narrator’s reaction or compliance
why_the_man_wants_the_narrator_to_/4ba052f2,the man wants the narrator to speak out or vocalize something
why_the_man_is_asserting_control_o/86749230,the man is asserting control over the interaction
why_the_man_wants_to_know_where_th/c70f1217,the man wants to know where the addressee lives
why_power_imbalance_or_coercive_si/9abcb844,power imbalance or coercive situation implied by commanding tone
why_the_man_insists_on_precise_ind/81be5dc7,the man insists on precise indication of residence
why_reinforcement_of_earlier_deman/0612b364,reinforcement of earlier demand to ensure compliance
why_pip_wants_to_indicate_where_th/eb4b3397,Pip wants to indicate where the village lies
why_pip_is_describing_the_setting_/a21b431b,Pip is describing the setting to a listener/reader
why_geographical_setting_of_pip's_/470d2bbb,Geographical setting of Pip's home is being described
why_man_assessing_pip_and_situatio/4f940ddf,man assessing Pip and situation
why_man’s_prior_need_or_purpose_in/6e0e4934,man’s prior need or purpose in confronting Pip
why_man_wants_to_find_food_or_valu/05c91b7f,man wants to find food or valuables on Pip
why_man’s_desperation_or_need_(e.g/497c74b5,"man’s desperation or need (e.g., hunger, deprivation)"
why_emptied_pockets_reveal_their_c/6c81f939,emptied pockets reveal their contents
why_man’s_sudden_and_strong_moveme/29e446f4,man’s sudden and strong movement of Pip
why_pip’s_senses_reorient_after_be/dbeffd9f,Pip’s senses reorient after being upended
why_man’s_earlier_physical_control/c0e504b8,man’s earlier physical control of Pip
why_need_to_keep_pip_in_place_whil/8612f3b8,need to keep Pip in place while man eats
why_pip’s_fear_of_the_man’s_violen/ea00ded1,Pip’s fear of the man’s violence and power
why_pip’s_general_vulnerability_as/4cd08acd,Pip’s general vulnerability as a child alone in a churchyard
why_man’s_intense_hunger/8c808cae,man’s intense hunger
why_lack_of_other_available_food/1d420b5f,lack of other available food
why_unknown_man_initiates_interact/d992158f,Unknown man initiates interaction with the young person
why_unknown_man_appears_to_be_obse/4a846874,Unknown man appears to be observing the young person closely
why_unknown_man_may_be_expressing_/a8ba3265,Unknown man may be expressing hunger or anticipation while looking at the young person
why_occurrence_happens_concurrentl/f8711e47,Occurrence happens concurrently with the man's speech
why_unknown_man_comments_specifica/1820ff64,Unknown man comments specifically on the young person's fat cheeks
why_narrator_is_recalling_an_earli/47334a2a,Narrator is recalling an earlier period of life
why_narrator's_physical_undersize_/1a510e8b,Narrator's physical undersize may have influenced perception of others as fat
why_narrator’s_natural_physical_de/cc30bd94,Narrator’s natural physical development at that age
why_narrator’s_general_physical_co/b2739d5d,Narrator’s general physical condition or health during that period
why_unidentified_man_is_speaking_i/14055667,"Unidentified man is speaking in an aggressive, colloquial manner"
why_unidentified_man_intends_to_in/3a634c26,Unidentified man intends to intensify the threat he is making
why_unidentified_man_reinforces_se/c1e81f54,Unidentified man reinforces seriousness of his earlier threat
why_narrator_fears_the_man's_threa/faa1117e,Narrator fears the man's threatened action
why_power_imbalance_between_narrat/27fb922a,Power imbalance between narrator and man
why_narrator_is_afraid_and_wants_t/d0d2f2af,Narrator is afraid and wants to stay on the tombstone
why_man_has_placed_narrator_on_the/f3b720b2,Man has placed narrator on the tombstone
why_man_wishes_to_control_or_posit/a3cdc343,Man wishes to control or position the narrator
