source,target,type,mechanism,weight,confidence
event/dab6faca,event/cb00cf25,EMOTIONAL_TRIGGER,The convict's threats trigger Pip's fear response.,0.9,0.95
event/1f311084,event/e47bc000,PRECEDES,Climbing the wall led to the decision to head home.,0.8,0.85
event/dd507b69,event/6ebeec43,EMOTIONAL_DESPAIR,Father's burial evokes narrator's feelings of loss and absence.,0.8,0.9
event/3a80d581,event/908fb546,EMOTIONAL_DESPAIR,Helplessness leads to desperate demands for basic needs.,0.8,0.75
event/6275bb97,event/5471ff4f,BELIEF_DISMISSAL,Narrator's belief influences their perception of the marsh country.,0.7,0.8
event/ea989bc2,event/84cb3426,COMMUNICATION_BARRIER,Misunderstanding arises from the narrator's introduction.,0.7,0.8
event/5624f7e6,event/df67b8c3,BELIEF_DISMISSAL,The arrangement of stones triggers a belief about the brothers.,0.7,0.8
event/e420ea7a,event/b9931f87,PROTECTIVE_INSTINCT,The narrator intervenes to protect the boy from potential harm.,0.8,0.9
event/1a0f6f2b,event/da957808,EMOTIONAL_TRIGGER,Desire to maintain connection triggers emotional attachment to the tombstone.,0.8,0.85
event/71084a15,event/92d5c1a0,EMOTIONAL_SUPPORT,The request indicates a desire for stability and support.,0.8,0.85
event/1e48ec60,event/b9931f87,PROTECTIVE_INSTINCT,The narrator intervenes to protect the boy from potential harm.,0.85,0.9
event/b05b9034,event/1e48ec60,EMOTIONAL_TRIGGER,The boy's action triggers a soft approach from the young man.,0.7,0.8
event/eb57ee77,event/1d560019,HUMOROUS_REMARK,"The man's comment is a playful insult, indicating humor.",0.7,0.8
event/07ee8f41,event/940c0686,PRECEDES,The observation of the gibbet occurs before the man's approach.,0.8,0.9
event/a0a78fa3,event/634a0b39,PHYSICAL_DETERIORATION,Mud exposure likely led to injury from stones.,0.7,0.8
event/5471ff4f,event/cccf76a6,EMOTIONAL_TRIGGER,Describing the marsh evokes strong feelings about the afternoon.,0.7,0.8
event/11b8a93a,event/f052e150,PHYSICAL_ACTION,The statement prompts a physical response of tilting.,0.7,0.8
event/bb677293,event/c4761f76,NAMING_CONVENTION,Family name influences the narrator's given name.,0.9,0.95
event/f052e150,event/3a80d581,EMOTIONAL_TRIGGER,The action caused a heightened emotional response of helplessness.,0.8,0.85
event/51d3af81,event/b1a47ed2,PERCEPTION_SHIFT,Change in focus from cattle to the river indicates a shift in perception.,0.7,0.8
event/25c1e993,event/6ede448a,EMOTIONAL_TRIGGER,Desire to suppress emotions may lead to physical actions.,0.7,0.6
event/528b0aa9,event/69ebf212,IMAGINARY_CONSTRUCTION,The narrator constructs an image of his father based on absence.,0.8,0.85
