:ID,factor
why_infant_inability_to_pronounce_/7782a58a,Infant inability to pronounce his full names
why_the_given_family_and_christian/132c10c7,The given family and Christian names Philip Pirrip
why_pip_never_saw_his_parents_or_a/e690bfd7,Pip never saw his parents or any likeness of them
why_information_provided_by_his_si/5580f4c7,Information provided by his sister and his father’s tombstone
why_childish_tendency_to_derive_ch/4abf1e63,Childish tendency to derive character and appearance from written words and shapes
why_lack_of_realistic_images_in_an/3b2fe38e,Lack of realistic images in an era before photographs
why_childlike_anthropomorphizing_o/fd4c7567,Childlike anthropomorphizing of the stones’ form into imagined postures of the brothers
why_desire_to_make_sense_of_death_/0ae1caba,Desire to make sense of death and family through fanciful images
why_desire_to_frame_his_earliest_s/d25cc044,Desire to frame his earliest sense of the world and identity
why_geographical_context_of_pip’s_/66461833,Geographical context of Pip’s upbringing near river and sea
"why_pip_is_alone_in_a_bleak,_frigh/d62b910d","Pip is alone in a bleak, frightening environment and seeking to understand where he is and who he is"
why_the_narrator_retrospectively_c/6a32fc7d,The narrator retrospectively clarifies the setting and his family situation to the reader
why_the_escaped_convict_needs_to_c/5b10e2c9,The escaped convict needs to control and intimidate Pip to prevent noise and discovery
why_the_author_introduces_a_menaci/868b97ec,The author introduces a menacing figure to catalyze the plot and establish gothic tension
why_the_convict’s_violent_threat_a/ee53c917,The convict’s violent threat and physical seizure of Pip provoke instinctive fear and a plea for mercy
why_the_man_needs_information_abou/d110b623,"The man needs information about nearby habitations, likely for food or shelter"
"why_the_man's_fugitive,_desperate_/35405a7c","The man's fugitive, desperate condition drives him to threaten a child"
why_the_man_is_hungry_and_desperat/22a520d6,The man is hungry and desperate for food
why_physical_domination_is_used_to/d6e58085,Physical domination is used to control Pip and secure resources
"why_the_man's_sudden,_violent_hand/ffeb2b4c","The man's sudden, violent handling terrifies the child"
why_the_graveyard_and_tombstone_se/0378b6dc,The graveyard and tombstone setting heighten Pip’s sense of vulnerability
why_the_man’s_hunger_makes_him_foc/b9e0b0a7,The man’s hunger makes him focus on Pip’s apparent health and “fat cheeks”
why_the_comment_underscores_the_co/446aa2e7,The comment underscores the contrast between the starving convict and the relatively well-fed child
why_the_man_wants_to_intimidate_th/9d89011e,The man wants to intimidate the child into obedience
