:START_ID,:END_ID,:TYPE,weight
event/ff53969a,why_limited_articulation_of_infant/7428a451,PRODUCES_MOTIVATION,0.588
event/ff53969a,why_complexity_of_the_names_'pirri/d72ab526,PRODUCES_MOTIVATION,0.412
event/9f8ddc2a,why_infant_mispronunciation_produc/b17fa29d,PRODUCES_MOTIVATION,0.625
event/9f8ddc2a,why_desire_for_a_usable_self-desig/89d952a7,PRODUCES_MOTIVATION,0.375
event/f03e3517,why_philip_calls_himself_pip/488cd9fa,PRODUCES_MOTIVATION,0.625
event/f03e3517,why_social_tendency_to_adopt_self-/3a4c0f63,PRODUCES_MOTIVATION,0.375
event/86c11f9a,why_information_learned_from_tombs/61f7e93b,PRODUCES_MOTIVATION,0.556
event/86c11f9a,why_narrator’s_intention_to_explai/3d5fe04d,PRODUCES_MOTIVATION,0.444
event/b4b405d2,why_absence_of_living_parents_to_c/130ddc7f,PRODUCES_MOTIVATION,0.556
event/b4b405d2,why_tombstone_as_an_official_recor/27b96f7f,PRODUCES_MOTIVATION,0.444
event/d216f955,why_sister_is_older_surviving_fami/edb8d21d,PRODUCES_MOTIVATION,0.556
event/d216f955,why_lack_of_other_sources_of_famil/cf836970,PRODUCES_MOTIVATION,0.444
event/2fef2e83,why_mutual_decision_to_marry/fc997451,PRODUCES_MOTIVATION,0.571
event/2fef2e83,why_social_custom_of_marriage/a108038a,PRODUCES_MOTIVATION,0.429
event/46f1e07c,why_father_died_before_or_soon_aft/cd72a223,PRODUCES_MOTIVATION,0.556
event/46f1e07c,why_no_later_meeting_or_surviving_/1054794d,PRODUCES_MOTIVATION,0.444
event/aa39b6e8,why_mother_died_before_or_soon_aft/98ed8237,PRODUCES_MOTIVATION,0.556
event/aa39b6e8,why_no_later_meeting_or_surviving_/5fa5a784,PRODUCES_MOTIVATION,0.444
event/1c1eb444,why_parents_lived_before_photograp/e375a697,PRODUCES_MOTIVATION,0.588
event/1c1eb444,why_apparent_absence_of_painted_po/fe4723e2,PRODUCES_MOTIVATION,0.412
event/3b82785c,why_later_historical_knowledge_abo/5cba7552,PRODUCES_MOTIVATION,0.588
event/3b82785c,why_contrast_between_his_era_and_h/0b2c2abe,PRODUCES_MOTIVATION,0.412
event/0690c0bb,why_lack_of_direct_visual_knowledg/e9ab4064,PRODUCES_MOTIVATION,0.526
event/0690c0bb,why_childhood_curiosity_about_abse/ff1b8be8,PRODUCES_MOTIVATION,0.474
event/e30331fb,why_tombstones_are_the_only_tangib/69a3ec8a,PRODUCES_MOTIVATION,0.556
event/e30331fb,why_child’s_tendency_to_personify_/f467287b,PRODUCES_MOTIVATION,0.444
event/68c1242a,why_physical_presence_near_the_tom/4858f11d,PRODUCES_MOTIVATION,0.556
event/68c1242a,why_curiosity_and_attention_to_det/f9992392,PRODUCES_MOTIVATION,0.444
event/5ee56164,why_visual_impression_of_letter_sh/d81f138f,PRODUCES_MOTIVATION,0.526
event/5ee56164,why_childish_tendency_to_map_abstr/c7f62271,PRODUCES_MOTIVATION,0.474
event/96b4b311,why_inscription_is_physically_pres/9a6edde5,PRODUCES_MOTIVATION,0.556
event/96b4b311,why_philip_is_literate_enough_to_u/038ea07c,PRODUCES_MOTIVATION,0.444
event/28f8e8b5,why_interpretation_of_the_wording_/7818a06e,PRODUCES_MOTIVATION,0.526
event/28f8e8b5,why_childish_associative_thinking_/4b82f472,PRODUCES_MOTIVATION,0.474
event/65951c40,why_commemoration_of_five_deceased/2410ac39,PRODUCES_MOTIVATION,0.588
event/65951c40,why_graveyard_conventions_for_mark/1854368d,PRODUCES_MOTIVATION,0.412
event/f996f4a5,why_deaths_of_five_brothers_in_ear/44e7c864,PRODUCES_MOTIVATION,0.556
event/f996f4a5,why_religious_and_familial_practic/cb6cb3ab,PRODUCES_MOTIVATION,0.444
event/fd6e30e4,why_implicit_early_deaths_(‘gave_u/5c9d5808,PRODUCES_MOTIVATION,0.588
event/fd6e30e4,why_harshness_of_'universal_strugg/f9431d3b,PRODUCES_MOTIVATION,0.412
event/8f56e35c,why_lozenges’_arrangement_and_appe/d2b82318,PRODUCES_MOTIVATION,0.526
event/8f56e35c,why_philip’s_reliance_on_physical_/4a1f7dee,PRODUCES_MOTIVATION,0.474
event/c3695a25,why_shape_and_layout_of_the_stone_/1078abef,PRODUCES_MOTIVATION,0.526
event/c3695a25,why_childish_literalism_about_symb/5d92cba4,PRODUCES_MOTIVATION,0.474
event/80d9815d,"why_extreme,_fanciful_extension_of/2a920dbc",PRODUCES_MOTIVATION,0.526
event/80d9815d,why_childlike_tendency_to_construc/db3687c3,PRODUCES_MOTIVATION,0.474
event/d22bfe36,why_need_to_situate_his_early_life/e56a2fa1,PRODUCES_MOTIVATION,0.556
event/d22bfe36,why_importance_of_marsh_country_to/5d883162,PRODUCES_MOTIVATION,0.444
event/71a0e894,why_observation_or_knowledge_of_lo/f328cc1f,PRODUCES_MOTIVATION,0.625
event/71a0e894,why_interest_in_emphasizing_closen/8a1e1e1e,PRODUCES_MOTIVATION,0.375
event/dbb7feb8,why_presence_in_the_marsh_country_/78ef144b,PRODUCES_MOTIVATION,0.474
event/dbb7feb8,why_developmental_stage_when_perce/14379dd7,PRODUCES_MOTIVATION,0.526
event/95c8b023,why_strength_of_impression_formed_/43395471,PRODUCES_MOTIVATION,0.556
event/95c8b023,why_weather_and_time_contributing_/fa1c0bff,PRODUCES_MOTIVATION,0.444
event/d9c41ae0,why_pip_is_observing_his_surroundi/7f8ea080,PRODUCES_MOTIVATION,0.533
event/d9c41ae0,why_presence_of_graves_and_nettles/41da8053,PRODUCES_MOTIVATION,0.467
event/c94e9895,why_inscription_or_knowledge_about/cdeb3086,PRODUCES_MOTIVATION,0.529
event/c94e9895,why_pip_is_reading_or_recalling_gr/6287f05d,PRODUCES_MOTIVATION,0.471
event/c5726ac2,why_gravestone_or_memorial_in_chur/1e3eea51,PRODUCES_MOTIVATION,0.529
event/c5726ac2,why_pip_is_actively_identifying_wh/88dbb4d5,PRODUCES_MOTIVATION,0.471
event/5d6c7529,why_additional_inscriptions_about_/f5425569,PRODUCES_MOTIVATION,0.529
event/5d6c7529,why_pip_is_cataloging_his_deceased/be00b953,PRODUCES_MOTIVATION,0.471
event/4c6b4f53,why_pip_visually_surveys_the_land_/cb12e225,PRODUCES_MOTIVATION,0.562
event/4c6b4f53,why_local_knowledge_of_geography_(/d46a0470,PRODUCES_MOTIVATION,0.437
event/b4b7d7bc,why_pip_is_visually_examining_the_/fb82bf7e,PRODUCES_MOTIVATION,0.562
event/b4b7d7bc,why_cattle_are_present_and_moving_/4b323627,PRODUCES_MOTIVATION,0.437
event/63d7d42f,why_pip_is_looking_beyond_the_mars/77863515,PRODUCES_MOTIVATION,0.562
event/63d7d42f,why_he_knows_a_river_lies_beyond_t/04579850,PRODUCES_MOTIVATION,0.437
event/80747884,why_pip_sees_a_distant_area_from_w/06f2524c,PRODUCES_MOTIVATION,0.5
event/80747884,"why_pip_associates_that_distant,_w/4d2a5470",PRODUCES_MOTIVATION,0.5
event/35261591,why_bleak_churchyard_and_surroundi/d80efb8e,PRODUCES_MOTIVATION,0.474
event/35261591,why_pip_identifies_himself_as_a_sm/6cb769f8,PRODUCES_MOTIVATION,0.526
event/5aa2d2c2,why_narrator_retrospectively_recog/d4a9a8f8,PRODUCES_MOTIVATION,1.0
event/fb5d8b17,why_man_is_concealed_among_graves_/86f6c287,PRODUCES_MOTIVATION,0.529
event/fb5d8b17,why_he_may_wish_to_confront_or_sil/78cc2985,PRODUCES_MOTIVATION,0.471
event/afd9ead4,why_pip_is_crying_and_making_noise/0d28198b,PRODUCES_MOTIVATION,0.526
event/afd9ead4,why_man_likely_fears_being_detecte/c94dfe05,PRODUCES_MOTIVATION,0.474
event/90f82186,why_man_wants_to_control_pip’s_mov/697f2af3,PRODUCES_MOTIVATION,0.526
event/90f82186,why_threat_is_used_to_intimidate_a/8f15632a,PRODUCES_MOTIVATION,0.474
event/444ddda0,why_pip_is_scrutinizing_the_threat/8881896a,PRODUCES_MOTIVATION,0.543
event/444ddda0,why_striking_prison-like_details_s/737fd4eb,PRODUCES_MOTIVATION,0.457
event/c2cd321c,why_pip_takes_in_details_of_the_ma/4494ca9c,PRODUCES_MOTIVATION,1.0
event/33300d9f,why_man’s_appearance_shows_traces_/60815915,PRODUCES_MOTIVATION,0.514
event/33300d9f,why_narrator_infers_past_hardships/23600eab,PRODUCES_MOTIVATION,0.486
event/1fbc8df7,why_physical_condition_and_cold_ca/bb83285b,PRODUCES_MOTIVATION,0.5
event/1fbc8df7,why_aggressive_posture_toward_pip_/cfc2ae29,PRODUCES_MOTIVATION,0.5
event/683d217a,why_man_wants_to_physically_contro/f6071520,PRODUCES_MOTIVATION,0.526
event/683d217a,why_grabbing_chin_helps_force_pip’/02aac71c,PRODUCES_MOTIVATION,0.474
event/74e4ec3b,why_man_has_just_threatened_to_cut/911d131f,PRODUCES_MOTIVATION,0.513
event/74e4ec3b,why_pip_is_terrified_and_seeks_mer/716f1f58,PRODUCES_MOTIVATION,0.487
event/563c1f45,why_direct_death_threat_and_physic/98f856e3,PRODUCES_MOTIVATION,0.513
event/563c1f45,"why_pip_is_a_small,_vulnerable_chi/6e2ae12a",PRODUCES_MOTIVATION,0.487
event/d4b3ba3d,why_man_is_assessing_pip_after_his/33db011a,PRODUCES_MOTIVATION,1.0
event/e795d099,why_man_wants_pip_to_speak_up_or_r/128b01b0,PRODUCES_MOTIVATION,0.485
event/e795d099,why_man_is_exerting_dominance_thro/aeaf640e,PRODUCES_MOTIVATION,0.515
event/d7f09b8b,why_the_man_wants_to_know_where_th/6a441855,PRODUCES_MOTIVATION,0.6
event/d7f09b8b,why_the_man_may_intend_to_access_t/a32964af,PRODUCES_MOTIVATION,0.4
event/262fb8de,why_the_man_commands_the_boy_to_sh/2b97f30d,PRODUCES_MOTIVATION,0.588
event/262fb8de,why_the_boy_is_frightened_and_comp/fe6b6470,PRODUCES_MOTIVATION,0.412
event/edf23f7b,why_narrator_wants_to_clarify_the_/c18dd362,PRODUCES_MOTIVATION,1.0
event/f41528d9,why_the_man_is_assessing_the_boy_a/1250dd85,PRODUCES_MOTIVATION,1.0
event/ddf98077,why_the_man_intends_to_search_the_/77ea7a4d,PRODUCES_MOTIVATION,0.562
event/ddf98077,why_the_man_is_desperate_and_rough/b0e7b632,PRODUCES_MOTIVATION,0.437
event/9102df6e,why_the_man_is_searching_for_food_/f296f03d,PRODUCES_MOTIVATION,1.0
event/df5a27b6,why_narrator_wants_to_convey_his_p/2e70d161,PRODUCES_MOTIVATION,1.0
event/6985cfc3,why_the_sudden_inversion_disorient/91838baf,PRODUCES_MOTIVATION,1.0
event/e9d42c78,why_the_man_likely_sets_the_boy_do/0697a14a,PRODUCES_MOTIVATION,0.533
event/e9d42c78,why_narrator_wants_to_emphasize_hi/ffecd36e,PRODUCES_MOTIVATION,0.467
event/129d572c,why_the_boy_is_frightened_by_the_m/678e7ed5,PRODUCES_MOTIVATION,1.0
event/9e14d91a,why_the_man_is_hungry_and_has_just/e6be9728,PRODUCES_MOTIVATION,1.0
event/3e5b1c03,why_the_man_reacts_to_the_boy’s_ap/b276c168,PRODUCES_MOTIVATION,1.0
