:START_ID,:END_ID,:TYPE,strength
agent_pip/db4d148c,event/c52f52a1,ACTS_IN,1.0
agent_pip/6a220487,event/afc7168a,ACTS_IN,1.0
agent_pip/f5da6337,event/84ac3fcf,ACTS_IN,1.0
agent_pip/fc379b1b,event/ae92cd87,ACTS_IN,1.0
agent_pip/658fe82b,event/5da2fdf6,ACTS_IN,1.0
agent_pip/f3bbc1b7,event/02cd66d5,ACTS_IN,1.0
agent_pip/c72bbdb8,event/c48b60b0,ACTS_IN,0.9
agent_pip/7b48d103,event/ce1695be,ACTS_IN,1.0
agent_pip/a3b3953f,event/9a531af4,ACTS_IN,0.7
agent_pip/4105dcb5,event/51a46dd8,ACTS_IN,0.6
agent_pip/25df732b,event/8895c14a,ACTS_IN,1.0
agent_pip/f8c424fb,event/416115f2,ACTS_IN,0.7
agent_pip/0147a42e,event/9c805999,ACTS_IN,1.0
agent_pip/7cf178a2,event/37186823,ACTS_IN,0.9
agent_pip/20325709,event/3b209be6,ACTS_IN,1.0
agent_pip/396f652e,event/d5bbca8e,ACTS_IN,0.9
agent_pip/45d31390,event/640af074,ACTS_IN,0.7
agent_pip/738de164,event/a3e60315,ACTS_IN,1.0
agent_pip/5262372f,event/dde423b3,ACTS_IN,0.7
agent_pip/1028bbb8,event/0ad53450,ACTS_IN,1.0
agent_pip/9850ead3,event/1a87a5a8,ACTS_IN,0.8
agent_pip/5bad4b53,event/d611eb16,ACTS_IN,1.0
agent_pip/ebb8fba5,event/1c7540b2,ACTS_IN,1.0
agent_pip/eb2a677a,event/db77d322,ACTS_IN,1.0
agent_pip/016bb4a7,event/6bcf2cfa,ACTS_IN,1.0
agent_convict/b006facb,event/c48b60b0,ACTS_IN,1.0
agent_convict/f755d61b,event/d5bbca8e,ACTS_IN,0.8
agent_convict/ffab5951,event/640af074,ACTS_IN,1.0
agent_convict/97356eb6,event/a3e60315,ACTS_IN,0.6
agent_convict/5c6b0ff9,event/dde423b3,ACTS_IN,1.0
agent_man/convict/868f0131,event/9a531af4,ACTS_IN,1.0
agent_man/convict/0a573180,event/8895c14a,ACTS_IN,1.0
agent_the_man/f4c25726,event/9c805999,ACTS_IN,1.0
agent_unknown_man/ba19ba99,event/fb71004a,ACTS_IN,1.0
agent_convict/stranger/471e75a0,event/f1027078,ACTS_IN,1.0
