:ID,factor
why_self-identification/137ac046,self-identification
why_family_identity/69254da8,family identity
why_infant_development/0dd60059,infant development
why_identity_formation/aad76860,identity formation
why_search_for_identity/3d71f421,search for identity
why_family_connection/a6d66bdd,family connection
why_loss/b10647e0,loss
why_lack_of_visual_connection/602aa676,lack of visual connection
why_historical_context/56172434,historical context
why_imagination/972d5f5a,imagination
why_curiosity/44097ab1,curiosity
why_childish_reasoning/1282787d,childish reasoning
why_reading_the_inscription/23c0fc34,reading the inscription
why_reflection_on_family/13302dcb,reflection on family
why_grief_and_memory/54c06141,grief and memory
why_childhood_perspective/b38e7ea1,childhood perspective
why_gaining_identity_of_things/33569d68,gaining identity of things
why_memorable_experience/873d8ac7,memorable experience
why_realization_of_surroundings/f1e8a74e,realization of surroundings
why_gaining_knowledge_of_family_hi/04002f51,gaining knowledge of family history
why_gaining_knowledge_of_family_hi/f074a7e4,gaining knowledge of family history
why_recognition_of_the_landscape/c0e3accb,recognition of the landscape
why_recognition_of_the_landscape/f9e4a95d,recognition of the landscape
why_recognition_of_the_landscape/0b7d8650,recognition of the landscape
why_fear_of_the_unknown/f94bb036,fear of the unknown
why_emotional_response_to_fear/3d0ac149,emotional response to fear
why_surprise/ce382c19,surprise
why_asserting_control/48c6c3e5,asserting control
why_fear/5921d5ef,fear
why_fear/79b6c1fb,fear
why_contextual_description/9ba61dc6,contextual description
why_contextual_description/cbf9dbd6,contextual description
why_injury/0b6f49c9,injury
why_cold/51200ffd,cold
why_anger_or_threat/d47e6e0e,anger or threat
why_anger_or_threat/6e84107f,anger or threat
why_cold_or_fear/d0073770,cold or fear
why_intimidation/2c9a1038,intimidation
why_fear/4d4df434,fear
why_fear/72e1f281,fear
why_fear/7fafb4c7,fear
why_demanding_action/ac328293,demanding action
why_coercion/b25d8806,coercion
why_intimidation/c7d0d324,intimidation
why_demand_for_information/4addbc2d,demand for information
why_coercion/d8e0e334,coercion
why_narrative_progression/95ca944b,narrative progression
why_curiosity/c0a9fdcd,curiosity
why_intimidation/e23858ed,intimidation
why_search_for_valuables/2a0421b6,search for valuables
why_disappointment/2c5ffde1,disappointment
why_suddenness_of_event/4c79f9a0,suddenness of event
why_disorientation/d7245eb9,disorientation
why_forceful_action_by_man/09c5c28d,forceful action by man
why_fear/9f58c76f,fear
why_hunger/872850cd,hunger
why_intimidation/df5544cf,intimidation
why_self-assessment/6267eff9,self-assessment
why_self-awareness/e3659439,self-awareness
why_threatening_demeanor/2c3153f6,threatening demeanor
why_hunger_or_threat/9c10341d,hunger or threat
why_fear_of_loss/f1e93cc0,fear of loss
why_to_keep_myself_upon_it/fd605610,to keep myself upon it
why_to_keep_myself_from_crying/841d8fd2,to keep myself from crying
why_inquiry/6c863da8,inquiry
why_fear/9e926c2f,fear
why_fear/5ad07170,fear
why_fear/f2c005f6,fear
why_timidity/afbbe4ec,timidity
why_family_connection/03485fe9,family connection
why_surprise/9e40b529,surprise
why_engagement_in_dialogue/129e7eeb,engagement in dialogue
why_curiosity/3f86b18c,curiosity
why_acknowledgment_of_authority/9b7ee43e,acknowledgment of authority
why_providing_information/ec1b8a96,providing information
why_contextual_identification/5037eed9,contextual identification
why_uncertainty_about_pip's_fate/eb8bc8f2,uncertainty about Pip's fate
why_curiosity_about_pip's_circumst/35369dd4,curiosity about Pip's circumstances
why_narrative_introduction/f91c0cc8,narrative introduction
why_curiosity/90007c45,curiosity
why_self-assessment/877b4cc4,self-assessment
why_curiosity/a0439d7c,curiosity
why_intimidation/4931f04a,intimidation
why_control/ac7b593a,control
why_intimidation/8fe5fc73,intimidation
why_intimidation/04a1f2d6,intimidation
why_fear/c04a67de,fear
why_intimidation/8742be35,intimidation
why_curiosity/0c617570,curiosity
why_greater_sense_of_helplessness/008da489,greater sense of helplessness
why_greater_sense_of_danger/867cbc7c,greater sense of danger
why_to_give_a_greater_sense_of_hel/5a6c7cb6,to give a greater sense of helplessness
why_demand_for_assistance/7dd7007f,demand for assistance
why_demand_for_assistance/77086eba,demand for assistance
why_coercion/e3cc3972,coercion
why_intimidation/2f5623d5,intimidation
why_fear/7b7920b6,fear
why_nervousness/c11d3382,nervousness
why_fear/951536c8,fear
why_need_for_support/6cc297e6,need for support
why_desire_for_well-being/eaf937b3,desire for well-being
why_desire_for_participation/28e9c5b7,desire for participation
why_surprise/77ca4856,surprise
why_control/1ad305b7,control
why_intimidation/0d820b5e,intimidation
why_survival_instinct/df7ee04e,survival instinct
why_fear/0cf436d7,fear
why_narrative_progression/d6549676,narrative progression
why_narrative_progression/96f4e3cf,narrative progression
why_narrative_progression/94d3fb23,narrative progression
why_narrative_progression/4b9b4470,narrative progression
why_fear/c1fa821e,fear
why_fear/d2f379e1,fear
why_comfort/9418a172,comfort
why_comfort/60078f4e,comfort
why_fear/e217b573,fear
why_illusion_of_safety/e80cb44c,illusion of safety
why_predatory_instinct/9742d10b,predatory instinct
why_predatory_instinct/521118e3,predatory instinct
why_protection/3714ec9c,protection
why_struggle/cd7cd7a7,struggle
why_struggle/f1190376,struggle
why_engagement/91b2fb69,engagement
why_commitment_to_help/16cd04e8,commitment to help
why_commitment_to_help/8e6f1e90,commitment to help
why_commitment_to_help/b3794cfb,commitment to help
why_intimidation/574b63cf,intimidation
why_reminder_of_responsibility/1d404955,reminder of responsibility
why_reminder_of_a_significant_pers/3410dabe,reminder of a significant person
why_directive_from_another/ddfb57e3,directive from another
why_desire_for_transformation/4f3da9f7,desire for transformation
why_environmental_awareness/44955041,environmental awareness
why_curiosity/23c1f898,curiosity
why_fear/41566de6,fear
why_escape/dd553fb9,escape
why_fear/b527466a,fear
why_fear/b5424504,fear
why_curiosity/cdbaa42d,curiosity
why_desire_to_leave/07dfb2d7,desire to leave
why_urgency/8708a76b,urgency
why_concern/a862f05c,concern
why_curiosity/a14e8217,curiosity
why_cold/7986d8da,cold
why_carefulness/d96ca667,carefulness
why_curiosity/c4fdd96e,curiosity
why_observation/1d1e451c,observation
why_observation/01f5d839,observation
why_observation/51e5ee5e,observation
why_curiosity/b2077490,curiosity
why_navigation/8bf3d9c3,navigation
why_aesthetic_judgment/a7b7049a,aesthetic judgment
why_fear/d9095563,fear
why_mysterious_intent/24165649,mysterious intent
why_fear/08c60a28,fear
why_curiosity/112409f2,curiosity
why_curiosity/6d128b2a,curiosity
why_fear/2a49ca91,fear
why_fear/501e082e,fear
why_fear/ed0a0d46,fear
why_fear/f8fd8802,fear
