:START_ID,:END_ID,:TYPE,relationType,mechanism,sign,weight,confidence,cause_seq,effect_seq
event/40d14de1,event/8056214a,CAUSES,causes,"The plea in terror likely prompts a response of fear or concern, leading to the request not to proceed with an action.",+,0.8,0.85,34,35
event/550e0d9a,event/4d8fa7a9,CAUSES,aggravates,"The command to 'keep still' may increase the creature's anxiety, leading to more pronounced physical reactions like limping and shivering.",+,0.7,0.8,27,31
event/d997ece5,event/44ec80e5,CAUSES,prevents,Giving up early in the struggle prevents the individual from achieving a living in their current state of existence.,-,0.8,0.75,12,14
event/8e7ebe64,event/3c7bb2da,CAUSES,enables,"The request to remain upright suggests a desire to avoid sickness, implying that maintaining an upright position may help prevent feeling unwell.",+,0.7,0.8,90,91
event/3914c057,event/c2da4fef,CAUSES,enables,"The request for a file creates a situation where a threat is made, enabling the possibility of violence.",+,0.7,0.8,82,85
event/0b2db358,event/63369023,CAUSES,causes,"The act of giving Pirrip as a family name is based on the information from the tombstone, establishing a direct link.",+,0.8,0.9,3,4
event/91ffe84a,event/ec0522a4,CAUSES,causes,"The act of hugging himself suggests a need for comfort and stability, which may lead to him limping towards the wall for support.",+,0.7,0.8,123,124
event/b49ca6a3,event/ce9d2299,CAUSES,causes,"The man's statement indicates a strong desire to eat, which is emphasized by his threatening gesture.",+,0.8,0.9,54,55
event/86ee419b,event/da8cee27,CAUSES,causes,The act of seeing him turning prompted the decision to head home.,+,0.8,0.9,126,127
event/ec19cd15,event/80e4ea27,CAUSES,enables,The act of going towards the river allows for the possibility of navigating the stones.,+,0.7,0.8,130,132
event/2892e65e,event/6b58ed18,CAUSES,causes,The emotional shock from the thought triggered a search for the source of distress.,+,0.8,0.85,144,147
event/e06f7606,event/488095ea,CAUSES,enables,The description of the river sets a foreboding scene that allows for the character's fear to develop.,+,0.7,0.8,20,22
event/4ce1740d,event/2892e65e,CAUSES,causes,"The sight of the gibbet and its chains evokes fear and anxiety, leading to a strong emotional reaction.",+,0.8,0.9,140,144
event/8e7ebe64,event/ec401a4d,CAUSES,causes,The request for support leads to being held upright.,+,0.8,0.9,90,94
event/b2a3296d,event/bdd6fd2b,CAUSES,causes,"The intense gaze at his leg and the observer creates a powerful emotional connection, leading to a deep eye contact.",+,0.7,0.8,73,77
event/c9a0d280,event/5359b123,CAUSES,enables,"The difficulty in holding the young man off suggests a strong attraction, enabling the speaker's intention to meet him.",+,0.7,0.8,111,115
event/9710f606,event/3f325624,CAUSES,causes,The act of looking up helplessly intensifies the feeling of helplessness and danger.,+,0.8,0.85,78,80
event/a0f0b11e,event/0c47f579,CAUSES,enables,The absence of parental figures allows for imaginative interpretations of their characteristics based on limited information.,+,0.7,0.8,6,9
event/90527ae7,event/96795492,CAUSES,causes,"Tilting leads to a change in position, which may facilitate feeding.",+,0.7,0.8,81,83
event/b40a199f,event/488095ea,CAUSES,causes,"The description of the dark wilderness evokes fear in the small bundle, suggesting a direct emotional response to the environment.",+,0.8,0.85,19,22
event/3d2b15e7,event/92643efb,CAUSES,causes,"The man's question startled him, prompting a quick reaction.",+,0.7,0.8,59,60
event/72f15bf4,event/4e2b0af5,CAUSES,causes,Seizing by the chin likely prompts a reaction to speak or respond.,+,0.7,0.8,32,37
event/d9eeddd3,event/ce9d2299,CAUSES,aggravates,"The man's comment about the dog's appearance may provoke a defensive or aggressive reaction, indicated by the threatening shake of his head.",+,0.7,0.8,51,55
event/471cba0d,event/521a3221,CAUSES,causes,"Holding tighter to the tombstone indicates a need for emotional support, which helps prevent crying.",+,0.8,0.85,57,58
event/0bcc9a50,event/8e7ebe64,CAUSES,enables,"Clinging provides physical support, allowing the speaker to maintain their balance.",+,0.8,0.9,89,90
event/2dd0da0e,event/33846e94,CAUSES,causes,"The action of stopping leads to a reaction of surprise or realization, indicated by 'Oh!'.",+,0.8,0.9,61,64
event/aa34e34b,event/5b5f1831,CAUSES,causes,"The tremendous dip and roll likely caused a strong emotional or physical reaction, leading to the fearful terms spoken.",+,0.8,0.85,93,95
event/ec401a4d,event/2e0baabb,CAUSES,enables,"The act of holding creates a sense of support, allowing the individual to feel less isolated.",+,0.7,0.8,94,98
