:ID,quote,chapter
src/event/d5b3c7a4,"My father’s family name being Pirrip, and my Christian name Philip...",2
src/event/547bf403,"So, I called myself Pip...",2
src/event/9285481c,...and came to be called Pip.,2
src/event/8da95665,I give Pirrip as my father’s family name,2
src/event/e6854bd4,on the authority of his tombstone and my sister,2
src/event/883b393a,"my sister,—Mrs. Joe Gargery, who married the blacksmith",2
src/event/b106ba15,As I never saw my father or my mother,2
src/event/5e4797db,and never saw any likeness of either of them,2
src/event/98c81cfe,(for their days were long before the days of photographs),2
src/event/58364f4a,my first fancies regarding what they were like were unreasonably derived from their tombstones,2
src/event/aee37b2f,The shape of the letters on my father’s,2
src/event/7e515327,"gave me an odd idea that he was a square, stout, dark man",2
src/event/18547ead,with curly black hair,2
src/event/f2600a74,I drew a childish conclusion that my mother was freckled and sickly.,2
src/event/da973ba7,"From the character and turn of the inscription,",2
src/event/5bb11b71,"To five little stone lozenges, each about a foot and a half long, which were arranged in a neat row beside their grave...",2
src/event/700b97e8,I am indebted for a belief I religiously entertained that they had all been born on their backs...,2
src/event/ed3e69a9,I am indebted for a belief I religiously entertained that they had all been born on their backs with their hands in their trousers-pockets...,2
src/event/4ed4f26c,"who gave up trying to get a living, exceedingly early in that universal struggle...",2
src/event/4073dc6c,"Ours was the marsh country, down by the river, within, as the river wound, twenty miles of the sea.",2
src/event/fa166e14,My first most vivid and broad impression of the identity of things seems to me to have been gained on a memorable raw afternoon towards evening.,2
src/event/20dd62f8,At such a time I found out for certain that this bleak place overgrown with nettles was the churchyard;,2
src/event/0eba016f,"and that Philip Pirrip, late of this parish, and also Georgiana wife of the above, were dead and buried;",2
src/event/802623d5,"and also Georgiana wife of the above, were dead and buried;",2
src/event/c023774a,"and that Alexander, Bartholomew, Abraham, Tobias, and Roger, infant children of the aforesaid, were also dead and buried;",2
src/event/0252e614,"and that the dark flat wilderness beyond the churchyard, intersected with dikes and mounds and gates, with scattered cattle feeding on it, was the marshes;",2
src/event/bdedb44d,and that the low leaden line beyond was the river;,2
