:ID,name
place_site_of_philip_pirrip's_father's_tombstone/0259b348,site of Philip Pirrip's father's tombstone
place_churchyard_where_parents’_tombstones_stand/5d3df3de,churchyard where parents’ tombstones stand
place_site_of_philip_pirrip's_father's_tombstone/d70a4505,site of Philip Pirrip's father's tombstone
place_churchyard_with_father’s_tombstone/62272cf1,churchyard with father’s tombstone
place_by_the_inscription_on_the_tombstone_(implied)/acf5d060,by the inscription on the tombstone (implied)
place_by_the_inscription_on_the_tombstone_(implied)/73488e9c,by the inscription on the tombstone (implied)
place_beside_their_grave/743d779b,beside their grave
"place_implicit,_associated_with_the_grave/ee83672c","implicit, associated with the grave"
"place_implicit,_at_or_regarding_the_grave/83fcacf6","implicit, at or regarding the grave"
"place_implicit,_in_narrator’s_mind/bb823d20","implicit, in narrator’s mind"
"place_implicit,_in_narrator’s_imagination/9a90bd53","implicit, in narrator’s imagination"
"place_implicit,_in_narrator’s_mind/70985659","implicit, in narrator’s mind"
place_the_marsh_country_down_by_the_river_within_twenty_miles_of_the_sea/2d68bf6b,the marsh country down by the river within twenty miles of the sea
place_bleak_place_overgrown_with_nettles_/_churchyard/b7829b3f,bleak place overgrown with nettles / churchyard
place_churchyard/b0fd0e0f,churchyard
place_churchyard/78ce4176,churchyard
place_churchyard/5fd5ec44,churchyard
place_churchyard/d4799523,churchyard
place_churchyard/fcce4d72,churchyard
place_churchyard/0c48f8d2,churchyard
place_churchyard/901e0e80,churchyard
place_dark_flat_wilderness_beyond_the_churchyard_/_the_marshes/6e2ee005,dark flat wilderness beyond the churchyard / the marshes
place_the_marshes/bcf03ef8,the marshes
place_low_leaden_line_beyond_the_marshes_/_the_river/a2ace859,low leaden line beyond the marshes / the river
place_distant_savage_lair_/_the_sea/6a8280a8,distant savage lair / the sea
place_from_the_sea_toward_the_churchyard_and_marshes/930c6fb4,from the sea toward the churchyard and marshes
place_churchyard_and_surrounding_landscape/94f11de2,churchyard and surrounding landscape
place_churchyard/ec360ac9,churchyard
place_churchyard/8cf85f7f,churchyard
place_among_the_graves_at_the_side_of_the_church_porch/f528b9b9,among the graves at the side of the church porch
place_among_the_graves_at_the_side_of_the_church_porch/a2e6d4b2,among the graves at the side of the church porch
place_among_the_graves_at_the_side_of_the_church_porch/5cc1e619,among the graves at the side of the church porch
place_among_the_graves_at_the_side_of_the_church_porch/7f8ae1fa,among the graves at the side of the church porch
place_by_the_graves_at_the_side_of_the_church_porch/75b3f6b9,by the graves at the side of the church porch
place_unspecified_location/a4d3cb41,unspecified location
place_unspecified_location/c608df55,unspecified location
place_unspecified_location/a7fad924,unspecified location
place_unspecified_location/522ea18b,unspecified location
place_unspecified_location/80fbcb24,unspecified location
place_unspecified_location/53e32fd6,unspecified location
place_unspecified_location/8ee605ab,unspecified location
place_unspecified_location/862e9246,unspecified location
"place_near_the_flat_in-shore_among_the_alder-trees_and_pollards,_a_mile_or_more_from_the_church/601332c5","near the flat in-shore among the alder-trees and pollards, a mile or more from the church"
"place_on_the_flat_in-shore_among_the_alder-trees_and_pollards,_a_mile_or_more_from_the_church/6396698e","on the flat in-shore among the alder-trees and pollards, a mile or more from the church"
place_churchyard_(implied)/cf4f5d24,churchyard (implied)
place_churchyard_(implied)/5a1ed8d4,churchyard (implied)
place_churchyard_(implied)/e95eaf7b,churchyard (implied)
place_churchyard_near_the_church/4973b888,churchyard near the church
place_churchyard_by_the_church/895cdaee,churchyard by the church
place_churchyard_by_the_church/fb246bb3,churchyard by the church
place_on_a_high_tombstone/5bc2e972,on a high tombstone
place_on_a_high_tombstone_in_the_churchyard/e106ea7b,on a high tombstone in the churchyard
place_churchyard_near_the_tombstone/d5a40707,churchyard near the tombstone
place_at_the_tombstone/2978c790,at the tombstone
place_on_the_tombstone/75b71c7e,on the tombstone
place_at_the_tombstone/1267628d,at the tombstone
place_on_the_tombstone/a6ce26e3,on the tombstone
place_unspecified_immediate_setting/1f60eb81,unspecified immediate setting
place_unspecified_immediate_setting/5085c0e6,unspecified immediate setting
place_unspecified_immediate_setting/b7b22ac8,unspecified immediate setting
place_(unspecified_immediate_scene)/0a3c38a7,(unspecified immediate scene)
place_(unspecified_immediate_scene)/0b1575f1,(unspecified immediate scene)
place_(unspecified_immediate_scene)/784b1b06,(unspecified immediate scene)
place_unspecified_location/b234862a,unspecified location
place_unspecified_location/cb28a3c5,unspecified location
place_unspecified_outdoor_location/9c7994cb,unspecified outdoor location
place_unspecified_outdoor_location/20a104f7,unspecified outdoor location
place_unspecified_outdoor_location/0e115f28,unspecified outdoor location
place_unspecified_outdoor_location/7705b9a1,unspecified outdoor location
place_unspecified_outdoor_location/82bb0c95,unspecified outdoor location
place_near_pip's_tombstone/0729a908,near Pip's tombstone
place_pip's_tombstone/b1655da1,Pip's tombstone
place_by_pip's_tombstone/d37e16a8,by Pip's tombstone
place_by_pip's_tombstone/14a89c00,by Pip's tombstone
place_by_pip's_tombstone/5e0eea62,by Pip's tombstone
place_by_pip's_tombstone/5206351d,by Pip's tombstone
