:START_ID,:END_ID,:TYPE,strength
agent_pip/c25de6a8,event/744f4608,AFFECTED_IN,1.0
agent_pip/5f760ccc,event/26fc2daa,AFFECTED_IN,1.0
agent_pip/4fd05300,event/3530ff6d,AFFECTED_IN,1.0
agent_pip/db4a2969,event/47a8e791,AFFECTED_IN,1.0
agent_pip/d0ca8d20,event/5f8c72bd,AFFECTED_IN,1.0
agent_pip/33e5836d,event/b1311c95,AFFECTED_IN,1.0
agent_pip/4177f971,event/34c6f586,AFFECTED_IN,1.0
agent_pip/4d908fd7,event/a5b22377,AFFECTED_IN,1.0
agent_pip’s_father/6fc17e2f,event/3f44d653,AFFECTED_IN,0.9
agent_pip’s_father/2d3544ef,event/ecc70151,AFFECTED_IN,0.9
agent_pip’s_father/76430663,event/b74d1681,AFFECTED_IN,0.9
agent_pip’s_father/3c9dbf76,event/c5d3429e,AFFECTED_IN,0.7
agent_pip’s_mother/241931f1,event/ecc70151,AFFECTED_IN,0.9
agent_pip’s_mother/dcf40746,event/b74d1681,AFFECTED_IN,0.9
agent_pip’s_mother/5feca9b9,event/a0de06a5,AFFECTED_IN,0.7
agent_pip’s_mother/2c24975d,event/f54afb3c,AFFECTED_IN,0.9
agent_pip’s_five_little_brothers/7203c599,event/416b8459,AFFECTED_IN,1.0
agent_georgiana/b153247e,event/be2f62c9,AFFECTED_IN,0.9
agent_convict/1e83de23,event/cff8fc57,AFFECTED_IN,1.0
agent_convict/4bb0c094,event/b0e89038,AFFECTED_IN,1.0
agent_convict/546dccde,event/62398135,AFFECTED_IN,1.0
agent_convict/fa1f1137,event/701c9bde,AFFECTED_IN,1.0
agent_convict/403306ce,event/e6dfc058,AFFECTED_IN,1.0
agent_convict/85831e1b,event/45c0cdf3,AFFECTED_IN,1.0
agent_convict/d00dd155,event/fd5be405,AFFECTED_IN,1.0
agent_convict/d7b69983,event/ea1ddf0f,AFFECTED_IN,1.0
agent_i/256167ac,event/00fde77e,AFFECTED_IN,1.0
agent_i/d97033ab,event/94c4575d,AFFECTED_IN,1.0
agent_i/28968e7b,event/eb6fb3ed,AFFECTED_IN,1.0
agent_i/4ad0056f,event/f74c27a2,AFFECTED_IN,1.0
agent_i/7aa7ba1f,event/60665bbf,AFFECTED_IN,1.0
agent_i/ac92104b,event/84259fed,AFFECTED_IN,1.0
agent_i/ad8ebd4a,event/129dcc78,AFFECTED_IN,1.0
agent_i/ccc45a35,event/0bd0bc44,AFFECTED_IN,1.0
agent_i/b72c6089,event/3bbb618f,AFFECTED_IN,1.0
agent_i/fef86427,event/423ab7b1,AFFECTED_IN,0.4
agent_i/16219023,event/20c8a7ab,AFFECTED_IN,0.4
agent_i/e51be9a3,event/e5493b52,AFFECTED_IN,0.6
agent_i/996cd4c6,event/0ee2f071,AFFECTED_IN,0.8
agent_i/187de7de,event/e7852593,AFFECTED_IN,0.9
agent_the_man/0f0729e4,event/88c17de4,AFFECTED_IN,0.6
agent_the_man/a5d06513,event/654be1ad,AFFECTED_IN,0.8
agent_the_man/5319dd6f,event/7a9a0fdc,AFFECTED_IN,0.8
agent_the_man/90553ba4,event/3bd74a2e,AFFECTED_IN,0.6
agent_the_man/646b0504,event/9559d7b8,AFFECTED_IN,0.8
agent_he/689ffaad,event/f2599412,AFFECTED_IN,0.7
agent_he/34c02014,event/89a395ba,AFFECTED_IN,0.7
agent_he/c02eccae,event/32e89fb9,AFFECTED_IN,0.7
agent_he/f944cc42,event/0daeeccf,AFFECTED_IN,0.3
agent_he/66a16070,event/4bca56d7,AFFECTED_IN,1.0
agent_he/b3b605b9,event/cfee5087,AFFECTED_IN,1.0
agent_he/1ea1b4f6,event/001fbfc3,AFFECTED_IN,1.0
agent_he/ee84827e,event/5e660441,AFFECTED_IN,1.0
agent_he/f46c841c,event/b7195672,AFFECTED_IN,1.0
agent_he/90f9490e,event/c59df86f,AFFECTED_IN,1.0
agent_joe_gargery/bb2ea057,event/e7852593,AFFECTED_IN,0.5
agent_man/459ba7ad,event/9ad7c6d4,AFFECTED_IN,0.5
agent_man/61c352bc,event/c250f076,AFFECTED_IN,1.0
agent_man/63aa33c5,event/841cf743,AFFECTED_IN,1.0
agent_man/1550df0a,event/2b289f3a,AFFECTED_IN,1.0
agent_man/effdc11e,event/4181e532,AFFECTED_IN,1.0
