:START_ID,:END_ID,:TYPE,relationType,mechanism,sign,weight,confidence,cause_seq,effect_seq
event/3af67ad0,event/5cbbe848,CAUSES,causes,"The man’s comment about the fat cheeks prompts him to follow up with a mock-threatening statement about eating them, as a joking escalation of the initial observation.",+,0.87,0.9,83,87
event/81bf9506,event/dcc2b5fc,CAUSES,causes,"Being giddy makes it difficult to stand steadily, prompting the speaker to ask permission to remain upright or be supported.",-,0.68,0.7,138,140
event/c518e17e,event/fc04436e,CAUSES,causes,"His peculiar way of reaching a boy emotionally and psychologically prompts him to approach gently and persistently, leading to his soft creeping toward the boy.",+,0.85,0.86,158,165
event/a1b25186,event/c94c2df1,CAUSES,causes,"The growling presumably signals threat or aggression, provoking fear that leads the speaker to plead in terror as a defensive reaction.",-,0.76,0.79,59,63
event/0ceaec56,event/d6346879,CAUSES,enables,"Asking if he knows what a file is sets up the instruction and shared understanding required for the command to get a file, enabling the subsequent request.",+,0.6,0.63,125,128
event/a750b912,event/ea61b845,CAUSES,enables,"The timid explanation gives the listener new information or clarity, prompting his reaction and return to the conversation.",+,0.64,0.74,102,104
event/98ba2da3,event/fce00bd5,CAUSES,enables,Bringing the lot to the speaker is a conditional requirement that enables the promised outcome of being allowed to live.,+,0.87,0.86,148,150
event/c8f6891e,event/bb0e50d6,CAUSES,aggravates,"The speaker’s promise to get the file prompts the man to escalate by demanding a stronger oath, intensifying the interaction.",+,0.63,0.7,172,175
event/52fecc03,event/6e6d6965,CAUSES,enables,"The stark sky of red and black lines creates low, contrasty light conditions that make isolated dark objects at the river’s edge stand out and be faintly visible.",+,0.58,0.63,210,211
event/e0ebdedc,event/5a0d637e,CAUSES,causes,"The cattle look up to visually follow him, which establishes that if he were visible they would see him; their action leads to the realization that he is out of sight.",0,0.63,0.69,222,225
event/7ea059e2,event/9e5533be,CAUSES,causes,His repeated dark looks at his leg and at the speaker lead into and intensify the final act of fixing his gaze powerfully into the speaker’s eyes.,+,0.63,0.7,116,120
event/850abc44,event/1109de6b,CAUSES,causes,"Tearing him open allows the young man to get inside, so resisting or avoiding being torn open leads to the difficulty of keeping him out of the person’s insides.",-,0.7,0.7,166,169
event/6e6d6965,event/fbc4acbe,CAUSES,causes,The narrator’s ability to faintly discern two black shapes at the river’s edge leads to one of them being identified as a gibbet with chains.,0,0.63,0.74,211,215
event/98ba2da3,event/17ae3314,CAUSES,prevents,"The speaker’s condition that the listener must follow instructions exactly, including bringing the lot to the specified place, is meant to prevent the failure that would occur if they deviate from those words.",-,0.76,0.78,148,152
event/f07fa169,event/79bf7b2d,CAUSES,aggravates,"Being lamed by stones leaves the subject vulnerable and moving poorly, which likely leads to further injuries such as being torn by briars during continued movement.",-,0.63,0.69,52,55
event/046e22d3,event/52cd4496,CAUSES,enables,"Looking over his shoulder prompts or allows him to notice something that makes him exclaim 'Oh!' and return, so the glance enables his reaction and movement back.",+,0.63,0.71,99,103
event/79fe269c,event/0565a6a5,CAUSES,causes,The shiver reflects fear or shock triggered by the sudden physical action of being seized by the chin; the grabbing causes the bodily reaction.,+,0.71,0.78,57,61
event/9e5533be,event/1207052e,CAUSES,causes,"His powerful downward gaze exerts psychological dominance or magnetism, eliciting a helpless, submissive upward gaze in the narrator.",-,0.79,0.86,120,122
event/27b5879d,event/2338d454,CAUSES,enables,"Getting him food facilitates or is a condition for bringing both items/persons to him, as part of a linked set of demands.",+,0.6,0.75,130,132
event/88947729,event/dcaa3404,CAUSES,causes,"Turning around to look for the narrator alerts them, prompting them to run away and use their legs as quickly as possible.",+,0.76,0.78,196,199
event/fbc4acbe,event/a5c9e3a2,CAUSES,enables,"The presence of the gibbet with chains visually suggests a hanged pirate, enabling the narrator to imagine the man as a pirate come back to life to re-hang himself.",0,0.74,0.8,215,219
event/0ec3aab2,event/bd0364f5,CAUSES,enables,His muttering while considering reflects the ongoing thought process that allows him to state he has not yet made up his mind.,0,0.7,0.79,109,112
event/3eeda89f,event/a108f4e7,CAUSES,enables,"Tucking himself up creates a physically secure posture and feeling of enclosure, which allows him to feel comfortable and safe.",+,0.76,0.81,162,164
event/5a0d637e,event/43acacf7,CAUSES,causes,"Not seeing any signs of him leads the narrator to interpret his absence as danger or loss, triggering renewed fear.",+,0.8,0.86,225,226
event/0323a011,event/e2dcd2e5,CAUSES,causes,"The question about his mother triggers an emotional or startled reaction, prompting him to physically jerk or start in surprise.",+,0.7,0.76,95,96
event/afa510f7,event/16234515,CAUSES,prevents,"The threat tied to bringing the file and food is meant to intimidate Pip into silence about the convict’s existence, thus discouraging him from speaking or signaling to others.",-,0.77,0.83,147,149
event/5986fb75,event/0ec3aab2,CAUSES,causes,"The remark identifying someone as formerly of the parish prompts the character to think about it, leading him to mutter while considering the information.",0,0.76,0.78,107,109
event/d984080f,event/c97ef20e,CAUSES,enables,"Because he could only say Pip as a child and not his full name, he later relies on external authority (the tombstone) to state his father’s family name as Pirrip.",+,0.54,0.68,1,4
event/c880de81,event/79fe269c,CAUSES,causes,"Being stung by nettles causes sharp pain and localized irritation, which can trigger a bodily reaction including shivering from discomfort or shock.",+,0.6,0.7,54,57
event/ad480de9,event/da2afb0b,CAUSES,causes,"Being undersized for one’s age implies physical underdevelopment, which likely contributes to reduced muscular strength and overall physical robustness.",-,0.75,0.86,85,86
event/7eacfde9,event/c8f6891e,CAUSES,aggravates,"The threat of brutal punishment heightens Pip’s fear and pressure, pushing him to comply with the convict’s demand and promise to get the file.",-,0.8,0.87,157,172
event/9740e994,event/aa32a7f6,CAUSES,enables,"By asserting he isn’t alone, the speaker introduces the existence of another, worse young man, which allows him to present himself as comparatively angelic.",+,0.67,0.69,153,155
event/47875a24,event/aeac5b9e,CAUSES,causes,The man’s request prompts a pause and scrutiny; his looking at the speaker for a moment is a direct response to asking where they live.,0,0.7,0.7,68,72
event/84b3e256,event/3eeda89f,CAUSES,causes,Feeling warm and comfortable in bed prompts him to tuck himself up to maintain or enhance that warmth and coziness.,+,0.76,0.76,161,162
event/b7712f4b,event/0386c213,CAUSES,causes,"The remark about being a blacksmith prompts the other character to react physically, taking the speaker by both arms to inspect, challenge, or engage him.",+,0.64,0.76,114,118
event/2d88fd16,event/c32958ab,CAUSES,causes,The pattern of tilting after each question implies a repeated action; previous tilts set up the context and lead to him tilting again as the next step in the sequence.,0,0.74,0.83,126,129
event/3dc7a5ff,event/f04e0192,CAUSES,causes,"The ghosts stretch from their graves to twist his ankle and pull him in, resulting in an injury that makes him limp as he continues moving toward the destination.",-,0.84,0.86,193,218
event/4792c1d9,event/f07fa169,CAUSES,causes,"Walking in broken shoes without proper protection makes his feet vulnerable to injury from stones, leading to him becoming lamed by them.",-,0.78,0.82,49,52
event/5eea2ba6,event/42dab3ad,CAUSES,causes,"The impossibility of hiding from the young man implies unavoidable pursuit or contact, which leads to the struggle to keep him out of the boy’s inside.",-,0.78,0.86,159,168
event/5557f7c2,event/83bd35e3,CAUSES,enables,His limping approach to the low church wall brings him close enough for the dead to reach his ankle and attempt to pull him in.,-,0.76,0.79,188,192
