:ID,factor
why_family_surname_is_pirrip/a34a22a6,Family surname is Pirrip
why_christian_name_is_chosen_as_ph/2e44ce81,Christian name is chosen as Philip
why_philip_pirrip_is_an_infant_wit/1d0219a8,Philip Pirrip is an infant with limited speech ability
why_philip_pirrip_can_only_articul/49dc4821,Philip Pirrip can only articulate the shorter sound 'Pip'
why_philip_pirrip_wants_a_usable_s/99c0cd02,Philip Pirrip wants a usable self-designation
why_philip_pirrip_calls_himself_pi/906f180a,Philip Pirrip calls himself Pip
why_social_tendency_to_accept_and_/d61e7751,Social tendency to accept and repeat a self-chosen nickname
why_philip_pirrip_is_narrating_his/30a4b137,Philip Pirrip is narrating his origins and family background
why_information_on_tombstone_provi/a5c4bece,Information on tombstone provides the family name
why_lack_of_direct_knowledge_of_hi/ae378196,Lack of direct knowledge of his father forces Philip Pirrip to depend on the tombstone
why_the_tombstone_explicitly_displ/0a355a12,The tombstone explicitly displays the family name
why_philip_pirrip_is_explaining_hi/03ee019c,Philip Pirrip is explaining his immediate family relationships
why_social_custom_and_personal_cho/848ee2a2,Social custom and personal choice leading to marriage
why_philip_pirrip's_father_died_be/ce67f932,Philip Pirrip's father died before Philip Pirrip could remember or see him
why_philip_pirrip's_mother_died_be/fee32e43,Philip Pirrip's mother died before he could see or remember her
why_there_were_no_surviving_portra/296cd1e7,There were no surviving portraits or images of his parents
why_technological_context:_photogr/4d3d02a5,Technological context: photographs did not exist in his parents’ time
why_absence_of_direct_memories_or_/25e42efc,Absence of direct memories or images of his parents
why_childhood_curiosity_about_his_/17445095,Childhood curiosity about his parents
why_adult_philip_pirrip_retrospect/33341e04,Adult Philip Pirrip retrospectively evaluates his childhood reasoning as unreasonable
why_tombstones_are_the_only_availa/d99bdcaf,Tombstones are the only available physical traces of his parents
why_child_philip_pirrip_attempts_t/f9beb9c8,Child Philip Pirrip attempts to construct mental images from limited evidence
why_philip_pirrip_reads_and_visual/7ce8ed6a,Philip Pirrip reads and visually inspects his father’s tombstone
why_visual_impression_of_the_squar/fb13cd28,"Visual impression of the square, stout letter shapes"
why_childlike_tendency_to_anthropo/dc566b1f,Childlike tendency to anthropomorphize written forms into bodily traits
why_adult_retrospective_evaluation/93a79ead,Adult retrospective evaluation of childhood reasoning as strange or unreasonable
why_pip_observes_the_character_and/b9f7b494,Pip observes the character and turn of the inscription
why_pip_is_a_child_forming_naive_c/56a03086,Pip is a child forming naive conclusions
why_pip_concludes_his_mother_was_f/1fd8a87d,Pip concludes his mother was freckled and sickly
why_pip’s_lack_of_real_memories_of/bbbc2194,Pip’s lack of real memories of his mother leads him to rely on indirect clues
why_narrator_is_looking_at_or_reme/31a18a9c,Narrator is looking at or remembering the grave site with the stone lozenges
why_five_deceased_brothers_are_com/1133ad50,Five deceased brothers are commemorated by the lozenges
why_general_hardship_of_the_'unive/3935ecbe,General hardship of the 'universal struggle' for a living
why_brothers_'gave_up_trying_to_ge/41c0b85a,Brothers 'gave up trying to get a living' suggesting inability to sustain life
why_presence_and_arrangement_of_fi/45c141a6,Presence and arrangement of five little stone lozenges beside the grave
why_narrator’s_childhood_imaginati/89a002ac,Narrator’s childhood imagination projecting meaning onto the grave markers
why_narrator’s_inference_from_the_/4c839b7b,Narrator’s inference from the appearance of the lozenges and the brothers’ deaths
why_childlike_tendency_to_create_f/afe2ceac,Childlike tendency to create fanciful explanations about death and the dead
why_narrator’s_fanciful_interpreta/ba03862e,Narrator’s fanciful interpretation of the grave markers
why_comedic_or_ironic_framing_of_t/3a67318c,Comedic or ironic framing of the brothers as never engaging in the 'universal struggle'
why_metaphor_that_brothers_'gave_u/e6293c6f,Metaphor that brothers 'gave up trying to get a living' exceedingly early
why_narrator’s_ironic_moralization/f6730cab,Narrator’s ironic moralization that they 'never took' their hands out in this state of existence
why_philip_pirrip_is_reflecting_on/8880427a,Philip Pirrip is reflecting on his earliest broad impression of the world
"why_the_conditions_of_a_memorable,/a2681414","The conditions of a memorable, raw afternoon toward evening shape the impression"
why_pip_observes_the_bleak_place_o/70cd2acd,Pip observes the bleak place overgrown with nettles
why_pip_is_present_in_the_area_con/78eebce0,Pip is present in the area containing graves
why_pip_reads_or_otherwise_learns_/a7ca86e1,Pip reads or otherwise learns the inscription about Philip Pirrip
why_philip_pirrip_previously_died_/6ed45e16,Philip Pirrip previously died and was buried
why_pip_reads_or_otherwise_learns_/cd7f0cb9,Pip reads or otherwise learns the inscription about Georgiana
why_georgiana_previously_died_and_/5f46118f,Georgiana previously died and was buried
why_pip_observes_mention_of_alexan/1226ebce,Pip observes mention of Alexander among the infant children
why_alexander_previously_died_and_/e9973488,Alexander previously died and was buried
why_pip_observes_mention_of_bartho/00a496ff,Pip observes mention of Bartholomew among the infant children
why_bartholomew_previously_died_an/b28d5dfc,Bartholomew previously died and was buried
why_pip_observes_mention_of_abraha/e99adbce,Pip observes mention of Abraham among the infant children
why_abraham_previously_died_and_wa/5cc36dd5,Abraham previously died and was buried
why_pip_observes_mention_of_tobias/5bf50154,Pip observes mention of Tobias among the infant children
why_tobias_previously_died_and_was/8d0d172a,Tobias previously died and was buried
why_pip_observes_mention_of_roger_/895fc970,Pip observes mention of Roger among the infant children
