:ID,name,eventType,actionType,source_quote,causeWeight,confidence,sequence,chapter,time,location
event/1e53f288,Philip Pirrip cannot pronounce full names as an infant,other,mispronounce,my infant tongue could make of both names nothing longer or more explicit than Pip.,1.0,0.8478,0,1,infancy,
event/c6132117,Philip Pirrip adopts the name Pip for himself,transformation,name,"So, I, called myself Pip",1.0,0.8754,1,1,after realizing his infant pronunciation,
event/5a0ea536,Others begin calling Philip Pirrip by the name Pip,communication,name,and came to be called Pip.,1.0,0.8437,2,1,after Philip Pirrip calls himself Pip,
event/11ae2e86,Pip reports his father's family name as Pirrip,communication,state,"I give Pirrip as my father’s family name, on the authority of his tombstone",0.9990000000000001,0.9174,3,1,narrative present (recollection of childhood),unspecified
event/b7a5d269,Pip relies on his father's tombstone as authority for the name,perception/recognition,rely,on the authority of his tombstone,1.0,0.8738,4,1,Pip's childhood (implied),"churchyard (implied, site of tombstone)"
event/fdf1bfba,Pip identifies his sister as Mrs. Joe Gargery,communication,identify,"my sister,—Mrs. Joe Gargery",1.0,0.9325,5,1,narrative present (recollection),unspecified
event/4dc2d56e,Pip reports that Mrs. Joe Gargery married Joe Gargery the blacksmith,transformation,marry,"Mrs. Joe Gargery, who married the blacksmith",1.0,0.9553,6,1,before Pip’s narrated childhood,unspecified
event/c9b639c5,Pip states he never saw his father,perception/recognition,not-see,As I never saw my father,1.0,0.901,7,1,Pip's childhood up to narration time,various early-life settings (implied)
event/01731a0e,Pip states he never saw his mother,perception/recognition,not-see,or my mother,1.0,0.8534,8,1,Pip's childhood up to narration time,various early-life settings (implied)
event/ae911bda,Pip states he never saw any likeness of his parents,perception/recognition,not-see,and never saw any likeness of either of them,1.0,0.8714,9,1,Pip's childhood up to narration time,unspecified
event/83158509,Pip notes his parents lived long before the days of photographs,perception/recognition,realize,for their days were long before the days of photographs,1.0,0.9098,10,1,narrative present reflecting on 'their days',unspecified
event/d89b58c1,Pip forms his first fanciful ideas of what his parents were like,perception/recognition,imagine,my first fancies regarding what they were like,1.0,0.8522,11,1,Pip's early childhood,churchyard by the tombstones (implied)
event/726e2076,Pip unreasonably derives his ideas of his parents from their tombstones,perception/recognition,infer,were unreasonably derived from their tombstones,1.0,0.9024,12,1,Pip's early childhood,churchyard at the tombstones (implied)
