:START_ID,:END_ID,:TYPE,relationType,mechanism,sign,weight,confidence,cause_seq,effect_seq
event/4c6b4f53,event/35261591,CAUSES,causes,"The eerie, dark description of the wilderness and marshes creates a frightening atmosphere that makes the small bundle of shivers (Pip) grow afraid and begin to cry.",-,0.86,0.88,31,35
event/057be3e2,event/bb0ab1a9,CAUSES,enables,The speaker’s praise and emphasis on the young man’s special qualities sets up and justifies the claim about his secret way of getting at a boy’s heart and liver.,+,0.6,0.76,129,131
event/28349599,event/4d859591,CAUSES,enables,"The initial utterance introduces the speaker’s timid explanation and leads into the additional information about Georgiana being the mother, enabling the subsequent clause.",+,0.63,0.72,78,80
event/d21030e4,event/3813cb18,CAUSES,enables,"Being dreadfully frightened may trigger a stress response that could counteract faintness or illness, making the speaker think the fear might keep them from becoming sick.",+,0.55,0.56,113,117
event/914df750,event/ee808686,CAUSES,enables,"The man initiating speech sets up a conversational context that leads to him asking, “Where’s your mother?” as his next utterance.",+,0.6,0.71,72,73
event/053465f5,event/85bca813,CAUSES,enables,"Recovering from numbness and stiffness in his legs allows him to regain control and mobility, enabling him to make the best use of his legs.",+,0.81,0.86,157,161
event/9f8ddc2a,event/f03e3517,CAUSES,causes,The narrator’s decision to call himself Pip leads others to adopt and use that name for him.,+,0.98,0.97,1,2
event/924bad1e,event/01205b39,CAUSES,enables,"His intense gaze asserts dominance and intimidation, setting the stage for his verbal threat about whether the narrator will be allowed to live.",0,0.79,0.82,99,101
event/fb5d8b17,event/90f82186,CAUSES,causes,"The man’s sudden appearance from among the graves prompts him to threaten the child to control him, leading directly to the spoken threat.",-,0.79,0.82,37,39
event/06fd1a82,event/e6bdb737,CAUSES,enables,Stating that Mrs. Joe Gargery is Joe Gargery’s wife leads directly into the further identifying description of him as the blacksmith.,+,0.68,0.71,91,92
event/fd6e30e4,event/c3695a25,CAUSES,enables,"Giving up early in the struggle to make a living fosters and reflects an attitude of ingrained laziness and dependence, metaphorically described as being born idle and complacent.",-,0.76,0.78,19,21
event/2af64edc,event/02fe6274,CAUSES,enables,"The brambles and grave mounds evoke a setting tied to the dead, enabling the impression that he is eluding the hands of dead people as he looks into the narrator’s eyes.",+,0.6,0.69,152,153
event/92593720,event/5b47294a,CAUSES,enables,"Licking his lips signals rising appetite and anticipation, setting up and motivating his subsequent statement about wanting to eat them threateningly.",+,0.71,0.78,61,65
event/1a42e10d,event/4213b5a1,CAUSES,causes,"Carefully walking among nettles likely alters his footing, leading to an awkward step that twists his ankle and causes him to be pulled in.",-,0.68,0.78,151,155
event/35261591,event/afd9ead4,CAUSES,causes,"Pip’s frightened crying draws attention and provokes the nearby person, who responds by shouting at him to be quiet.",-,0.86,0.9,35,38
event/bc842ab2,event/e76ab6c2,CAUSES,causes,The question prompts clarification and likely precedes the instruction; establishing understanding of what a file is leads into the demand to obtain one.,+,0.53,0.63,102,105
event/80d9815d,event/dbb7feb8,CAUSES,enables,"Not having taken them out before in this state of existence makes the subsequent outing and associated perceptions novel, enabling the formation of a vivid first broad impression of identity of things.",+,0.68,0.66,22,25
event/a05d1173,event/dff3750c,CAUSES,causes,"The narrator’s perception of him as the pirate come to life and approaching triggers a fearful emotional reaction, resulting in a terrible turn.",-,0.9,0.92,179,181
event/1c1eb444,event/e30331fb,CAUSES,causes,Not having seen either person leads the observer to form unreasonable mental images of them based only on their tombstones.,0,0.79,0.86,9,12
event/c0338f19,event/d7ce68d3,CAUSES,enables,"The question appears to be a proposal or invitation eliciting the narrator’s planned action of coming to him at the Battery in the morning, thus enabling that future visit.",+,0.61,0.68,137,140
event/683d217a,event/563c1f45,CAUSES,causes,"The physical and aggressive act of seizing the narrator by the chin induces fear, prompting a terrified verbal reaction in the form of pleading.",+,0.93,0.94,44,46
event/924bad1e,event/1596267d,CAUSES,enables,"His intense gaze exerts psychological pressure, weakening her resistance and making it easier for him to manipulate her physically after each question.",+,0.66,0.73,99,103
event/2119561a,event/568f5a05,CAUSES,enables,"Approaching the tombstone reduces distance, making it physically possible for him to reach and take the speaker by both arms.",+,0.71,0.8,96,97
event/13c084be,event/ab66d876,CAUSES,causes,"By holding tighter to the tombstone, he physically supports or stabilizes the narrator, enabling them to stay upon it.",+,0.86,0.86,69,70
event/f03e3517,event/b4b405d2,CAUSES,enables,"The name Pip is adopted based on the inscription on his father’s tombstone, which provides the authoritative source for the name he takes.",+,0.66,0.79,2,4
event/29ec39d5,event/dbd279e1,CAUSES,causes,"Because hiding from the young man is in vain, the boy’s attempts to lock his door and hide in bed follow as futile efforts to conceal himself.",+,0.79,0.83,132,133
event/e250f02e,event/01b3f289,CAUSES,causes,"The repeated dark looks at his leg and the narrator suggest building intent or decision, which leads directly to the action of tilting the narrator back.",+,0.76,0.8,95,98
event/94b40161,event/bd898780,CAUSES,causes,"After tossing and rolling the narrator, he physically restrains and steadies him on top of the stone, as a direct continuation of the same action sequence.",+,0.7,0.76,119,121
event/c3695a25,event/80d9815d,CAUSES,causes,"Being born with their hands in their pockets metaphorically fixes a habit of idleness, leading to them never removing their hands throughout life.",-,0.91,0.93,21,22
event/b6af4129,event/1a42e10d,CAUSES,enables,"Limping toward the wall brings him into the overgrown area, making it possible for him to pick his way among the nettles as he moves there.",0,0.76,0.78,149,151
event/9795a963,event/13c084be,CAUSES,enables,"The narrator’s earnest plea appears to prompt or allow the other person to react by gripping the tombstone more tightly, as part of an emotional or physical response.",+,0.54,0.63,68,69
event/12ea4f34,event/a05d1173,CAUSES,enables,"The coffin’s history of once holding a pirate enables the imaginative perception that the boy resembles the pirate come to life, linking the object’s past with the current scene.",+,0.64,0.73,177,179
event/96b4b311,event/28f8e8b5,CAUSES,causes,"The phrasing and wording of the inscription lead the narrator to infer specific traits about his mother, prompting his childish conclusion.",+,0.86,0.9,15,16
event/b9be3e25,event/3502a40c,CAUSES,causes,"The man’s noticeable limping movement draws attention, prompting the cattle to raise their heads and watch him pass.",0,0.67,0.74,178,182
event/d7f09b8b,event/262fb8de,CAUSES,causes,The man’s direct request for the narrator to show where he lives prompts the narrator to point out the location of the village.,+,0.9,0.97,49,50
event/13df1f4a,event/9c9a24d0,CAUSES,prevents,"The speaker’s conditional command and implied threat are intended to stop the listener from revealing the encounter, thus preventing any speech or signals about having seen him.",-,0.84,0.86,124,125
event/3b82785c,event/e30331fb,CAUSES,enables,"Because they lived before photography, no images existed, so later impressions of them had to be inferred indirectly from their tombstones.",0,0.64,0.81,10,12
event/1a42e10d,event/2af64edc,CAUSES,enables,Picking his way among the nettles positions him to move also among the adjacent brambles that border the green mounds.,0,0.62,0.73,151,152
event/932e3405,event/eb8e1bf4,CAUSES,causes,"The speaker’s affirmative response and added detail give the listener new information to process, prompting him to pause and mutter while considering it.",+,0.71,0.79,84,87
event/4213b5a1,event/053465f5,CAUSES,prevents,"The prior twisting/pulling of his ankle numbs and stiffens his legs, reducing his sensation of pain so that he can get over the injury more easily.",-,0.54,0.6,155,157
event/f34f15d2,event/358b19a5,CAUSES,causes,"Not seeing any signs of him likely convinces the character he is gone or unreachable, prompting fear or urgency that leads them to run home without stopping.",+,0.78,0.8,186,188
event/f41528d9,event/ddf98077,CAUSES,causes,The man’s act of looking at the speaker precedes and motivates his decision to physically turn the speaker upside down.,+,0.63,0.7,52,53
event/279aad17,event/35a54733,CAUSES,causes,"Making a short run positions or prompts the person to stop, leading them to pause and look back over their shoulder, likely to check behind them.",0,0.6,0.76,75,77
event/01205b39,event/04beb116,CAUSES,causes,"His threatening question about whether Pip will be allowed to live heightens Pip’s awareness of his vulnerability, producing a stronger feeling of helplessness and danger.",-,0.86,0.93,101,104
event/b6af4129,event/02fe6274,CAUSES,enables,"His limping movement toward the church wall contributes to the eerie impression that he is escaping or eluding the dead, shaping how he appears to the observer.",+,0.5,0.64,149,153
event/04beb116,event/d21030e4,CAUSES,causes,"A stronger sense of helplessness and danger directly heightens fear, leading the speaker to feel dreadfully frightened.",+,0.92,0.96,104,113
event/f2699605,event/358b19a5,CAUSES,causes,"The narrator’s wondering about others’ opinions likely creates anxiety or urgency, motivating them to run home without stopping.",+,0.63,0.7,184,188
