:ID,name,eventType,actionType,source_quote,causeWeight,confidence,sequence,chapter,time,location
event/ff53969a,Infant speech distorts full names into 'Pip',transformation,mispronounce,my infant tongue could make of both names nothing longer or more explicit than Pip.,1.0,0.98,0,1,Infancy,Unspecified early childhood setting
event/9f8ddc2a,Philip chooses to call himself Pip,communication,name,"So, I, called myself Pip",1.0,0.99,1,1,After infancy speech develops enough to choose a name,Unspecified early childhood setting
event/f03e3517,Others begin calling Philip 'Pip',communication,nickname,and came to be called Pip.,1.0,0.96,2,1,"Early childhood, after he calls himself Pip",Unspecified community setting
event/86c11f9a,Philip reports his father’s family name as Pirrip,communication,state,I give Pirrip as my father’s family name,1.0,0.99,3,1,Narration time (adulthood retrospective),Narrative present (unspecified location)
event/b4b405d2,Philip relies on his father’s tombstone as authority for the name Pirrip,perception/recognition,rely,on the authority of his tombstone,1.0,0.98,4,1,"After his parents’ deaths, in Philip’s childhood",Graveyard
event/d216f955,Philip relies on his sister’s word as authority for the name Pirrip,perception/recognition,rely,"and my sister,—Mrs. Joe Gargery",1.0,0.97,5,1,Childhood,Family home (implied)
event/2fef2e83,Mrs. Joe marries the blacksmith Joe Gargery,transformation,marry,"my sister,—Mrs. Joe Gargery, who married the blacksmith.",1.0,0.95,6,1,Before Philip’s narrated childhood recollections,Unspecified village location
event/46f1e07c,Philip has never seen his father,perception/recognition,not-see,As I never saw my father,1.0,0.99,7,1,From birth until narration time,Throughout Philip’s life up to narration point
event/aa39b6e8,Philip has never seen his mother,perception/recognition,not-see,or my mother,1.0,0.99,8,1,From birth until narration time,Throughout Philip’s life up to narration point
event/1c1eb444,Philip has never seen any likeness of his parents,perception/recognition,not-see,and never saw any likeness of either of them,1.0,0.97,9,1,From childhood until narration time,Throughout Philip’s life up to narration point
event/3b82785c,Philip notes his parents lived long before photographs,perception/recognition,realize,(for their days were long before the days of photographs),1.0,0.96,10,1,"Adulthood, looking back",Narrative present (unspecified location)
event/0690c0bb,Philip forms his first fancies about his parents’ appearance,emotion,fantasize,my first fancies regarding what they were like,1.0,0.98,11,1,Childhood,"Graveyard (implied, by the tombstones)"
event/e30331fb,Philip unreasonably derives parents’ appearance from their tombstones,perception/recognition,infer,were unreasonably derived from their tombstones.,1.0,0.99,12,1,Childhood,Graveyard
event/68c1242a,Philip observes the shape of the letters on his father’s tombstone,perception/recognition,perceive,The shape of the letters on my father’s,1.0,0.99,13,1,Childhood visit(s) to the graveyard,"Graveyard, at father’s tombstone"
event/5ee56164,"Philip gets an odd idea that his father was square, stout, dark with curly hair",perception/recognition,imagine,"gave me an odd idea that he was a square, stout, dark man, with curly black hair.",1.0,0.99,14,1,Childhood,Graveyard
event/96b4b311,Philip reads or notes the inscription 'Also Georgiana Wife of the Above',perception/recognition,read,"From the character and turn of the inscription, “Also Georgiana Wife of the Above,”",1.0,0.98,15,1,Childhood,"Graveyard, at mother’s portion of the tombstone"
event/28f8e8b5,Philip draws a childish conclusion that his mother was freckled and sickly,perception/recognition,conclude,I drew a childish conclusion that my mother was freckled and sickly.,1.0,0.99,16,1,Childhood,Graveyard
event/65951c40,Five little stone lozenges are arranged in a neat row beside the parents’ grave,other,arrange,"To five little stone lozenges, each about a foot and a half long, which were arranged in a neat row beside their grave",1.0,0.9,17,1,Before Philip’s observation in childhood,"Beside the grave of Philip’s parents, in the graveyard"
event/f996f4a5,The lozenges are made sacred to the memory of Philip’s five little brothers,transformation,dedicate,and were sacred to the memory of five little brothers of mine,1.0,0.94,18,1,At the time of the brothers’ burials,Graveyard
event/fd6e30e4,Five little brothers give up trying to get a living very early,transformation,die,"who gave up trying to get a living, exceedingly early in that universal struggle",1.0,0.96,19,1,Early in their lives,Unspecified locations before burial
event/8f56e35c,Philip feels indebted to the stone lozenges for his belief about his brothers,emotion,feel-indebted,I am indebted for a belief I religiously entertained,1.0,0.95,20,1,"Childhood feeling, recalled later","Graveyard (implied), remembered in narrative present"
