:ID,relationType,weight,confidence,mechanism,sign,cause_sequence,effect_sequence
causal/ab3ae712,causes,0.9,0.95,The mention of the family name prompts the character to adopt a name for himself.,+,0,1
causal/8fa6e56b,causes,0.9,0.95,The family name Pirrip directly leads to the character being identified as Pip.,+,0,2
causal/f20f25dd,causes,0.9,0.95,The act of calling oneself Pip directly leads to being referred to as Pip by others.,+,1,2
causal/30a27fca,causes,0.9,0.95,The mention of the family name directly leads to its use as the speaker's identifier.,+,0,3
causal/574bea47,causes,0.8,0.9,The act of calling himself Pip leads to the identification of his family name.,+,1,3
causal/aff2533d,causes,0.9,0.95,"The naming of Pip is directly influenced by the family name Pirrip, establishing a causal relationship.",+,2,3
causal/b7a208c8,causes,0.8,0.85,"The act of calling oneself Pip suggests a personal identity linked to the tombstone, indicating a direct connection.",+,1,4
causal/0b27de88,causes,0.8,0.9,"The naming of Pip is directly linked to the inscription on his tombstone, indicating a causal relationship.",+,2,4
causal/4893311a,causes,0.8,0.9,"The act of giving Pirrip as a family name is based on the information from the tombstone, establishing a direct link.",+,3,4
causal/f1dab4ef,causes,0.8,0.9,"Pip's self-identification leads to the introduction of his sister, establishing familial context.",+,1,5
causal/fff0b04d,enables,0.8,0.9,Providing the family name allows for the identification of the sister's marital status.,+,3,5
causal/fb2d7cca,enables,0.7,0.8,"The act of giving Pirrip as a family name implies a connection to the father, which is significant in the context of not having seen him.",+,3,6
causal/9bb6f1ec,causes,0.8,0.9,The absence of parental figures leads to a lack of familiarity with their likeness.,+,6,7
causal/c1a2a127,enables,0.7,0.8,The authority of the tombstone allows for the remembrance of individuals in a time before photographs.,+,4,8
causal/25d58f68,causes,0.8,0.9,"The absence of photographs is a direct consequence of not having seen the parents, implying a lack of visual memory.",+,6,8
causal/fc471b52,causes,0.8,0.9,"The absence of photographs leads to a lack of likeness, as people could not visually capture images of each other.",+,7,8
causal/d6e44756,causes,0.8,0.9,The absence of parental figures leads to the formation of unrealistic perceptions based on limited information.,+,6,9
causal/41c57aa0,causes,0.8,0.9,The absence of likeness leads to reliance on tombstones for imagination.,+,7,9
causal/e9d73e81,causes,0.8,0.9,"The absence of photographs leads to reliance on tombstones for imagination, causing distorted perceptions.",+,8,9
causal/962c2ec6,enables,0.7,0.8,"The initial fancies about the deceased are influenced by the tombstones, which allows for the interpretation of the letters on the father's tombstone.",+,9,10
causal/594c0e73,causes,0.7,0.8,The absence of likeness leads to an imaginative interpretation of the person's appearance.,+,7,11
causal/e913bbf6,causes,0.8,0.9,The initial fancies based on tombstones led to a specific mental image of the person.,+,9,11
causal/aa5bab0d,enables,0.7,0.8,The description of the letters suggests a visual or conceptual association that influences the perception of the father's character.,+,10,11
