:START_ID,:END_ID,:TYPE,relationType,mechanism,sign,weight,confidence,cause_seq,effect_seq
event/e250e1a5,event/0e6c4c36,CAUSES,enables,"Locking the door creates a sense of security, allowing the boy to feel comfortable.",+,0.7,0.8,112,116
event/74fcf2ef,event/52643e66,CAUSES,causes,The action of taking someone by the arms creates a physical connection that leads to a feeling of helplessness and vulnerability.,+,0.8,0.85,83,86
event/7a6e1750,event/872967fb,CAUSES,causes,The man's command implies that his action of staring is a direct result of his words.,+,0.8,0.9,41,43
event/7be5184a,event/ef2b637e,CAUSES,causes,Being turned upside down directly leads to the perception of seeing the steeple under one's feet.,+,0.9,0.95,48,52
event/4160d83d,event/260f7c2a,CAUSES,causes,The threat of dire consequences compels the young man to listen attentively to the speaker's words.,+,0.8,0.9,106,109
event/36cc5f83,event/92134c5e,CAUSES,causes,"The man's suffering from various physical injuries and discomfort leads to his limping, shivering, glaring, and growling.",+,0.8,0.9,31,33
event/4160d83d,event/96376c59,CAUSES,causes,The threat of severe punishment (failure leading to harm) motivates the young man to develop a unique method to connect with others.,+,0.8,0.7,106,110
event/b33f8cfa,event/76794ee2,CAUSES,causes,The death of Philip Pirrip and Georgiana likely led to the death of their infant children due to neglect or lack of care.,+,0.8,0.75,19,20
event/49c9854a,event/ccd6a35a,CAUSES,causes,Tucking oneself up typically leads to drawing the clothes over the head for warmth or comfort.,+,0.8,0.85,114,115
event/62df8e22,event/92134c5e,CAUSES,causes,"The fearful man's condition and appearance contribute to his limping, shivering, glaring, and growling behavior.",+,0.8,0.85,29,33
event/ccd6a35a,event/6b774ee0,CAUSES,prevents,Drawing the clothes over his head may distract or hinder the young man's ability to harm.,+,0.7,0.8,115,119
event/e250e1a5,event/49c9854a,CAUSES,enables,"Locking the door provides privacy, allowing the boy to tuck himself up comfortably.",+,0.7,0.8,112,114
event/36cc5f83,event/86cf3887,CAUSES,causes,"The man's suffering from various physical injuries and discomfort leads to his limping, shivering, glaring, and growling.",+,0.8,0.9,31,35
event/c52ba2ee,event/d99380f5,CAUSES,enables,"The man's determination to eat prevents him from expressing his emotions, enabling him to suppress his tears.",+,0.7,0.8,59,63
event/49c9854a,event/0e6c4c36,CAUSES,enables,Tucking oneself up creates a sense of comfort and safety.,+,0.7,0.8,114,116
event/166e8d23,event/1e3c3829,CAUSES,causes,Tilting over increases the feeling of helplessness by physically altering balance.,+,0.8,0.85,89,91
event/1e3c3829,event/6d6e5e95,CAUSES,aggravates,"Tilting increases the threat level, intensifying the speaker's violent intent.",+,0.7,0.8,91,94
event/32c3a10c,event/9363b59b,CAUSES,causes,Seizing by the chin likely prompts a reaction to speak or respond.,+,0.8,0.85,37,42
event/00b9abd2,event/152d2d26,CAUSES,causes,"The act of clinging suggests a need for support, leading to the dramatic dip and roll.",+,0.8,0.9,98,102
event/872967fb,event/346a2904,CAUSES,enables,Staring at someone can prompt them to provide directions or guidance.,+,0.7,0.8,43,45
event/32c3a10c,event/7a6e1750,CAUSES,causes,"The act of seizing by the chin prompts a direct response from the man, indicating a cause-and-effect relationship.",+,0.8,0.85,37,41
event/d7ede6e2,event/a5bbf1d3,CAUSES,causes,"The fear experienced by the bundle of shivers prompts a reaction, leading to the man's sudden movement.",+,0.7,0.8,24,26
event/fb23f5b7,event/5c011a34,CAUSES,enables,The absence of photographs allows the imagination to shape a vivid image of the father based on letters.,+,0.7,0.8,8,10
event/c52ba2ee,event/742d570e,CAUSES,causes,The man's threatening demeanor suggests that his desire to eat is causing the other person to hold tighter to the tombstone in fear.,+,0.8,0.85,59,62
event/0e6c4c36,event/6b774ee0,CAUSES,prevents,"The sense of comfort and safety may lead to complacency, but the speaker actively prevents harm despite this feeling.",+,0.7,0.8,116,119
event/4edf4863,event/e250e1a5,CAUSES,prevents,"The boy's attempt to hide suggests he is trying to avoid being found, which is supported by locking the door.",+,0.7,0.8,111,112
event/9e39aa8a,event/263fc53b,CAUSES,causes,"The act of tilting creates a physical and emotional connection, intensifying eye contact.",+,0.8,0.85,84,85
event/1388d863,event/d99380f5,CAUSES,prevents,"Expressing hope may help manage emotions, reducing the likelihood of crying.",+,0.7,0.8,61,63
event/57db3832,event/152d2d26,CAUSES,causes,"The request for stability is directly contradicted by the action of dipping and rolling, leading to an exaggerated outcome.",+,0.8,0.9,99,102
event/a5d3f9cc,event/8308518d,CAUSES,causes,The act of looking in the young eyes triggers the imagery of dead people stretching from their graves.,+,0.8,0.9,135,136
event/23cd98ed,event/f7cc372f,CAUSES,enables,Pip's self-identification allows for the recognition of his name on the tombstone.,+,0.7,0.8,0,4
event/cdd72180,event/52643e66,CAUSES,prevents,"The plea to refrain from an action suggests a protective intent, which may prevent harm or distress.",+,0.7,0.8,40,86
event/ae823e24,event/260f7c2a,CAUSES,causes,"The speaker's self-comparison to an angel implies a significant contrast, prompting the young man to listen attentively.",+,0.8,0.9,108,109
event/704f6f20,event/58c18a61,CAUSES,causes,Looking over the shoulder prompts the action of stopping to look after someone.,+,0.8,0.85,140,144
event/ae823e24,event/96376c59,CAUSES,enables,"The young man's hidden nature allows him to connect deeply with others, suggesting a unique influence on emotional engagement.",+,0.7,0.8,108,110
event/f3d7db57,event/fb23f5b7,CAUSES,causes,"The absence of photographs is a direct result of not having seen the parents, implying a causal link.",+,0.8,0.9,6,8
event/06c82226,event/91e291cb,CAUSES,enables,"Remembering the young man may trigger a sense of nostalgia or motivation, leading to the action of going home.",+,0.7,0.8,128,129
event/fb23f5b7,event/3b172c9c,CAUSES,causes,"The absence of photographs leads to reliance on tombstones for imagination, causing distorted perceptions.",+,0.8,0.9,8,9
event/9363b59b,event/c46c1fca,CAUSES,enables,"The command to 'give it mouth' suggests prompting or encouraging a response, which enables the man to ask for the location.",+,0.7,0.8,42,44
event/b760a944,event/3c85710d,CAUSES,causes,The mention of the family name directly leads to its use as an identifier.,+,0.9,0.95,1,3
event/1388d863,event/742d570e,CAUSES,aggravates,"The expression of hope may have intensified his emotional grip, leading to a stronger attachment to the tombstone.",+,0.7,0.8,61,62
event/1e3c3829,event/0a346ca7,CAUSES,enables,Tilting creates a position that allows for easier access to the file.,+,0.7,0.8,91,92
event/c52160ad,event/c9ca5f4a,CAUSES,aggravates,"Crying may provoke a harsh reaction, escalating the situation.",+,0.7,0.8,25,28
event/8a14d100,event/bc7941f5,CAUSES,causes,Fear can lead to feelings of dizziness or giddiness due to heightened anxiety and physiological responses.,+,0.8,0.85,96,97
event/0dc4c246,event/ae823e24,CAUSES,enables,The presence of the young man allows the speaker to feel less alone and enhances their self-perception.,+,0.7,0.8,107,108
event/59592dbc,event/3e296ebb,CAUSES,causes,"The chattering teeth indicate fear, which leads to the plea for mercy.",+,0.8,0.85,36,38
event/1f7ca27d,event/b5b177c9,CAUSES,causes,The act of looking for the young man induces fear due to the anticipation of encountering him.,+,0.8,0.85,156,158
event/98caa49a,event/7be5184a,CAUSES,causes,The man's action of looking at the speaker leads to the subsequent action of turning them upside down.,+,0.8,0.9,47,48
event/36cc5f83,event/0849133b,CAUSES,causes,"The man's suffering from various physical injuries and discomfort leads to his limping, shivering, glaring, and growling.",+,0.8,0.9,31,32
event/5d8896d5,event/b5b177c9,CAUSES,causes,"The cattle's behavior triggers a sense of fear in the observer, indicating a direct emotional response.",+,0.7,0.8,154,158
event/ccd6a35a,event/ef0fcc1a,CAUSES,enables,Drawing the clothes over his head allows the young man to approach quietly.,+,0.7,0.8,115,117
event/5cc19add,event/8155c64d,CAUSES,enables,"The man's compliment about the dog's cheeks suggests a playful intent, enabling the possibility of further interaction.",+,0.7,0.8,56,60
event/74fcf2ef,event/a8298261,CAUSES,enables,The action of taking by the arms suggests a physical control that allows for a conversation about life and death.,+,0.7,0.8,83,87
event/b652ecdf,event/c460aa25,CAUSES,enables,Using legs effectively allows for navigating difficult terrain despite foot pain.,+,0.7,0.8,139,143
event/62df8e22,event/0849133b,CAUSES,causes,"The fearful man's condition and appearance contribute to his limping, shivering, glaring, and growling behavior.",+,0.8,0.85,29,32
event/ef0fcc1a,event/afdd7acb,CAUSES,causes,The young man's creeping behavior suggests a stealthy approach that leads to a violent outcome.,+,0.8,0.9,117,118
event/346a2904,event/7be5184a,CAUSES,causes,"The command to point out a location leads to a disorienting experience, metaphorically turning the speaker upside down.",+,0.8,0.7,45,48
event/afdd7acb,event/6b774ee0,CAUSES,prevents,"The act of tearing him open is being prevented, which stops potential harm.",+,0.8,0.85,118,119
event/168b2644,event/66b75bb0,CAUSES,causes,The lack of visual reference led to an imaginative conclusion about the mother's appearance.,+,0.8,0.85,7,11
event/346a2904,event/98caa49a,CAUSES,enables,The command to point out a location prompts the man's attention towards the speaker.,+,0.7,0.8,45,47
event/3c85710d,event/7c2d8479,CAUSES,enables,Providing the family name allows for the introduction of the sister's identity and marital status.,+,0.8,0.9,3,5
event/5af20959,event/465574cc,CAUSES,causes,"The act of picking his way among obstacles likely led to his limping, suggesting a physical consequence.",+,0.7,0.8,132,134
event/3112b56c,event/7b887074,CAUSES,causes,"The inscription suggests a significant relationship, implying that Georgiana's identity as a wife may have influenced her decision to abandon her struggle for a living.",+,0.7,0.8,12,14
event/d91cb099,event/c9ca5f4a,CAUSES,aggravates,"The command to be quiet intensifies the threat of violence, suggesting a direct escalation of fear.",+,0.8,0.9,27,28
event/fe0d8e0f,event/3f4563c6,CAUSES,enables,The difficulty in obtaining food suggests that the effort to provide food is made possible despite challenges.,+,0.7,0.8,121,124
event/a5bbf1d3,event/c9ca5f4a,CAUSES,causes,"The sudden appearance of the man from the graves likely instills fear, prompting the aggressive threat.",+,0.8,0.7,26,28
event/4dc6a63a,event/3b8ac632,CAUSES,prevents,"Being sick hinders attendance, suggesting that health directly affects the ability to participate.",-,0.8,0.85,100,101
event/0e6c4c36,event/ef0fcc1a,CAUSES,enables,Feeling comfortable and safe allows the young man to approach quietly.,+,0.7,0.8,116,117
event/fdaf1189,event/4160d83d,CAUSES,prevents,The demand for the file and food serves as a condition to avoid severe punishment.,+,0.8,0.9,105,106
event/d99380f5,event/d06b8de5,CAUSES,prevents,The act of keeping oneself from crying directly leads to stopping the tears.,+,0.8,0.9,63,66
event/d99380f5,event/69e9a0c9,CAUSES,enables,The act of keeping oneself from crying allows the person to look over their shoulder without being overwhelmed by emotion.,+,0.7,0.8,63,67
event/0e6c4c36,event/d66b33d7,CAUSES,aggravates,"Feeling comfortable may lead to complacency, making it harder to resist unwanted advances.",+,0.7,0.8,116,120
event/766876f4,event/74fcf2ef,CAUSES,causes,"The intense gaze suggests a strong emotional response, prompting physical action.",+,0.7,0.8,81,83
event/49c9854a,event/afdd7acb,CAUSES,causes,Tucking oneself up may lead to a situation where one is vulnerable to being torn open.,+,0.7,0.6,114,118
event/07c6b73d,event/59592dbc,CAUSES,causes,"The description of the subject's physical state (limping, shivering) suggests a direct cause for the chattering teeth, indicating a response to cold or fear.",+,0.8,0.85,34,36
event/86cf3887,event/59592dbc,CAUSES,causes,"The description of the subject's physical state (limping, shivering) suggests a direct cause for the chattering teeth, indicating a response to cold or fear.",+,0.8,0.85,35,36
