:ID,name,eventType,actionType,source_quote,causeWeight,confidence,sequence,chapter,time,location
event/98d9e352,Pip identifies his name,reflection/emotion,identify,"So, I called myself Pip, and came to be called Pip.",1.0,0.9,0,1,,
event/3ffe7c37,Pip reflects on his family name,reflection/emotion,reflect,"My father’s family name being Pirrip, and my Christian name Philip...",1.0,0.8,1,1,,
event/02e0e791,Pip attempts to pronounce his names,action,attempt,my infant tongue could make of both names nothing longer or more explicit than Pip.,1.0,0.7,2,1,,
event/0b2db358,Pip identifies his family name,reflection/emotion,give,I give Pirrip as my father’s family name,1.0,0.9,3,1,,
event/63369023,Pip references his father's tombstone,perception/recognition,reference,on the authority of his tombstone,1.0,0.8,4,1,,
event/6fa5d9b9,Pip mentions his sister,reflection/emotion,mention,"my sister,—Mrs. Joe Gargery, who married the blacksmith",1.0,0.8,5,1,,
event/a0f0b11e,Pip reflects on never seeing his parents,reflection/emotion,reflect,As I never saw my father or my mother,1.0,0.9,6,1,,
event/228daf5c,Pip notes the absence of photographs,perception/recognition,note,for their days were long before the days of photographs,1.0,0.7,7,1,,
event/ee483a9b,Pip derives fancies from tombstones,reflection/emotion,derive,my first fancies regarding what they were like were unreasonably derived from their tombstones,1.0,0.8,8,1,,
event/0c47f579,Pip imagines his father's appearance,reflection/emotion,imagine,"The shape of the letters on my father’s, gave me an odd idea that he was a square, stout, dark man, with curly black hair",1.0,0.9,9,1,,
event/2d8cc35a,Pip draws a conclusion about his mother,reflection/emotion,draw,I drew a childish conclusion that my mother was freckled and sickly.,1.0,0.9,10,1,,
event/77e3718d,Pip reflects on the grave markers,reflection/emotion,reflect,"To five little stone lozenges, each about a foot and a half long, which were arranged in a neat row beside their grave, and were sacred to the memory of five little brothers of mine",1.0,0.9,11,1,,
event/d997ece5,Pip acknowledges the early death of his brothers,reflection/emotion,acknowledge,"who gave up trying to get a living, exceedingly early in that universal struggle",1.0,0.8,12,1,,
event/0c2abb5d,Pip expresses a belief about his brothers' existence,reflection/emotion,believe,I am indebted for a belief I religiously entertained that they had all been born on their backs with their hands in their trousers-pockets,1.0,0.8,13,1,,
event/44ec80e5,Pip describes the state of existence of his brothers,reflection/emotion,describe,and had never taken them out in this state of existence,1.0,0.7,14,1,,
event/b70ea36d,Pip perceives the marsh country,perception/recognition,perceive,My first most vivid and broad impression of the identity of things seems to me to have been gained on a memorable raw afternoon towards evening.,1.0,0.9,15,1,afternoon towards evening,marsh country
event/fe8c61c2,Pip reflects on the identity of things,reflection/emotion,reflect,My first most vivid and broad impression of the identity of things seems to me to have been gained on a memorable raw afternoon towards evening.,1.0,0.8,16,1,,marsh country
event/ce009d81,Pip recognizes the churchyard,perception/recognition,recognize,I found out for certain that this bleak place overgrown with nettles was the churchyard,1.0,0.9,17,1,,churchyard
event/04c2d385,Pip learns about the deceased,perception/recognition,learn,"that Philip Pirrip, late of this parish, and also Georgiana wife of the above, were dead and buried",1.0,0.8,18,1,,churchyard
event/b40a199f,Pip recognizes the marshes,perception/recognition,recognize,the dark flat wilderness beyond the churchyard...was the marshes,1.0,0.8,19,1,,marshes
event/e06f7606,Pip recognizes the river,perception/recognition,recognize,the low leaden line beyond was the river,1.0,0.8,20,1,,marshes
