:ID,name,eventType,actionType,source_quote,causeWeight,confidence,sequence,chapter,time,location
event/d060ebf3,Infant tongue cannot say full names,other,mispronounce,my infant tongue could make of both names nothing longer or more explicit than Pip.,1.0,0.93,0,1,infancy,
event/441cbba4,Pip names himself Pip,transformation,name,"So, I, called myself Pip",1.0,0.96,1,1,infancy,
event/744f4608,Others come to call him Pip,communication,name,and came to be called Pip.,1.0,0.92,2,1,after he calls himself Pip,
event/bc439683,Pip reports father’s family name as Pirrip,communication,state,"I give Pirrip as my father’s family name, on the authority of his tombstone",1.0,0.95,3,1,narration present,
event/26432d99,Pip’s sister marries the blacksmith,transformation,marry,"my sister,—Mrs. Joe Gargery, who married the blacksmith.",1.0,0.92,4,1,before narration present,
event/3f44d653,Pip has never seen his father,perception/recognition,not_see,As I never saw my father,1.0,0.94,5,1,throughout Pip’s life up to then,
event/38ac4381,Pip has never seen his mother,perception/recognition,not_see,or my mother,1.0,0.94,6,1,throughout Pip’s life up to then,
event/ecc70151,Pip has never seen any likeness of his parents,perception/recognition,not_see,and never saw any likeness of either of them,1.0,0.93,7,1,childhood,
event/b74d1681,Pip has unreasonable fancies about parents’ appearance from tombstones,emotion,imagine,my first fancies regarding what they were like were unreasonably derived from their tombstones.,1.0,0.95,8,1,childhood,churchyard with tombstones
event/c5d3429e,"Pip interprets shape of letters to imagine father as square, stout, dark with curly hair",perception/recognition,infer,"The shape of the letters on my father’s, gave me an odd idea that he was a square, stout, dark man, with curly black hair.",1.0,0.96,9,1,childhood,churchyard at father’s tombstone
event/a0de06a5,Pip reads or notes the inscription about Georgiana,perception/recognition,read,"From the character and turn of the inscription, “Also Georgiana Wife of the Above,”",1.0,0.9,10,1,childhood,mother’s tombstone
event/f54afb3c,Pip draws childish conclusion that mother was freckled and sickly,perception/recognition,conclude,I drew a childish conclusion that my mother was freckled and sickly.,1.0,0.96,11,1,childhood,churchyard at mother’s tombstone
event/7cb78de4,Five little brothers die young (give up trying to get a living),transformation,die,"five little brothers of mine,—who gave up trying to get a living, exceedingly early in that universal struggle",1.0,0.9,12,1,before Pip’s memories,marsh country graveyard
event/1f4eff21,The five brothers are commemorated by five little stone lozenges,other,commemorate,"To five little stone lozenges... which were arranged in a neat row beside their grave, and were sacred to the memory of five little brothers of mine",1.0,0.88,13,1,after their deaths,beside their grave
event/416b8459,Pip forms belief about brothers’ posture and pockets at birth,perception/recognition,believe,I am indebted for a belief I religiously entertained that they had all been born on their backs with their hands in their trousers-pockets,1.0,0.96,14,1,childhood,graveyard near the stone lozenges
event/f0234d7e,Pip religiously entertains this belief for some time,emotion,entertain,I am indebted for a belief I religiously entertained,1.0,0.9,15,1,extended period in childhood,graveyard near the stone lozenges
event/25d55cad,Pip recognizes his home region as marsh country by the river,perception/recognition,recognize,"Ours was the marsh country, down by the river",1.0,0.95,16,1,general childhood setting,"the marsh country, down by the river"
event/4e67e895,Pip estimates distance from river to sea as twenty miles,perception/recognition,estimate,"within, as the river wound, twenty miles of the sea.",1.0,0.9,17,1,"narration present, referring to past",marsh country along the river
