:ID,name,actionType,source_quote,confidence,sequence,chapter,time,location,scene_id,theme_POWER_involvement,theme_POWER_role,theme_POWER_confidence,theme_POWER_evidence,theme_WEALTH_involvement,theme_WEALTH_role,theme_WEALTH_confidence,theme_WEALTH_evidence,theme_KINSHIP_involvement,theme_KINSHIP_role,theme_KINSHIP_confidence,theme_KINSHIP_evidence,theme_JUSTICE_involvement,theme_JUSTICE_role,theme_JUSTICE_confidence,theme_JUSTICE_evidence,theme_KNOWLEDGE_involvement,theme_KNOWLEDGE_role,theme_KNOWLEDGE_confidence,theme_KNOWLEDGE_evidence,theme_annotations_raw
event/da5e455c,"Philip Pirrip introduced himself by his given name and family name, and the nickname Pip.",CHARACTER_INTRODUCTION,,0.9,0,1,,,,none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,"{""KNOWLEDGE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""POWER"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}}"
event/f48376a6,Philip Pirrip called himself Pip.,AUTONOMY_ASSERTION,,0.95,1,1,,,,none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,"{""KNOWLEDGE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""POWER"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}}"
event/b1ecb6d3,Philip Pirrip affirmed his father’s family name as Pirrip based on the authority of the tombstone and Mrs. Joe Gargery.,ACKNOWLEDGMENT,,0.86,2,1,,Churchyard (implied by tombstone reference),,none,,0.0,,none,,0.0,,direct,revealing,0.7,"He ""affirmed his father’s family name as Pirrip,"" explicitly invoking the father–child tie.",none,,0.0,,direct,revealing,0.9,"He ""affirmed"" the name ""based on the authority of the tombstone and Mrs. Joe Gargery,"" indicating information learned from sources.","{""KNOWLEDGE"": {""involvement"": ""direct"", ""role"": ""revealing"", ""evidence"": ""He \""affirmed\"" the name \""based on the authority of the tombstone and Mrs. Joe Gargery,\"" indicating information learned from sources."", ""signals"": [""affirmed"", ""authority of the tombstone"", ""Mrs. Joe Gargery\u2019s testimony"", ""based on""], ""confidence"": 0.9}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""direct"", ""role"": ""revealing"", ""evidence"": ""He \""affirmed his father\u2019s family name as Pirrip,\"" explicitly invoking the father\u2013child tie."", ""signals"": [""father\u2019s family name"", ""affirmed"", ""father"", ""Pirrip""], ""confidence"": 0.7}, ""POWER"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}}"
event/21b0ff15,Mrs. Joe Gargery married Joe Gargery.,COMPANIONSHIP_FORMED,,0.92,3,1,,Churchyard (implied by tombstone reference),,none,,0.0,,none,,0.0,,direct,initiating,0.95,"""married Joe Gargery"" establishes a marital tie, creating a household/family relationship.",none,,0.0,,none,,0.0,,"{""KNOWLEDGE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""direct"", ""role"": ""initiating"", ""evidence"": ""\""married Joe Gargery\"" establishes a marital tie, creating a household/family relationship."", ""signals"": [""married"", ""Mrs."", ""marital union""], ""confidence"": 0.95}, ""POWER"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}}"
event/fe262c0f,"Philip Pirrip acknowledged that he never saw his father or his mother, nor any likeness of them.",ACKNOWLEDGMENT,,0.88,4,1,,Churchyard (implied by tombstone reference),,none,,0.0,,none,,0.0,,latent,revealing,0.42,"He ""never saw his father or his mother,"" which references his parental ties without creating or breaking them.",none,,0.0,,direct,revealing,0.74,"Philip Pirrip ""acknowledged that he never saw his father or his mother, nor any likeness of them,"" directly revealing a lack of information about his parents.","{""KNOWLEDGE"": {""involvement"": ""direct"", ""role"": ""revealing"", ""evidence"": ""Philip Pirrip \""acknowledged that he never saw his father or his mother, nor any likeness of them,\"" directly revealing a lack of information about his parents."", ""signals"": [""acknowledged"", ""never saw"", ""nor any likeness"", ""father or his mother""], ""confidence"": 0.74}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""latent"", ""role"": ""revealing"", ""evidence"": ""He \""never saw his father or his mother,\"" which references his parental ties without creating or breaking them."", ""signals"": [""father"", ""mother"", ""never saw"", ""acknowledged""], ""confidence"": 0.42}, ""POWER"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}}"
event/5dcb93c5,Philip Pirrip formed his first fancies about his parents from their tombstones.,CONTEMPLATION,,0.9,5,1,,Churchyard,,none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,direct,revealing,0.72,Philip Pirrip formed his first fancies about his parents from their tombstones.,"{""KNOWLEDGE"": {""involvement"": ""direct"", ""role"": ""revealing"", ""evidence"": ""Philip Pirrip formed his first fancies about his parents from their tombstones."", ""signals"": [""formed his first fancies"", ""from their tombstones"", ""about his parents"", ""absence of photographs and personal memories""], ""confidence"": 0.72}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""POWER"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}}"
event/ac3ad326,"From the shape of the letters on the tombstone, Philip Pirrip imagined that Philip Pirrip was a square, stout, dark man with curly black hair.",CONTEMPLATION,,0.83,6,1,,Churchyard,,none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,"{""KNOWLEDGE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""POWER"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}}"
event/41d98a2d,"From the inscription 'Also Georgiana Wife of the Above,' Philip Pirrip concluded that Georgiana Pirrip was freckled and sickly.",CONTEMPLATION,,0.86,7,1,,Churchyard,,none,,0.0,,none,,0.0,,latent,revealing,0.45,"The inscription includes 'Also Georgiana Wife of the Above,' which invokes a marital tie.",none,,0.0,,direct,revealing,0.7,‘From the inscription ... Philip Pirrip concluded that Georgiana Pirrip was freckled and sickly.’,"{""KNOWLEDGE"": {""involvement"": ""direct"", ""role"": ""revealing"", ""evidence"": ""\u2018From the inscription ... Philip Pirrip concluded that Georgiana Pirrip was freckled and sickly.\u2019"", ""signals"": [""concluded"", ""from the inscription"", ""was freckled and sickly""], ""confidence"": 0.7}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""latent"", ""role"": ""revealing"", ""evidence"": ""The inscription includes 'Also Georgiana Wife of the Above,' which invokes a marital tie."", ""signals"": [""'Wife of the Above'"", ""inscription"", ""marital tie""], ""confidence"": 0.45}, ""POWER"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}}"
event/c3da3699,"Philip Pirrip formed a belief, from five little stone lozenges, that Alexander Pirrip, Bartholomew Pirrip, Abraham Pirrip, Tobias Pirrip, and Roger Pirrip had been born on their backs with their hands in their trousers-pockets and never taken them out.",CONTEMPLATION,,0.84,8,1,,Churchyard,,none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,"{""KNOWLEDGE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""POWER"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}}"
event/11f23c14,"On a memorable raw afternoon towards evening, Philip Pirrip recognized that the bleak nettle-overgrown place was the churchyard.",ACKNOWLEDGMENT,,0.9,9,1,A memorable raw afternoon towards evening,Churchyard,,none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,direct,revealing,0.9,Philip Pirrip recognized that the bleak nettle-overgrown place was the churchyard.,"{""KNOWLEDGE"": {""involvement"": ""direct"", ""role"": ""revealing"", ""evidence"": ""Philip Pirrip recognized that the bleak nettle-overgrown place was the churchyard."", ""signals"": [""recognized"", ""was the churchyard"", ""identified place""], ""confidence"": 0.9}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""POWER"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}}"
