:ID,factor
why_limited_articulation_of_infant/7428a451,Limited articulation of infant tongue
why_complexity_of_the_names_'pirri/d72ab526,Complexity of the names 'Pirrip' and 'Philip' for a child
why_infant_mispronunciation_produc/b17fa29d,Infant mispronunciation producing 'Pip'
why_desire_for_a_usable_self-desig/89d952a7,Desire for a usable self-designation
why_philip_calls_himself_pip/488cd9fa,Philip calls himself Pip
why_social_tendency_to_adopt_self-/3a4c0f63,Social tendency to adopt self-given nicknames
why_information_learned_from_tombs/61f7e93b,Information learned from tombstone and sister
why_narrator’s_intention_to_explai/3d5fe04d,Narrator’s intention to explain his name
why_absence_of_living_parents_to_c/130ddc7f,Absence of living parents to confirm the name
why_tombstone_as_an_official_recor/27b96f7f,Tombstone as an official record
why_sister_is_older_surviving_fami/edb8d21d,Sister is older surviving family and caregiver
why_lack_of_other_sources_of_famil/cf836970,Lack of other sources of family history
why_mutual_decision_to_marry/fc997451,Mutual decision to marry
why_social_custom_of_marriage/a108038a,Social custom of marriage
why_father_died_before_or_soon_aft/cd72a223,Father died before or soon after Philip’s birth
why_no_later_meeting_or_surviving_/1054794d,No later meeting or surviving images
why_mother_died_before_or_soon_aft/98ed8237,Mother died before or soon after Philip’s birth
why_no_later_meeting_or_surviving_/5fa5a784,No later meeting or surviving images
why_parents_lived_before_photograp/e375a697,Parents lived before photographs were common
why_apparent_absence_of_painted_po/fe4723e2,Apparent absence of painted portraits or drawings
why_later_historical_knowledge_abo/5cba7552,Later historical knowledge about invention of photographs
why_contrast_between_his_era_and_h/0b2c2abe,Contrast between his era and his parents’ era
why_lack_of_direct_visual_knowledg/e9ab4064,Lack of direct visual knowledge of parents
why_childhood_curiosity_about_abse/ff1b8be8,Childhood curiosity about absent parents
why_tombstones_are_the_only_tangib/69a3ec8a,Tombstones are the only tangible traces of parents
why_child’s_tendency_to_personify_/f467287b,Child’s tendency to personify or over-interpret symbols
why_physical_presence_near_the_tom/4858f11d,Physical presence near the tombstone
why_curiosity_and_attention_to_det/f9992392,Curiosity and attention to details on the stone
why_visual_impression_of_letter_sh/d81f138f,Visual impression of letter shapes on tombstone
why_childish_tendency_to_map_abstr/c7f62271,Childish tendency to map abstract forms onto people
why_inscription_is_physically_pres/9a6edde5,Inscription is physically present on tombstone
why_philip_is_literate_enough_to_u/038ea07c,Philip is literate enough to understand it
why_interpretation_of_the_wording_/7818a06e,Interpretation of the wording and 'turn' of the inscription
why_childish_associative_thinking_/4b82f472,Childish associative thinking linking words to physical traits
why_commemoration_of_five_deceased/2410ac39,Commemoration of five deceased brothers
why_graveyard_conventions_for_mark/1854368d,Graveyard conventions for marking multiple child graves
why_deaths_of_five_brothers_in_ear/44e7c864,Deaths of five brothers in early life
why_religious_and_familial_practic/cb6cb3ab,Religious and familial practice of memorializing dead children
