:START_ID,:END_ID,:TYPE,relationType,mechanism,sign,weight,confidence,cause_seq,effect_seq
event/c1646130,event/facd026d,CAUSES,enables,"The threat of severe violence pressures the listener, prompting the physical reaction of tilting as part of intimidation or compliance.",-,0.59,0.63,133,134
event/6523413c,event/d50c7eca,CAUSES,enables,"The dip and roll maneuver positions and stabilizes the speaker, allowing him to be held upright by the arms on top of the stone.",+,0.71,0.78,143,145
event/5d0b2307,event/797dd73b,CAUSES,aggravates,"The plea not to act provokes the man to repeat his prior action or demand, intensifying his behavior rather than stopping it.",-,0.62,0.64,62,63
event/76c84292,event/eb0c3532,CAUSES,causes,Actively restraining the young man is what makes it hard to hold him off; the difficulty arises because of the ongoing act of keeping him from harming the other person.,0,0.71,0.84,167,168
event/a3d4bb77,event/dd107795,CAUSES,enables,"His muttered exclamation and moment of consideration precede and set up his spoken threat, reflecting the thought process that leads him to voice that conditional statement.",0,0.6,0.7,105,107
event/d891be15,event/6a91b3a7,CAUSES,aggravates,"The speaker’s statement of intent to get the file prompts the man to escalate pressure by demanding an oath, intensifying the interaction.",+,0.63,0.7,171,174
event/3a504040,event/706c097f,CAUSES,aggravates,"Pip’s fearful shivering and crying makes him more noticeable and irritating to the threatening man, intensifying the man’s hostile reaction and prompting the explicit death threat.",+,0.76,0.81,40,43
event/95a43143,event/c34319de,CAUSES,aggravates,"The man’s intense, almost curse-like insistence heightens the emotional impact of the interaction, making it more memorable and thus contributing to the later recollection of the young man.",+,0.6,0.73,175,179
event/83158509,event/d89b58c1,CAUSES,enables,"Because photographs did not yet exist in their time, the speaker must rely on imagination and stories, which enables the formation of early fancies about what they were like.",0,0.79,0.86,10,11
event/084516f3,event/f5d89757,CAUSES,causes,"The man’s request to be shown where the person lives directly prompts the imperative response to point out the place, reiterating and intensifying the same demand.",+,0.8,0.83,66,67
event/1b72b802,event/e13f2e10,CAUSES,causes,"Being born on their backs metaphorically suggests inherent idleness or passivity, which leads to the habitual posture of standing with hands in pockets as a sign of laziness or nonchalance.",+,0.82,0.86,26,27
event/8ee7e2eb,event/a3d4bb77,CAUSES,causes,"The speaker’s confirming statement prompts the listener to react with a muttered exclamation and thoughtful pause, indicating the statement triggers his consideration.",+,0.77,0.82,103,105
event/8990700b,event/706c097f,CAUSES,causes,"The terrible voice is the initial shouted command that leads directly into the specific threatening order to keep still, functioning as a continuation and escalation of the same speech act.",-,0.85,0.86,41,43
event/49c15961,event/79fb6853,CAUSES,causes,"The first person turning to look for the narrator prompts the narrator to respond by looking back over their shoulder, a reciprocal checking action.",+,0.7,0.77,196,200
event/c3932c02,event/023c9b67,CAUSES,causes,"The man’s poor clothing and broken shoes likely lead to exposure and stumbling, making it easier for him to become covered in mud.",-,0.63,0.68,47,49
event/d50c7eca,event/453b314b,CAUSES,enables,"Holding the narrator upright on the stone physically restrains and positions them, allowing the speaker to continue delivering his fearful speech without interruption or escape.",0,0.64,0.73,145,147
event/9c5e2db1,event/6a91b3a7,CAUSES,enables,"The first speaker’s question prompts or pressures the man to respond, enabling his emphatic directive reply.",+,0.64,0.7,170,174
event/3f0f9b37,event/bcc27092,CAUSES,enables,"Approaching the tombstone puts him in physical proximity and position to grasp and tilt it, making the tilting action possible.",0,0.78,0.82,114,116
event/d47bb26d,event/63141bdd,CAUSES,enables,Her intention to bring him bits of food gives her a reason and motivation to go meet him at the Battery early in the morning.,+,0.64,0.66,172,173
event/870c571b,event/4cb3e9ab,CAUSES,causes,"The man’s exclamation likely prompts immediate action, causing someone to respond by making a short run.",+,0.6,0.64,92,95
event/521ed19d,event/b7555a67,CAUSES,causes,"The increased sense of helplessness directly intensifies the feeling of danger, as lack of control heightens perceived threat.",+,0.78,0.86,125,126
event/facd026d,event/778f70a6,CAUSES,causes,"Tilting the person initiates the motion that directly results in the tremendous dip and roll, as part of a continuous physical movement.",+,0.88,0.89,134,142
event/26cdaf54,event/f6ae651f,CAUSES,causes,The comment about having fat cheeks leads the speaker to form or affirm the belief that their cheeks were fat.,+,0.88,0.9,80,81
event/0d64ea1c,event/6c65ea76,CAUSES,causes,"The man’s threatening gesture frightens the narrator, prompting him to cling more tightly to the tombstone for security.",-,0.76,0.8,85,88
event/53cc1d59,event/720517ba,CAUSES,causes,"Being painfully stung by nettles provokes discomfort and anger, leading the person to glare in reaction.",+,0.71,0.82,52,56
event/fbe8a573,event/3918fbb7,CAUSES,causes,"The fact that the bag contained only a piece of bread leads him to eat that bread, which is his only available food, prompting him to eat it ravenously.",+,0.79,0.86,72,77
event/96feff2f,event/4cb3e9ab,CAUSES,enables,The desire to keep from crying motivates or prompts the character to make a short run as a coping action.,+,0.62,0.63,91,95
event/3f0f9b37,event/09decda8,CAUSES,causes,"Coming closer reduces distance so their gaze can meet more directly and intensely, making his eyes appear to look more powerfully into the narrator’s.",+,0.78,0.84,114,117
event/43693943,event/706c097f,CAUSES,causes,"The man’s sudden appearance among the graves startles and seizes the boy, prompting his threatening command to keep still.",-,0.9,0.93,42,43
event/6ca104b8,event/ddbeb2dc,CAUSES,causes,"The fear of having his throat cut directly motivates and causes the character to plead in terror, expressing the specific words as a reaction to that threat.",-,0.9,0.94,60,61
event/0dfd593f,event/da031a4e,CAUSES,enables,"Being warm in bed makes the person comfortable and unsuspecting, enabling the young man to approach and creep up to him unnoticed.",+,0.65,0.7,161,165
event/294e2044,event/f8a5fd33,CAUSES,enables,"The mental image of a stout, dark, curly-haired man is inferred from the style and wording of the inscription, suggesting that the inscription’s character enables the narrator’s specific idea of his appearance.",+,0.63,0.7,14,15
event/f5d89757,event/a7344f50,CAUSES,enables,"The command to point out the place prompts the narrator to indicate the village’s location, enabling the description of where it lies.",+,0.72,0.85,67,68
event/76c84292,event/d891be15,CAUSES,prevents,"Promising to get him the file placates the young man, helping to keep him from harming the speaker or others at that moment.",-,0.63,0.64,167,171
event/0eb02382,event/96d7094b,CAUSES,enables,"The visible gibbet with chains that once held a pirate suggests the possibility that the figure is the pirate returned to life, enabling that interpretation.",0,0.61,0.72,215,217
event/aab7946a,event/2a37fd23,CAUSES,causes,The threat of violent punishment is conditional on the listener failing to bring the requested items; the failure triggers the gruesome consequence.,-,0.84,0.86,148,151
event/8c73f61e,event/3a504040,CAUSES,enables,"Realizing the fearful, alien nature of the wind and sea heightens the sense of threat, enabling the recognition that the terrified, crying child is Pip by contrast and context.",+,0.47,0.6,37,40
event/62862b69,event/5d0b2307,CAUSES,causes,"The chattering teeth signal intense fear or anxiety, which motivates the speaker to plead, “Pray don’t do it, sir,” in an attempt to stop whatever is frightening him.",+,0.78,0.8,58,62
event/2cb7662a,event/821d1a85,CAUSES,enables,His moving on toward the river situationally enables the subsequent action of picking his way among the stones with sore feet as part of the same continuous movement.,0,0.5,0.69,201,203
event/c9b639c5,event/ae911bda,CAUSES,causes,"Not having seen his father contributes to never seeing any likeness of either parent, as likeness is typically judged by comparison to a known face.",0,0.7,0.76,7,9
