:ID,factor
why_self-identification/5fc1676c,self-identification
why_family_heritage/82d41853,family heritage
why_infant_development/aa189ef2,infant development
why_identity_formation/3392fe90,identity formation
why_search_for_identity/8d7ddad0,search for identity
why_family_connection/48a777a5,family connection
why_loss_and_absence/d4f62924,loss and absence
why_historical_context/b0abac3c,historical context
why_imagination_and_longing/fbb1c62c,imagination and longing
why_fantasy_and_longing/b5b5e844,fantasy and longing
why_childish_reasoning/04c1cd45,childish reasoning
why_memory_of_deceased_brothers/a0bca3fb,memory of deceased brothers
why_understanding_of_life_struggle/756e4fce,understanding of life struggles
why_personal_belief_system/cd27b5e4,personal belief system
why_contemplation_of_life_and_deat/505393c5,contemplation of life and death
why_gaining_a_vivid_impression/648b0473,gaining a vivid impression
why_memorable_experience/739dd2a2,memorable experience
why_realization_of_surroundings/f5fca1a0,realization of surroundings
why_understanding_family_history/37044b7f,understanding family history
why_recognition_of_landscape/e741025b,recognition of landscape
why_recognition_of_landscape/2405519c,recognition of landscape
why_recognition_of_landscape/a9eecaf1,recognition of landscape
why_fear_of_surroundings/a1f59846,fear of surroundings
why_emotional_response_to_fear/a66b96a9,emotional response to fear
why_surprise/bb06bbb1,surprise
why_intimidation/e12d36a5,intimidation
why_fear/efbb0131,fear
why_intimidation/dacfd6bb,intimidation
why_fear/c24a08b0,fear
why_contextual_description/7dc14ab5,contextual description
why_contextual_description/02a267af,contextual description
why_contextual_description/3f735a04,contextual description
why_fear/e18b4d0f,fear
why_fear_of_being_harmed/e777dc0c,fear of being harmed
why_fear_of_death/9ade2f09,fear of death
why_desperation_for_survival/fc51205d,desperation for survival
why_demanding_action/e0958c15,demanding action
why_coercion/469bf444,coercion
why_intimidation/e55ae32a,intimidation
why_demand_for_information/039f76d4,demand for information
why_asserting_control/0a322d2e,asserting control
why_narrative_progression/2db7e2c2,narrative progression
why_curiosity/ff42a13e,curiosity
why_intimidation/26c7a2fc,intimidation
why_search_for_valuables/1baf9fde,search for valuables
why_fear_of_the_man/894e811b,fear of the man
why_suddenness_of_the_event/3c0b5d79,suddenness of the event
why_disorientation/f05bb986,disorientation
why_forceful_action_of_the_man/78d20e48,forceful action of the man
why_fear/dc9e5005,fear
why_hunger/c0d94987,hunger
why_intimidation/5bb09b1d,intimidation
why_self-comparison/2be1ec85,self-comparison
why_self-assessment/7d5572ca,self-assessment
why_threatening_demeanor/7d8e791d,threatening demeanor
why_intimidation/7ec07ecb,intimidation
why_fear_of_magwitch's_actions/9e77ec37,fear of Magwitch's actions
why_to_keep_myself_upon_it/67cfb7be,to keep myself upon it
why_to_keep_myself_from_crying/343da2ff,to keep myself from crying
why_inquiry_about_family/46ea98a9,inquiry about family
why_survival_instinct/f824e2d1,survival instinct
why_reacting_to_previous_event/23aa3389,reacting to previous event
why_fear/bc4d9b94,fear
why_timidity/69b1f754,timidity
why_surprise/916a6138,surprise
why_engagement_in_dialogue/c3db3c9b,engagement in dialogue
why_curiosity_about_family/4215ac76,curiosity about family
why_responding_to_a_question/f2add308,responding to a question
why_intimidation/7ed7a559,intimidation
why_power_dynamics/7d0edba4,power dynamics
why_narrative_progression/7c651111,narrative progression
why_curiosity_about_pip's_professi/5f64bf4b,curiosity about Pip's profession
why_self-assessment_or_injury_reco/f4e126e2,self-assessment or injury recognition
why_curiosity/06d67b25,curiosity
why_intimidation/a64645e6,intimidation
why_control/222e2d50,control
why_intimidation/efa63bd3,intimidation
why_intimidation/9e77e2e1,intimidation
why_fear/76b89c53,fear
why_intimidation/fc1f1cfa,intimidation
why_greater_sense_of_helplessness_/5d8230e4,greater sense of helplessness and danger
why_to_give_a_greater_sense_of_hel/0dd52d80,to give a greater sense of helplessness and danger
why_coercion/8c8b096b,coercion
why_coercion/5cdde11e,coercion
why_coercion/687b0b4e,coercion
why_coercion/9f820bb2,coercion
why_coercion/e8ef7967,coercion
why_fear/3b8d31c8,fear
why_disorientation/dfc3cce8,disorientation
why_fear/275ccf27,fear
why_need_for_support/f01d7471,need for support
why_desire_for_well-being/4ba752f7,desire for well-being
why_desire_for_participation/0c4189da,desire for participation
why_excitement/8dc780a7,excitement
why_control/0b3d5715,control
why_intimidation/7294cc0f,intimidation
why_survival_instinct/1cbb3b62,survival instinct
why_fear/82689a45,fear
why_intimidation/a705ef35,intimidation
why_intimidation/da0c73ac,intimidation
why_intimidation/3ca93020,intimidation
why_narrative_progression/24c5d5e2,narrative progression
why_fear/6d7f9699,fear
why_fear/c7c467f3,fear
why_comfort/da92b8b1,comfort
why_comfort/64caabbb,comfort
why_fear/7738a27b,fear
why_denial/78d16f7e,denial
why_persistence/f9ed943e,persistence
why_threat/39857e12,threat
why_protection/8dc2f4c2,protection
why_struggle/5cf3ea5e,struggle
why_engagement/4a1d2903,engagement
why_commitment_to_help/ad3a90e0,commitment to help
why_commitment_to_help/6371b3fb,commitment to help
why_commitment_to_help/32fcf4b7,commitment to help
why_intimidation/3a7aaeb2,intimidation
why_encouragement_to_remember_resp/aae79541,encouragement to remember responsibility
why_desire_for_safety/9fe04d07,desire for safety
why_desire_for_transformation/9a1e2cc8,desire for transformation
why_assessing_surroundings/74105438,assessing surroundings
why_fear/2aab5374,fear
why_fear_of_the_dead/2bccce33,fear of the dead
why_self-comfort/2aac5e41,self-comfort
why_desire_to_escape/31259f32,desire to escape
why_navigating_obstacles/7fcf5d70,navigating obstacles
why_curiosity/e97bebd1,curiosity
why_desire_to_leave/1637be89,desire to leave
why_urgency_to_escape/31211c83,urgency to escape
why_anxiety/c18d601a,anxiety
why_curiosity/2895abe3,curiosity
why_cold/7f0e0076,cold
why_carefulness_due_to_sore_feet/adfa1e53,carefulness due to sore feet
why_curiosity/ca0277ba,curiosity
why_observation/4155ddb5,observation
why_observation/d8f1743c,observation
why_observation/31c8227a,observation
why_narrative_progression/e47147a7,narrative progression
why_narrative_progression/2b0b3a44,narrative progression
why_narrative_progression/e6671003,narrative progression
why_narrative_progression/e2591869,narrative progression
why_narrative_progression/ead07aa6,narrative progression
why_narrative_progression/5fa6be55,narrative progression
why_narrative_progression/ad85d6a9,narrative progression
why_fear_of_the_young_man/31bc3abc,fear of the young man
why_curiosity_about_the_cattle's_t/7bdbdca1,curiosity about the cattle's thoughts
why_curiosity/ae4398a4,curiosity
why_fear_of_the_young_man/a694496a,fear of the young man
why_relief_from_not_finding_him/667060a3,relief from not finding him
why_fear_of_the_young_man/92923078,fear of the young man
why_fear_of_the_young_man/ba202bf1,fear of the young man
