:START_ID,:END_ID,:TYPE,strength
agent_name_'pip'/5c1ac5b2,event/f03e3517,AFFECTED_IN,1.0
agent_philip_pirrip/c9965e8d,event/c94e9895,AFFECTED_IN,1.0
agent_philip_pirrip/e46e9689,event/d08d256e,AFFECTED_IN,1.0
agent_philip_pirrip/a561a8b9,event/21fd5641,AFFECTED_IN,0.7
agent_philip_pirrip/48686036,event/cb11de79,AFFECTED_IN,0.6
agent_philip_pirrip/8a742cd4,event/bf49e657,AFFECTED_IN,0.9
agent_philip_pirrip/4aa84691,event/eb8e1bf4,AFFECTED_IN,0.3
agent_philip_pirrip/a372b362,event/943d6f9d,AFFECTED_IN,0.6
agent_philip_pirrip/24303e01,event/b77dbe50,AFFECTED_IN,0.9
agent_philip_pirrip/8c47b51c,event/3d2209f9,AFFECTED_IN,1.0
agent_five_little_stone_lozenges/2292bea7,event/f996f4a5,AFFECTED_IN,1.0
agent_five_little_stone_lozenges/a56f255d,event/8f56e35c,AFFECTED_IN,1.0
agent_marshes/5c614efa,event/7457e8c0,AFFECTED_IN,1.0
agent_cattle/aed9cb54,event/3502a40c,AFFECTED_IN,1.0
agent_cattle/6b3124d0,event/f2699605,AFFECTED_IN,1.0
agent_river/a0c2f65c,event/e8d7548a,AFFECTED_IN,1.0
agent_river/d5e1685d,event/113627e2,AFFECTED_IN,0.6
agent_pip/4c8bcd28,event/afd9ead4,AFFECTED_IN,1.0
agent_pip/96000794,event/90f82186,AFFECTED_IN,1.0
agent_pip/87033c0a,event/683d217a,AFFECTED_IN,1.0
agent_pip/1a8563bd,event/d4b3ba3d,AFFECTED_IN,1.0
agent_pip/31788102,event/e795d099,AFFECTED_IN,1.0
agent_convict/cc8d3d9c,event/c2cd321c,AFFECTED_IN,1.0
agent_convict/859e18fc,event/33300d9f,AFFECTED_IN,1.0
agent_convict/0b3cd615,event/74e4ec3b,AFFECTED_IN,1.0
agent_convict/79e40668,event/563c1f45,AFFECTED_IN,1.0
agent_narrator/c0424788,event/f41528d9,AFFECTED_IN,1.0
agent_narrator/3ace2e8e,event/ddf98077,AFFECTED_IN,1.0
agent_narrator/d2ff6407,event/3e5b1c03,AFFECTED_IN,1.0
agent_narrator/10d98eac,event/e250f02e,AFFECTED_IN,1.0
agent_narrator/148b97e5,event/2119561a,AFFECTED_IN,0.8
agent_narrator/538fa007,event/568f5a05,AFFECTED_IN,0.6
agent_narrator/5eba7894,event/01b3f289,AFFECTED_IN,1.0
agent_narrator/8aca8735,event/924bad1e,AFFECTED_IN,1.0
agent_narrator/582f58b0,event/01205b39,AFFECTED_IN,1.0
agent_narrator/f4a2357b,event/bc842ab2,AFFECTED_IN,1.0
agent_narrator/e34825ce,event/1596267d,AFFECTED_IN,1.0
agent_narrator/1b71e887,event/e76ab6c2,AFFECTED_IN,1.0
agent_narrator/dd949a9b,event/9b2f811b,AFFECTED_IN,1.0
agent_narrator/f9b66262,event/10e4fcca,AFFECTED_IN,1.0
agent_narrator/d0a57f0c,event/e46fa1ab,AFFECTED_IN,1.0
agent_narrator/0f5c1fa0,event/cc3c5b2c,AFFECTED_IN,1.0
agent_narrator/dc00dda5,event/b7880c6e,AFFECTED_IN,1.0
agent_narrator/a6b53197,event/d721ba2e,AFFECTED_IN,1.0
agent_narrator/b205b123,event/3b5d10c4,AFFECTED_IN,1.0
agent_narrator/6187887c,event/94b40161,AFFECTED_IN,1.0
agent_narrator/d3b66dae,event/bd898780,AFFECTED_IN,1.0
