:START_ID,:END_ID,:TYPE,relationType,mechanism,sign,weight,confidence,cause_seq,effect_seq
event/b2239ddb,event/24222105,CAUSES,enables,The intention to keep himself upon it motivates or enables the character to make a short run as a means of staying on the object.,+,0.7,0.68,69,73
event/7c13cc53,event/375aed40,CAUSES,aggravates,"The scattered cattle feeding intensifies the unsettling, chaotic atmosphere, contributing to the small bundle of shivers becoming more afraid.",+,0.55,0.57,25,29
event/423ab7b1,event/8fb62fe7,CAUSES,enables,"His return and speaking mark his presence and attention, which sets the stage for him to consider something and mutter “Ha!” in reaction.",0,0.54,0.6,80,83
event/b0e89038,event/e6dfc058,CAUSES,causes,"The man’s accumulated physical suffering and mistreatment provoke an intense, hostile emotional state, leading him to glare in pain and anger.",+,0.83,0.9,36,39
event/3f44d653,event/ecc70151,CAUSES,enables,"Not having seen the father contributes to also not having any likeness of either parent, facilitating the absence of visual knowledge or image.",0,0.63,0.72,5,7
event/ffab9d2e,event/fd463b40,CAUSES,causes,The trembling reflects intense hunger or emotional distress that drives him to eat the bread in a ravenous manner.,+,0.63,0.7,57,58
event/b0e89038,event/45c0cdf3,CAUSES,causes,Physical discomfort and injury from harsh environmental exposure leads him to vocalize his pain and anger by growling.,-,0.97,0.97,36,40
event/3530ff6d,event/9ff33eb4,CAUSES,causes,"The shouted command startles or alerts the man, prompting him to rise from among the graves in response to the loud, threatening voice.",+,0.8,0.86,31,32
event/930ec32e,event/b0e89038,CAUSES,enables,"The man’s fearful, shackled condition implies he is an escaped convict fleeing through harsh terrain, which enables him to become soaked, muddied, lamed, cut, stung, and torn during his escape.",0,0.78,0.81,34,36
event/9ad7c6d4,event/a6f1b76e,CAUSES,causes,"The narrator’s eyes looking helplessly up into his likely makes her feel vulnerable and overpowered, which directly contributes to her feeling dreadfully frightened.",+,0.73,0.77,95,107
event/84259fed,event/fb8c8118,CAUSES,aggravates,"The man’s threat to eat him makes the boy more afraid, increasing his need to cling tightly to the tombstone for safety.",-,0.79,0.83,65,68
event/68197964,event/5505fdd2,CAUSES,enables,"Bringing the lot to the speaker at the old Battery makes it possible for the hidden young man to be with the speaker there, enabling his concealed presence in that location.",+,0.57,0.63,116,120
