:ID,name,eventType,actionType,source_quote,causeWeight,confidence,sequence,chapter,time,location
event/23cd98ed,Pip identifies himself with a name,reflection/emotion,identify,"So, I called myself Pip, and came to be called Pip.",1.0,0.9,0,1,,
event/b760a944,Pip reflects on his family name,reflection/emotion,reflect,"My father’s family name being Pirrip, and my Christian name Philip...",1.0,0.8,1,1,,
event/6a7f14fe,Pip struggles with pronunciation,reflection/emotion,struggle,my infant tongue could make of both names nothing longer or more explicit than Pip.,1.0,0.7,2,1,,
event/3c85710d,Pip identifies his family name,reflection/emotion,give,I give Pirrip as my father’s family name,1.0,0.7,3,1,,
event/f7cc372f,Pip references his father's tombstone,perception/recognition,reference,on the authority of his tombstone,1.0,0.6,4,1,,
event/7c2d8479,Pip mentions his sister,perception/recognition,mention,"and my sister,—Mrs. Joe Gargery, who married the blacksmith.",1.0,0.5,5,1,,
event/f3d7db57,Pip reflects on never seeing his parents,reflection/emotion,reflect,As I never saw my father or my mother,1.0,0.8,6,1,,
event/168b2644,Pip notes the absence of likeness of his parents,perception/recognition,note,and never saw any likeness of either of them,1.0,0.6,7,1,,
event/fb23f5b7,Pip reflects on the time before photographs,reflection/emotion,reflect,(for their days were long before the days of photographs),1.0,0.5,8,1,,
event/3b172c9c,Pip derives fancies about his parents from tombstones,reflection/emotion,derive,my first fancies regarding what they were like were unreasonably derived from their tombstones.,1.0,0.7,9,1,,
event/5c011a34,Pip imagines his father's appearance,reflection/emotion,imagine,"The shape of the letters on my father’s, gave me an odd idea that he was a square, stout, dark man, with curly black hair.",1.0,0.6,10,1,,
event/66b75bb0,Pip draws a conclusion about his mother,reflection/emotion,draw,I drew a childish conclusion that my mother was freckled and sickly.,1.0,0.7,11,1,,
event/3112b56c,Pip perceives the inscription,perception/recognition,perceive,"From the character and turn of the inscription, “_Also Georgiana Wife of the Above_,”",1.0,0.6,12,1,,
event/734dbf9d,Pip perceives the grave markers,perception/recognition,perceive,"To five little stone lozenges, each about a foot and a half long, which were arranged in a neat row beside their grave...",1.0,0.9,13,1,,
event/7b887074,Pip reflects on his deceased brothers,reflection/emotion,reflect,"who gave up trying to get a living, exceedingly early in that universal struggle...",1.0,0.8,14,1,,
event/573e24b1,Pip expresses a belief about his brothers,reflection/emotion,believe,I am indebted for a belief I religiously entertained that they had all been born on their backs with their hands in their trousers-pockets...,1.0,0.8,15,1,,
event/95f60f48,Pip perceives the marsh country,perception/recognition,perceive,"Ours was the marsh country, down by the river, within, as the river wound, twenty miles of the sea.",1.0,0.9,16,1,afternoon towards evening,marsh country
event/8ee9f7cd,Pip reflects on his impression,reflection/emotion,reflect,My first most vivid and broad impression of the identity of things seems to me to have been gained on a memorable raw afternoon towards evening.,1.0,0.8,17,1,,marsh country
event/8e0b3073,Pip recognizes the churchyard,perception/recognition,recognize,I found out for certain that this bleak place overgrown with nettles was the churchyard,1.0,0.9,18,1,,churchyard
event/b33f8cfa,Pip learns about the deceased,perception/recognition,learn,"that Philip Pirrip, late of this parish, and also Georgiana wife of the above, were dead and buried",1.0,0.8,19,1,,churchyard
event/76794ee2,Pip learns about the infant children,perception/recognition,learn,"that Alexander, Bartholomew, Abraham, Tobias, and Roger, infant children of the aforesaid, were also dead and buried",1.0,0.8,20,1,,churchyard
event/39ee4883,Pip perceives the marshes,perception/recognition,perceive,"the dark flat wilderness beyond the churchyard, intersected with dikes and mounds and gates, with scattered cattle feeding on it, was the marshes",1.0,0.7,21,1,,marshes
event/b9aa27a8,Pip perceives the river,perception/recognition,perceive,the low leaden line beyond was the river,1.0,0.7,22,1,,marshes
event/309e2546,Pip perceives the sea,perception/recognition,perceive,the distant savage lair from which the wind was rushing was the sea,1.0,0.7,23,1,,marshes
