:START_ID,:END_ID,:TYPE,relationType,mechanism,weight,confidence,edge_supertype
event/55c7bafd,event/dc1b4df2,CAUSES,INCITING_CAUSE,The Knight's direction led to Mrs. Pocket's upbringing.,0.0,0.8,CAUSAL_PRODUCTION
event/e5e8bb07,event/62fdeb8a,CAUSES,EVENT_ENABLES_NEXT,Wemmick's description led to the tour.,0.0,0.7,CAUSAL_PRODUCTION
event/fb2309a8,event/5b89d684,CAUSES,ACTION_ESCALATION,Camilla's tears led to sobbing.,0.0,0.9,NARRATIVE_ESCALATION
event/b980436d,event/638acfbc,CAUSES,EVENT_ENABLES_NEXT,Pip's visit led to Wemmick's action.,0.0,0.7,CAUSAL_PRODUCTION
event/79ecd6de,event/8f54a0b9,CAUSES,EVENT_ENABLES_NEXT,Pip's request led to Wopsle's response.,0.0,0.7,CAUSAL_PRODUCTION
event/7228d51e,event/d7d44c8b,CAUSES,EVENT_ENABLES_NEXT,Pip's hint led to Jaggers' question.,0.0,0.7,CAUSAL_PRODUCTION
event/92213284,event/3ecf8693,CAUSES,EVENT_ENABLES_NEXT,Herbert's intention to marry Clara once he has capital leads to his eventual marriage.,0.0,0.8,CAUSAL_PRODUCTION
event/6b979a3b,event/2041229c,CAUSES,EVENT_REINFORCEMENT,Jaggers' actions reinforce Sarah Pocket's jealousy.,0.0,0.7,CAUSAL_PRODUCTION
event/918503a5,event/fbfbee8d,CAUSES,EVENT_ENABLES_NEXT,Wemmick's instruction leads to the handshake event.,0.0,0.8,CAUSAL_PRODUCTION
event/92213284,event/e5874855,CAUSES,EVENT_ENABLES_NEXT,Herbert's intention to marry Clara once he has capital leads to his plan to marry her.,0.0,0.8,CAUSAL_PRODUCTION
event/06ee1373,event/e35516e6,CAUSES,EVENT_ENABLES_NEXT,The stranger's inquiry about the church on the marshes prompts the narrator to head towards the marshes.,0.0,0.8,CAUSAL_PRODUCTION
event/d5d17fe8,event/fd27223f,CAUSES,EVENT_ENABLES_NEXT,Pip's explanation about his visit to Richmond leads to Miss Havisham confirming his assumptions.,0.0,0.7,CAUSAL_PRODUCTION
event/cabed2ab,event/175b89f8,CAUSES,EVENT_REINFORCEMENT,Wemmick's guidance reinforces the narrator's gratitude.,0.0,0.6,CAUSAL_PRODUCTION
event/25e40a70,event/e423e26a,CAUSES,CAUSES_REVERSAL,The death of Mr. Havisham's second wife leads to a change in his relationship with his son.,0.0,0.7,NARRATIVE_ESCALATION
event/2c86ed6d,event/bfa54452,CAUSES,EVENT_ENABLES_NEXT,The stranger's inquiry about the church on the marshes prompts the narrator to head towards the marshes.,0.0,0.8,CAUSAL_PRODUCTION
event/1d80bdc8,event/fa98377b,CAUSES,EVENT_ENABLES_NEXT,Pip's explanation about his visit to Richmond leads to Miss Havisham confirming his assumptions.,0.0,0.7,CAUSAL_PRODUCTION
event/94aaaadb,event/bb0a55b9,CAUSES,EVENT_REINFORCEMENT,Wemmick's guidance reinforces the narrator's gratitude.,0.0,0.6,CAUSAL_PRODUCTION
event/98735de8,event/3c714e2c,CAUSES,CAUSES_REVERSAL,The death of Mr. Havisham's second wife leads to a change in his relationship with his son.,0.0,0.7,NARRATIVE_ESCALATION
event/140ed843,event/0ea979c6,CAUSES,EVENT_ENABLES_NEXT,The stranger's inquiry about the church on the marshes prompts the narrator to head towards the marshes.,0.0,0.8,CAUSAL_PRODUCTION
event/4b05efd4,event/9909ecf2,CAUSES,EVENT_ENABLES_NEXT,Pip's explanation about his visit to Richmond leads to Miss Havisham confirming his assumptions.,0.0,0.7,CAUSAL_PRODUCTION
event/263584b9,event/127577d7,CAUSES,EVENT_REINFORCEMENT,Wemmick's guidance reinforces the narrator's gratitude.,0.0,0.6,CAUSAL_PRODUCTION
event/49734bcc,event/bc049a72,CAUSES,CAUSES_REVERSAL,The death of Mr. Havisham's second wife leads to a change in his relationship with his son.,0.0,0.7,NARRATIVE_ESCALATION
event/83df181d,event/c83be5ee,CAUSES,EVENT_ENABLES_NEXT,The stranger's inquiry about the church on the marshes prompts the narrator to head towards the marshes.,0.0,0.8,CAUSAL_PRODUCTION
event/05fc4524,event/1bd9fd3b,CAUSES,EVENT_ENABLES_NEXT,Pip's explanation about his visit to Richmond leads to Miss Havisham confirming his assumptions.,0.0,0.7,CAUSAL_PRODUCTION
event/2547ee20,event/8cf9a5dd,CAUSES,EVENT_REINFORCEMENT,Wemmick's guidance reinforces the narrator's gratitude.,0.0,0.6,CAUSAL_PRODUCTION
event/3f907c49,event/52b20bd9,CAUSES,CAUSES_REVERSAL,The death of Mr. Havisham's second wife leads to a change in his relationship with his son.,0.0,0.7,NARRATIVE_ESCALATION
event/bd3ee928,event/275d7ae9,CAUSES,EVENT_ENABLES_NEXT,The stranger's inquiry about the church on the marshes prompts the narrator to head towards the marshes.,0.0,0.8,CAUSAL_PRODUCTION
event/36e58385,event/e17e43f6,CAUSES,EVENT_ENABLES_NEXT,Pip's explanation about his visit to Richmond leads to Miss Havisham confirming his assumptions.,0.0,0.7,CAUSAL_PRODUCTION
event/aa4fa34a,event/faf5d477,CAUSES,EVENT_REINFORCEMENT,Wemmick's guidance reinforces the narrator's gratitude.,0.0,0.6,CAUSAL_PRODUCTION
event/bc049a72,event/2d4c5eee,CAUSES,CAUSES_REVERSAL,The death of Mr. Havisham's second wife leads to a change in his relationship with his son.,0.0,0.7,NARRATIVE_ESCALATION
event/faf5d477,event/249fb8d4,CAUSES,EVENT_ENABLES_NEXT,The stranger's inquiry about the church on the marshes prompts the narrator to head towards the marshes.,0.0,0.8,CAUSAL_PRODUCTION
event/42f90741,event/9cd6cdf9,CAUSES,EVENT_ENABLES_NEXT,Pip's explanation about his visit to Richmond leads to Miss Havisham confirming his assumptions.,0.0,0.7,CAUSAL_PRODUCTION
event/71a7dbec,event/18b80483,CAUSES,EVENT_REINFORCEMENT,Wemmick's guidance reinforces the narrator's gratitude.,0.0,0.6,CAUSAL_PRODUCTION
event/a94c773d,event/a0cb0cbe,CAUSES,CAUSES_REVERSAL,The death of Mr. Havisham's second wife leads to a change in his relationship with his son.,0.0,0.7,NARRATIVE_ESCALATION
event/90946ea2,event/b13eb570,CAUSES,EVENT_ENABLES_NEXT,The stranger's inquiry about the church on the marshes prompts the narrator to head towards the marshes.,0.0,0.8,CAUSAL_PRODUCTION
