:ID,factor
why_father’s_family_name_is_pirrip/3cc79c9d,Father’s family name is Pirrip and Christian name is Philip
why_infant_tongue_has_limited_abil/13a2f674,Infant tongue has limited ability to form words
why_infant_tongue_can_only_produce/89f95866,Infant tongue can only produce the sound 'Pip'
why_pip_has_already_named_himself_/fc8a147c,Pip has already named himself Pip
why_information_appears_on_his_fat/2f384f2a,Information appears on his father’s tombstone
why_relationship_between_pip’s_sis/f3bf8a77,Relationship between Pip’s sister and the blacksmith
why_pip’s_father_died_before_pip_c/cc3614a0,Pip’s father died before Pip could see him
why_pip’s_mother_died_before_he_co/17d1d2f9,Pip’s mother died before he could see her
why_their_days_were_before_the_day/67f3f94b,Their days were before the days of photographs
why_lack_of_real_images_of_his_par/f9b3dc41,Lack of real images of his parents
why_presence_of_their_tombstones_w/6c619097,Presence of their tombstones with inscriptions and letter shapes
why_shape_of_the_letters_on_his_fa/4f8e7a05,Shape of the letters on his father’s tombstone
why_tombstone_bears_inscription_'a/da4740b2,Tombstone bears inscription 'Also Georgiana Wife of the Above'
why_character_and_turn_of_the_insc/9f1200e9,Character and turn of the inscription about Georgiana
why_harshness_of_'universal_strugg/b93caf2a,Harshness of 'universal struggle' to get a living
why_cultural_practice_of_marking_g/22220b51,Cultural practice of marking graves with stones
why_appearance_and_arrangement_of_/58c53c3c,Appearance and arrangement of the five stone lozenges
why_childish_imagination_about_pos/d3399014,Childish imagination about posture and pockets
why_childish_credulity_and_attachm/5f010293,Childish credulity and attachment to imaginative ideas
why_geographical_surroundings_of_p/4f1a6208,Geographical surroundings of Pip’s home place
why_familiarity_with_local_geograp/21ba6ff1,Familiarity with local geography and river’s winding
why_setting:_a_memorable_raw_after/45073f87,Setting: a memorable raw afternoon towards evening
why_pip’s_developmental_stage_enab/b8a643ca,Pip’s developmental stage enabling broader perception
why_pip_observes_the_bleak_place_o/ea01f806,Pip observes the bleak place overgrown with nettles
why_pip_is_in_or_near_the_churchya/7cb9a337,"Pip is in or near the churchyard, prompting identification"
why_pip_reads_or_knows_the_inscrip/6cd04825,Pip reads or knows the inscription about Philip Pirrip
why_pip’s_reflection_on_graves_in_/18e6c562,Pip’s reflection on graves in the churchyard
why_pip_reads_or_knows_the_inscrip/5d55b513,Pip reads or knows the inscription about Georgiana wife of the above
why_context_of_multiple_family_gra/1bf8aab7,Context of multiple family graves
