:START_ID,:END_ID,:TYPE,weight
event/c4093f0a,why_family_surname_is_pirrip/a34a22a6,PRODUCES_MOTIVATION,0.5
event/c4093f0a,why_christian_name_is_chosen_as_ph/2e44ce81,PRODUCES_MOTIVATION,0.5
event/d984080f,why_philip_pirrip_is_an_infant_wit/1d0219a8,PRODUCES_MOTIVATION,1.0
event/541a51a7,why_philip_pirrip_can_only_articul/49dc4821,PRODUCES_MOTIVATION,0.625
event/541a51a7,why_philip_pirrip_wants_a_usable_s/99c0cd02,PRODUCES_MOTIVATION,0.375
event/094c30c6,why_philip_pirrip_calls_himself_pi/906f180a,PRODUCES_MOTIVATION,0.588
event/094c30c6,why_social_tendency_to_accept_and_/d61e7751,PRODUCES_MOTIVATION,0.412
event/c97ef20e,why_philip_pirrip_is_narrating_his/30a4b137,PRODUCES_MOTIVATION,0.529
event/c97ef20e,why_information_on_tombstone_provi/a5c4bece,PRODUCES_MOTIVATION,0.471
event/b24a09c1,why_lack_of_direct_knowledge_of_hi/ae378196,PRODUCES_MOTIVATION,0.526
event/b24a09c1,why_the_tombstone_explicitly_displ/0a355a12,PRODUCES_MOTIVATION,0.474
event/bb547652,why_philip_pirrip_is_explaining_hi/03ee019c,PRODUCES_MOTIVATION,1.0
event/f413eb65,why_social_custom_and_personal_cho/848ee2a2,PRODUCES_MOTIVATION,1.0
event/08332ce3,why_philip_pirrip's_father_died_be/ce67f932,PRODUCES_MOTIVATION,1.0
event/345bdf2e,why_philip_pirrip's_mother_died_be/fee32e43,PRODUCES_MOTIVATION,1.0
event/40cda722,why_there_were_no_surviving_portra/296cd1e7,PRODUCES_MOTIVATION,1.0
event/b71dd584,why_technological_context:_photogr/4d3d02a5,PRODUCES_MOTIVATION,1.0
event/bfaec07a,why_absence_of_direct_memories_or_/25e42efc,PRODUCES_MOTIVATION,0.526
event/bfaec07a,why_childhood_curiosity_about_his_/17445095,PRODUCES_MOTIVATION,0.474
event/7a44b907,why_adult_philip_pirrip_retrospect/33341e04,PRODUCES_MOTIVATION,1.0
event/4cb5d815,why_tombstones_are_the_only_availa/d99bdcaf,PRODUCES_MOTIVATION,0.526
event/4cb5d815,why_child_philip_pirrip_attempts_t/f9beb9c8,PRODUCES_MOTIVATION,0.474
event/e8f8e11e,why_philip_pirrip_reads_and_visual/7ce8ed6a,PRODUCES_MOTIVATION,1.0
event/05582d53,why_visual_impression_of_the_squar/fb13cd28,PRODUCES_MOTIVATION,0.5
event/05582d53,why_childlike_tendency_to_anthropo/dc566b1f,PRODUCES_MOTIVATION,0.5
event/a2b326ef,why_adult_retrospective_evaluation/93a79ead,PRODUCES_MOTIVATION,1.0
event/fd7aeadd,why_pip_observes_the_character_and/b9f7b494,PRODUCES_MOTIVATION,0.529
