:START_ID,:END_ID,:TYPE,relationType,mechanism,sign,weight,confidence,cause_seq,effect_seq
event/5da2fdf6,event/9a531af4,CAUSES,enables,"Realizing he is in the churchyard and that the shivering child is Pip enables the convict to stop him, physically handle him, and search his pockets for food.",+,0.73,0.8,5,9
event/f1027078,event/1c7540b2,CAUSES,enables,His act of limping toward the low church wall allows the observer to see and interpret his motion as that of the pirate coming back to hook himself up again.,+,0.6,0.71,23,26
event/9a531af4,event/416115f2,CAUSES,aggravates,"Being robbed and threatened increases the narrator’s fear, leading him to cling more tightly to the tombstone and plead more earnestly.",-,0.74,0.82,9,13
event/c48b60b0,event/9c805999,CAUSES,enables,"The boy’s terrified plea prompts the man to pause from threatening him and instead question him, shifting the interaction from immediate violence to interrogation.",+,0.77,0.86,7,14
event/8895c14a,event/61448973,CAUSES,causes,"The man’s observation of the boy’s fat cheeks leads directly to his remark that he could eat them, expressing a mock-threatening reaction to what he has just noticed.",-,0.74,0.86,11,12
event/8895c14a,event/9c805999,CAUSES,enables,"The man’s noticing Pip’s plump cheeks makes him focus on the boy and then question him, prompting him to ask where Pip’s mother is.",+,0.55,0.76,11,14
event/a3e60315,event/0ad53450,CAUSES,enables,The threat and demand for a file and food sets up Pip’s obligation; reminding him of his undertaking and sending him home enables him to fulfill the earlier coerced promise.,+,0.78,0.82,20,22
event/02cd66d5,event/51a46dd8,CAUSES,causes,"The man’s violent threat terrifies the narrator, making him obey, stay seated, and tremble while the man eats the bread.",-,0.96,0.97,6,10
event/d5bbca8e,event/0ad53450,CAUSES,enables,The threats about getting a file and food set up the obligation and fear that allow him to demand Pip remember the undertaking and go home to fulfill it.,+,0.73,0.82,18,22
event/a3e60315,event/1a87a5a8,CAUSES,enables,"The convict’s threat to Pip’s life plants intense fear, which frames how Pip perceives him and his situation; this heightened fear enables Pip’s vivid, morbid interpretation of the convict’s glance as if escaping grasping dead hands.",-,0.61,0.69,20,24
event/5da2fdf6,event/c48b60b0,CAUSES,causes,"Recognizing that the frightening, threatening figure is addressing him personally as Pip in the churchyard confirms the danger, triggering his terrified plea not to have his throat cut.",-,0.78,0.84,5,7
event/a3e60315,event/f1027078,CAUSES,enables,The threat of death conditional on bringing tools and food motivates Pip’s terrified reaction and departure; the demand and threat enable his decision to leave and fetch what was ordered.,-,0.76,0.8,20,23
event/61448973,event/9c805999,CAUSES,enables,"The man’s aggressive remark sets a threatening tone that leads into his interrogation, prompting him to demand where the mother is.",+,0.63,0.7,12,14
event/51a46dd8,event/416115f2,CAUSES,causes,His fear while watching the man ravenously eat the bread leads him to plead more earnestly and cling tighter to the tombstone for safety.,-,0.7,0.78,10,13
event/0ad53450,event/f1027078,CAUSES,causes,"The threatening reminder of Pip’s promise and the young man compels him, out of fear, to leave immediately and head toward the church wall/home.",+,0.86,0.9,22,23
event/c48b60b0,event/51a46dd8,CAUSES,enables,"Pip’s terrified pleading likely softens the convict’s immediate threat, enabling him to spare Pip and instead sit and eat the bread while Pip trembles nearby.",+,0.6,0.74,7,10
event/d5bbca8e,event/a3e60315,CAUSES,causes,"The threat of violence (heart and liver out) motivates the conditional promise of survival if the boy brings the file and food, driving the later statement that he will be let live if he complies.",-,0.85,0.86,18,20
event/5da2fdf6,event/ce1695be,CAUSES,causes,"Recognizing Pip and the churchyard gives the man enough information and confidence to order Pip to reveal where he lives, advancing his interrogation and demands.",+,0.71,0.77,5,8
event/c52f52a1,event/afc7168a,CAUSES,causes,"Because he has never seen his parents and instead imagines them from their tombstones, the child infers his father’s physical appearance from the shape of the letters on the stone.",+,0.9,0.93,1,2
event/f1027078,event/1a87a5a8,CAUSES,enables,"His limping movement toward the churchyard wall, hugging his shuddering body, positions him near the graves and makes it plausible for the narrator to interpret his behavior as if he were evading dead hands pulling at his ankle.",0,0.73,0.79,23,24
event/416115f2,event/3b209be6,CAUSES,enables,The narrator’s plea and clinging to the tombstone prompt the threatening man to reconsider immediate harm and instead question where the narrator lives.,+,0.63,0.71,13,16
event/02cd66d5,event/9a531af4,CAUSES,causes,"The man’s violent threat and seizure of the boy coerce compliance, allowing him to physically grab the boy, turn him upside down, and take the bread to eat.",-,0.9,0.94,6,9
event/c52f52a1,event/5da2fdf6,CAUSES,enables,"Pip’s lack of memories of his parents and reliance on their tombstones sets the context for his identity and perception, enabling the later realization that the bleak churchyard and the shivering child are himself.",0,0.56,0.64,1,5
event/9c805999,event/37186823,CAUSES,causes,"The man’s direct question about the mother prompts the narrator to point her out and explain, leading to the specific response identifying Georgiana as his mother.",+,0.86,0.93,14,15
event/640af074,event/dde423b3,CAUSES,causes,"The convict’s plea about needing to stay upright to not be sick elicits pity and compliance from Pip, prompting him to promise to bring the file and food.",+,0.84,0.87,19,21
event/fb71004a,event/dde423b3,CAUSES,causes,"The convict’s threatening attention to his leg, where his iron is fixed, implies he needs a file to remove it, prompting Pip to promise to bring a file and food.",+,0.88,0.89,17,21
event/d5bbca8e,event/640af074,CAUSES,prevents,"The convict’s violent threats intimidate Pip, discouraging him from collapsing or being sick so he can obey and pay attention; fear suppresses his impulse to be ill or unresponsive.",-,0.56,0.69,18,19
event/c48b60b0,event/9a531af4,CAUSES,enables,"The boy’s terrified plea signals submission and reduces resistance, enabling the assailant to handle him easily, turn him upside down, and rob him while eating the bread.",-,0.74,0.84,7,9
event/640af074,event/a3e60315,CAUSES,enables,"Pip’s plea and apparent vulnerability help move the convict to bargain rather than simply threaten, enabling the specific conditional demand and promise about bringing the file and food.",+,0.64,0.73,19,20
event/dde423b3,event/1a87a5a8,CAUSES,enables,"The speaker’s promise of help (file and food) reassures the man and morally compels him to leave rather than harm the child, enabling him to look away as if escaping the dead’s grasp.",+,0.64,0.69,21,24
event/9a531af4,event/8895c14a,CAUSES,enables,"Having taken the boy’s food and inspected him closely, the man is positioned to notice and comment on his physical appearance, leading to the remark about his fat cheeks.",+,0.56,0.63,9,11
event/02cd66d5,event/c48b60b0,CAUSES,causes,The man’s explicit threat to cut the boy’s throat directly induces the boy’s terrified plea for mercy in response.,-,0.98,0.99,6,7
event/ce1695be,event/61448973,CAUSES,aggravates,"The demand to reveal his home escalates the man’s hostile, predatory attitude, making him express a desire to eat them and shake his head threateningly.",-,0.61,0.63,8,12
event/3b209be6,event/d5bbca8e,CAUSES,causes,"The question about who Pip lives with leads the convict to threaten him into bringing a file and food, using fear to coerce compliance.",-,0.71,0.76,16,18
event/3b209be6,event/a3e60315,CAUSES,causes,"The convict’s initial threat and question about whether Pip will be allowed to live establishes coercion, directly leading to his conditional promise that Pip will be spared if he brings the file and food.",+,0.86,0.86,16,20
event/02cd66d5,event/ce1695be,CAUSES,causes,"The man’s initial violent threat subdues and intimidates the child, prompting the man to continue coercing him by demanding he reveal where he lives.",-,0.71,0.82,6,8
event/51a46dd8,event/61448973,CAUSES,enables,"The boy’s bread alleviates the man’s hunger, prompting him to say he could eat the boy’s hands and liver, turning his hunger into a specific, threatening remark.",+,0.58,0.72,10,12
event/ae92cd87,event/5da2fdf6,CAUSES,enables,"The description of the marsh country situates the narrative setting in which the bleak, nettle-overgrown churchyard exists, enabling the later discovery and identification of Pip in that specific place.",0,0.6,0.7,4,5
event/db77d322,event/6bcf2cfa,CAUSES,causes,"Her frightening thought about the young man and imagining even the cattle shared it heightens her fear, which later leads her to become frightened again and run home without stopping.",+,0.7,0.79,27,28
event/9a531af4,event/51a46dd8,CAUSES,causes,"Being turned upside down and having pockets emptied intimidates and physically manipulates the narrator, resulting in him ending up trembling and seated on the tombstone while the other eats.",-,0.86,0.9,9,10
event/51a46dd8,event/8895c14a,CAUSES,causes,"The convict ravenously eating the bread highlights Pip’s well-fed appearance, prompting the man to notice and comment on his fat cheeks after satisfying his immediate hunger.",+,0.6,0.76,10,11
event/9a531af4,event/61448973,CAUSES,enables,"By turning him upside down and emptying his pockets, the man gains access to the bread, enabling him to eat and then threaten he could eat more.",+,0.7,0.77,9,12
event/c48b60b0,event/ce1695be,CAUSES,enables,"The prisoner’s terrified pleading likely makes the men reconsider killing him and instead decide to extract information, leading them to demand he show where he lives.",+,0.66,0.76,7,8
event/416115f2,event/d5bbca8e,CAUSES,aggravates,The narrator’s resistance and tightening grip on the tombstone likely provoke the threatening character to escalate his intimidation and make harsher demands.,-,0.6,0.63,13,18
event/c48b60b0,event/d5bbca8e,CAUSES,causes,Pip’s terrified pleading and submission prompt the convict to spare him and instead threaten him into bringing a file and food as conditions for not harming him.,+,0.84,0.86,7,18
event/3b209be6,event/640af074,CAUSES,causes,"The threat and rough handling implied in questioning whether she’ll be ‘let to live’ causes physical distress, leading her to ask to stand upright so she won’t be sick and can pay attention.",-,0.73,0.76,16,19
event/dde423b3,event/0ad53450,CAUSES,causes,The speaker’s promise to bring the file and food motivates the other character to sternly remind him of his commitment and send him home to fulfill it.,+,0.77,0.8,21,22
event/ce1695be,event/51a46dd8,CAUSES,causes,"The man’s demand to see where he lives intimidates the narrator, leading him to sit fearfully on a tombstone and tremble while the man eats.",-,0.8,0.86,8,10
event/fb71004a,event/d5bbca8e,CAUSES,enables,"Realizing the boy’s connection to the blacksmith suggests access to tools and food, prompting the convict to threaten him to obtain a file and vittles.",+,0.7,0.74,17,18
event/fb71004a,event/a3e60315,CAUSES,causes,"Realizing Pip’s connection to a blacksmith leads the convict to coerce him into bringing a file and food, using the threat of death as leverage.",+,0.83,0.86,17,20
event/8895c14a,event/416115f2,CAUSES,causes,"The man’s threatening comment about the boy’s fat cheeks implies potential harm, prompting the boy to respond by pleading and gripping the tombstone more tightly out of fear.",-,0.9,0.9,11,13
event/9c805999,event/3b209be6,CAUSES,enables,"The man begins interrogating the child by asking about his mother, which initiates the questioning that leads to his follow-up question about who the child lives with.",0,0.7,0.81,14,16
event/1a87a5a8,event/6bcf2cfa,CAUSES,causes,"The man’s haunted, fearful look suggests pursuit by dead people, instilling fear in the narrator, which leads him to look around anxiously, fail to find the man, become frightened, and run home.",+,0.77,0.78,24,28
event/61448973,event/3b209be6,CAUSES,causes,The man’s threatening remark about being able to eat them sets a menacing tone that leads directly into his follow-up question about whether they’ll be allowed to live and whom they live with.,-,0.78,0.78,12,16
event/dde423b3,event/f1027078,CAUSES,enables,"The promise of help (file and food) gives him motive and perhaps hope, enabling him to move away toward the wall rather than remain passive.",+,0.54,0.68,21,23
event/1c7540b2,event/db77d322,CAUSES,causes,"The narrator’s perception of the limping man as resembling the pirate directly triggers his terrifying thought, which in turn produces the emotional reaction described.",-,0.86,0.88,26,27
event/c52f52a1,event/84ac3fcf,CAUSES,causes,"Lacking real memories or images of his parents, he uses tombstone engravings as his only visual reference, leading him to form an imaginative but mistaken belief about how they looked and were born.",+,0.86,0.93,1,3
event/d611eb16,event/db77d322,CAUSES,enables,"The ominous description of the marshes and sky creates a threatening, uncanny atmosphere that facilitates the narrator’s fearful interpretation and emotional shock when imagining others sharing that perception.",-,0.7,0.74,25,27
event/9c805999,event/d5bbca8e,CAUSES,enables,The man demands to know where the boy’s mother is to ensure privacy/control before threatening him for a file and food; this prior inquiry helps him secure the boy’s full attention and compliance.,+,0.61,0.7,14,18
event/61448973,event/416115f2,CAUSES,causes,"The man’s threatening remark about eating them frightens the narrator, prompting a verbal plea and a physical reaction of gripping the tombstone tighter.",-,0.8,0.86,12,13
event/1c7540b2,event/6bcf2cfa,CAUSES,causes,"The limping man’s approach, resembling the pirate, intensifies the narrator’s fear, prompting them to become frightened again and run home without stopping.",+,0.8,0.82,26,28
event/fb71004a,event/640af074,CAUSES,enables,"The authority figure’s focus on the boy (noticing him and his leg) prompts the boy’s request to remain upright, which he believes will help him avoid sickness and pay better attention.",+,0.43,0.64,17,19
event/ce1695be,event/9a531af4,CAUSES,causes,"The man’s demand to see where the speaker lives implies coercion and threat, which leads to physically overpowering the speaker, turning him upside down, and taking his possessions and food.",-,0.84,0.8,8,9
event/a3e60315,event/dde423b3,CAUSES,causes,"The convict’s threat of death if Pip does not bring a file and food directly motivates Pip’s promise to obtain them, making the demand and threat the cause of his decision.",+,0.99,0.98,20,21
event/d611eb16,event/6bcf2cfa,CAUSES,enables,"The eerie, threatening appearance of the marshes and sky heightens the narrator’s sense of danger and vulnerability, enabling and intensifying his fear and prompting his decision to run home.",-,0.78,0.82,25,28
event/1a87a5a8,event/db77d322,CAUSES,causes,"His eerie, death-evading manner of looking at the narrator prompts the narrator’s disturbing interpretation, which in turn triggers the emotional shock and wondering about the cattle’s thoughts.",-,0.73,0.79,24,27
event/d5bbca8e,event/dde423b3,CAUSES,causes,"The convict threatens violence if the boy does not bring a file and food, directly prompting the boy’s promise to get those items.",-,0.97,0.97,18,21
