:START_ID,:END_ID,:TYPE,weight
event/5e124441,why_infant_inability_to_pronounce_/7782a58a,PRODUCES_MOTIVATION,0.533
event/5e124441,why_the_given_family_and_christian/132c10c7,PRODUCES_MOTIVATION,0.467
event/c52f52a1,why_pip_never_saw_his_parents_or_a/e690bfd7,PRODUCES_MOTIVATION,0.562
event/c52f52a1,why_information_provided_by_his_si/5580f4c7,PRODUCES_MOTIVATION,0.437
event/afc7168a,why_childish_tendency_to_derive_ch/4abf1e63,PRODUCES_MOTIVATION,0.533
event/afc7168a,why_lack_of_realistic_images_in_an/3b2fe38e,PRODUCES_MOTIVATION,0.467
event/84ac3fcf,why_childlike_anthropomorphizing_o/fd4c7567,PRODUCES_MOTIVATION,0.533
event/84ac3fcf,why_desire_to_make_sense_of_death_/0ae1caba,PRODUCES_MOTIVATION,0.467
event/ae92cd87,why_desire_to_frame_his_earliest_s/d25cc044,PRODUCES_MOTIVATION,0.562
event/ae92cd87,why_geographical_context_of_pip’s_/66461833,PRODUCES_MOTIVATION,0.437
event/5da2fdf6,"why_pip_is_alone_in_a_bleak,_frigh/d62b910d",PRODUCES_MOTIVATION,0.533
event/5da2fdf6,why_the_narrator_retrospectively_c/6a32fc7d,PRODUCES_MOTIVATION,0.467
event/02cd66d5,why_the_escaped_convict_needs_to_c/5b10e2c9,PRODUCES_MOTIVATION,0.529
event/02cd66d5,why_the_author_introduces_a_menaci/868b97ec,PRODUCES_MOTIVATION,0.471
event/c48b60b0,why_the_convict’s_violent_threat_a/ee53c917,PRODUCES_MOTIVATION,1.0
event/ce1695be,why_the_man_needs_information_abou/d110b623,PRODUCES_MOTIVATION,0.533
event/ce1695be,"why_the_man's_fugitive,_desperate_/35405a7c",PRODUCES_MOTIVATION,0.467
event/9a531af4,why_the_man_is_hungry_and_desperat/22a520d6,PRODUCES_MOTIVATION,0.562
event/9a531af4,why_physical_domination_is_used_to/d6e58085,PRODUCES_MOTIVATION,0.437
event/51a46dd8,"why_the_man's_sudden,_violent_hand/ffeb2b4c",PRODUCES_MOTIVATION,0.6
event/51a46dd8,why_the_graveyard_and_tombstone_se/0378b6dc,PRODUCES_MOTIVATION,0.4
event/8895c14a,why_the_man’s_hunger_makes_him_foc/b9e0b0a7,PRODUCES_MOTIVATION,0.467
event/8895c14a,why_the_comment_underscores_the_co/446aa2e7,PRODUCES_MOTIVATION,0.533
event/61448973,why_the_man_wants_to_intimidate_th/9d89011e,PRODUCES_MOTIVATION,0.533
event/61448973,why_the_man_is_a_desperate_escaped/f1d688bb,PRODUCES_MOTIVATION,0.467
event/416115f2,why_pip_is_frightened_by_the_man’s/0a7038d3,PRODUCES_MOTIVATION,1.0
event/9c805999,why_the_man_is_probing_pip’s_famil/a33bdde5,PRODUCES_MOTIVATION,1.0
event/37186823,why_pip_answers_the_man’s_question/088df3a0,PRODUCES_MOTIVATION,0.5
event/37186823,why_pip’s_orphaned_status_is_revea/b04414c8,PRODUCES_MOTIVATION,0.5
event/3b209be6,why_the_man_needs_to_know_who_pip_/809e785f,PRODUCES_MOTIVATION,0.381
event/3b209be6,why_the_man_is_evaluating_pip's_so/3b454e7a,PRODUCES_MOTIVATION,0.333
event/3b209be6,why_introducing_pip’s_guardians_an/185a549d,PRODUCES_MOTIVATION,0.286
event/fb71004a,why_a_blacksmith_is_directly_relev/f4e37dd5,PRODUCES_MOTIVATION,0.391
event/fb71004a,why_the_man_is_likely_a_convict_as/9a77925e,PRODUCES_MOTIVATION,0.348
event/fb71004a,why_foreshadowing_future_involveme/8fc48d2e,PRODUCES_MOTIVATION,0.261
event/d5bbca8e,why_convict_needs_a_file_to_remove/b1f13e96,PRODUCES_MOTIVATION,0.364
event/d5bbca8e,why_pip_is_a_vulnerable_child_alon/0a59feb7,PRODUCES_MOTIVATION,0.318
event/d5bbca8e,why_the_convict_uses_physical_domi/8a890ec2,PRODUCES_MOTIVATION,0.318
event/640af074,"why_pip_feels_intense_fear,_giddin/fd6875f4",PRODUCES_MOTIVATION,0.562
event/640af074,why_pip_believes_that_being_allowe/d9cd15cb,PRODUCES_MOTIVATION,0.437
event/a3e60315,why_convict_needs_a_file_and_food_/cd1f07ae,PRODUCES_MOTIVATION,0.375
event/a3e60315,why_use_of_terrifying_threats_and_/c87e8f57,PRODUCES_MOTIVATION,0.333
event/a3e60315,why_pip’s_fear_and_vulnerability_a/55a9ad74,PRODUCES_MOTIVATION,0.292
event/dde423b3,why_pip_is_terrified_by_threats_of/3feafc2e,PRODUCES_MOTIVATION,0.528
event/dde423b3,why_power_imbalance_between_a_smal/3a1f26c6,PRODUCES_MOTIVATION,0.472
event/0ad53450,why_the_man_depends_on_pip_to_brin/fd5f8c35,PRODUCES_MOTIVATION,0.562
event/0ad53450,why_threat_of_the_'young_man'_is_u/268b0e99,PRODUCES_MOTIVATION,0.437
