:ID,name
place_churchyard/fff2a162,churchyard
place_churchyard/d33d17b4,churchyard
place_beside_his_parents’_grave/bef9c1c7,beside his parents’ grave
"place_marsh_country_by_the_river,_near_the_sea/94769b37","marsh country by the river, near the sea"
place_churchyard_and_adjacent_marshes_by_the_river_and_sea/8b915d92,churchyard and adjacent marshes by the river and sea
place_churchyard_near_the_church_porch/fd11406f,churchyard near the church porch
place_churchyard/b93c291c,churchyard
place_graveyard_overlooking_village/48b03b34,Graveyard overlooking village
place_graveyard_(on_a_high_tombstone)/c1fde63b,Graveyard (on a high tombstone)
place_on_a_high_tombstone_in_the_churchyard/84e3abbf,On a high tombstone in the churchyard
place_graveyard/6db558cd,Graveyard
place_churchyard_(by_the_tombstones)/18f432ff,churchyard (by the tombstones)
place_churchyard_(on_a_tombstone)/c924224f,churchyard (on a tombstone)
place_churchyard/aa423332,churchyard
place_by_his_mother’s_tombstone/51c4288c,by his mother’s tombstone
place_graveyard_(implicit_from_context_of_parents'_graves)/263a7224,Graveyard (implicit from context of parents' graves)
place_graveyard_(same_setting)/08796d94,Graveyard (same setting)
place_churchyard_by_pip's_family_tombstone/46c07f46,Churchyard by Pip's family tombstone
place_churchyard_by_pip's_family_tombstone/4657c772,Churchyard by Pip's family tombstone
place_graveyard_near_the_old_battery/e65ae8a3,Graveyard near the old Battery
place_graveyard_near_the_old_battery/77f0a11d,Graveyard near the old Battery
place_churchyard_on_the_marshes/030c8414,churchyard on the marshes
place_from_the_churchyard_towards_the_river_across_the_marshes/491df38f,from the churchyard towards the river across the marshes
place_churchyard_and_view_over_the_marshes/e9d0c42c,churchyard and view over the marshes
place_marshes_and_river_horizon/2d9d639f,marshes and river horizon
place_edge_of_the_river_near_the_beacon_and_gibbet/bbfd1a9b,edge of the river near the beacon and gibbet
place_marshes_near_the_river/942d5ded,marshes near the river
place_from_the_marshes_to_home/8f9681c7,from the marshes to home
