:START_ID,:END_ID,:TYPE,weight
why_self-identification_at_the_sta/4d3a522a,event/da5e455c,MOTIVATES,1.0
why_infant_speech_limitation_prono/62804473,event/f48376a6,MOTIVATES,1.0
why_reliance_on_physical_inscripti/3814db80,event/b1ecb6d3,MOTIVATES,1.0
why_marital_union_(stated_as_fact)/fd9356e7,event/21b0ff15,MOTIVATES,1.0
why_their_lives_were_before_photog/ae88e298,event/fe262c0f,MOTIVATES,1.0
why_absence_of_photographs_and_per/1b65f1d0,event/5dcb93c5,MOTIVATES,1.0
why_inference_from_inscription_let/871a311f,event/ac3ad326,MOTIVATES,1.0
why_childish_inference_from_wordin/6997c186,event/41d98a2d,MOTIVATES,1.0
why_childish_imagination_prompted/a95b229e,event/c3da3699,MOTIVATES,1.0
why_childhood_realization_of_surro/5c0e140a,event/11f23c14,MOTIVATES,1.0
why_reading_and_understanding_the/87192bdd,event/31b767ce,MOTIVATES,1.0
why_recognition_of_the_five_little/21448135,event/79d8fec1,MOTIVATES,1.0
why_observation_and_identification/4d76b573,event/4709db0c,MOTIVATES,1.0
why_self-recognition_amid_fear/74b56d24,event/1030011c,MOTIVATES,1.0
why_fear_of_the_bleak_surroundings/0e8ba390,event/ddd33616,MOTIVATES,1.0
why_attempting_to_confront_or_inte/ef6b3ea5,event/50c98f01,MOTIVATES,1.0
why_narrative_presentation_of_abel/5cdc5e16,event/71899cf6,MOTIVATES,1.0
"why_exposure,_injury,_and_desperat/5087220d",event/dced6ad2,MOTIVATES,1.0
why_desire_to_silence_philip_pirri/506dfe9d,event/1f27c7ae,MOTIVATES,1.0
why_intimidation_and_control_durin/085bae67,event/384e1efb,MOTIVATES,1.0
why_fear_of_abel_magwitch’s_threat/1475185c,event/6badbb21,MOTIVATES,1.0
why_fear/5354286f,event/a1394c97,MOTIVATES,1.0
why_appeal_for_mercy/af5e47aa,event/a1394c97,MOTIVATES,1.0
why_interrogation/b06e4fb8,event/bf96f55d,MOTIVATES,1.0
why_control/13ddf54a,event/bf96f55d,MOTIVATES,1.0
why_compliance_under_threat/db91ebe8,event/66630aec,MOTIVATES,1.0
why_intimidation/bed6c9a6,event/2812a7db,MOTIVATES,1.0
why_interrogation/3a22cf0a,event/2812a7db,MOTIVATES,1.0
why_compliance_under_threat/ba1e7936,event/bd312622,MOTIVATES,1.0
why_interrogation/905fa81c,event/11e59813,MOTIVATES,1.0
why_establish_control/995b65e3,event/11e59813,MOTIVATES,1.0
why_compliance_under_threat/40ecc288,event/b884f738,MOTIVATES,1.0
why_search_for_food_or_tools/039c440e,event/d5ecc23e,MOTIVATES,1.0
why_desperation/a96c2b76,event/d5ecc23e,MOTIVATES,1.0
why_control/c18bf798,event/6c758760,MOTIVATES,1.0
why_to_immobilize_philip_pirrip/226f17a6,event/6c758760,MOTIVATES,1.0
why_hunger/c34e9b3f,event/1f73f96c,MOTIVATES,1.0
why_survival/21eafd55,event/1f73f96c,MOTIVATES,1.0
why_fear/f7fa36ea,event/3c7cdbd2,MOTIVATES,1.0
why_shock/78711613,event/3c7cdbd2,MOTIVATES,1.0
why_intimidation/264f6796,event/23a043b6,MOTIVATES,1.0
why_mockery/ab4b79c4,event/23a043b6,MOTIVATES,1.0
why_threat/c3c63452,event/0942097e,MOTIVATES,1.0
why_intimidation/f7ce4a85,event/0942097e,MOTIVATES,1.0
why_fear/f88120a8,event/e9fb8bb5,MOTIVATES,1.0
