:ID,name,eventType,actionType,source_quote,causeWeight,confidence,sequence,chapter,time,location
event/5e124441,Pip names himself from his mispronunciation of Philip Pirrip,reflection/emotion,identify,"My infant tongue could make of both names nothing longer or more explicit than Pip. So, I called myself Pip, and came to be called Pip.",1.0,1.0,0,1,infancy/early childhood,
event/c52f52a1,Pip explains knowledge of his parents through his sister and tombstones,reflection/emotion,explain,"As I never saw my father or my mother, and never saw any likeness of either of them, my first fancies regarding what they were like were unreasonably derived from their tombstones.",0.9990000000000001,0.96,1,1,childhood (after parents’ deaths),churchyard
event/afc7168a,Pip forms childish imaginary portraits of his parents from inscriptions,perception/recognition,imagine,"The shape of the letters on my father’s, gave me an odd idea that he was a square, stout, dark man, with curly black hair.",1.0,0.96,2,1,early childhood,churchyard
event/84ac3fcf,Pip imagines his dead brothers’ lives from their small gravestones,perception/recognition,believe,I am indebted for a belief I religiously entertained that they had all been born on their backs with their hands in their trousers-pockets.,1.0,0.95,3,1,early childhood,beside his parents’ grave
event/ae92cd87,Pip situates his childhood in the marsh country and recalls a vivid afternoon,reflection/emotion,recall,"Ours was the marsh country, down by the river, within, as the river wound, twenty miles of the sea.",0.9990000000000001,0.94,4,1,a memorable raw afternoon towards evening,"marsh country by the river, near the sea"
event/5da2fdf6,"Pip recognizes the graveyard, surrounding landscape, and his own identity",perception/recognition,realize,I found out for certain that this bleak place overgrown with nettles was the churchyard... and that the small bundle of shivers... was Pip.,1.0,0.96,5,1,unspecified childhood moment,churchyard and adjacent marshes by the river and sea
event/02cd66d5,A terrifying convict suddenly confronts Pip in the graveyard,conflict/threat,threaten,"“Hold your noise!” cried a terrible voice, as a man started up from among the graves... “Keep still, you little devil, or I’ll cut your throat!”",1.0,0.97,6,1,immediately after Pip’s fearful recognition of the setting,churchyard near the church porch
event/c48b60b0,"Pip pleads for his life, revealing his terror before the convict",reflection/emotion,plead,"“Oh! Don’t cut my throat, sir,” I pleaded in terror. “Pray don’t do it, sir.”",1.0,0.94,7,1,moments after the convict’s threat,churchyard
event/ce1695be,Convict forces Pip to reveal where he lives,conflict/threat,coerce,"“Show us where you live,” said the man. “Pint out the place!”",1.0,0.96,8,1,Continuous present of the scene,Graveyard overlooking village
event/9a531af4,Convict searches Pip and eats his bread,action,rob,"turned me upside down, and emptied my pockets... while he ate the bread ravenously.",0.9990000000000001,0.97,9,1,Immediately after Pip points out the village,Graveyard (on a high tombstone)
event/51a46dd8,Pip trembles while observing the man's roughness and hunger,reflection/emotion,fear,"I was seated on a high tombstone, trembling while he ate the bread ravenously.",1.0,0.93,10,1,During and after the man's search and eating,On a high tombstone in the churchyard
event/8895c14a,Man comments on Pip’s physical appearance,encounter/dialogue,remark,"“You young dog,” said the man, licking his lips, “what fat cheeks you ha’ got.”",1.0,0.9,11,1,After eating the bread,Graveyard
event/61448973,The man threatens to eat the child,conflict/threat,threaten,"“Darn me if I couldn’t eat ’em,” said the man, with a threatening shake of his head...",1.0,0.9,12,1,,churchyard (by the tombstones)
event/416115f2,Pip clings to the tombstone to steady himself and suppress tears,reflection/emotion,endure,"I earnestly expressed my hope that he wouldn’t, and held tighter to the tombstone...",1.0,0.86,13,1,,churchyard (on a tombstone)
event/9c805999,The man demands to know where Pip’s mother is,encounter/dialogue,question,“Now lookee here!” said the man. “Where’s your mother?”,1.0,0.9,14,1,,churchyard
event/37186823,Pip reveals his mother is buried in the churchyard,perception/recognition,indicate,"“There, sir!” I timidly explained. “Also Georgiana. That’s my mother.”",1.0,0.95,15,1,,by his mother’s tombstone
event/3b209be6,Stranger questions Pip about his parents and guardians,encounter/dialogue,question,"“Who d’ye live with,—supposin’ you’re kindly let to live, which I han’t made up my mind about?”",1.0,0.92,16,1,Present conversation,Graveyard (implicit from context of parents' graves)
