:ID,factor
why_self-identification_at_the_sta/4d3a522a,Self-identification at the start of narration
why_infant_speech_limitation_prono/62804473,Infant speech limitation pronouncing his names
why_reliance_on_physical_inscripti/3814db80,Reliance on physical inscription and Mrs. Joe Gargery’s testimony
why_marital_union_(stated_as_fact)/fd9356e7,Marital union (stated as fact)
why_their_lives_were_before_photog/ae88e298,Their lives were before photographs and Philip Pirrip’s lack of firsthand memory
why_absence_of_photographs_and_per/1b65f1d0,Absence of photographs and personal memories
why_inference_from_inscription_let/871a311f,Inference from inscription letterforms
why_childish_inference_from_wordin/6997c186,Childish inference from wording of the inscription
why_childish_imagination_prompted/a95b229e,Childish imagination prompted by grave markers
why_childhood_realization_of_surro/5c0e140a,Childhood realization of surroundings
why_reading_and_understanding_the/87192bdd,Reading and understanding the tombstone inscriptions
why_recognition_of_the_five_little/21448135,Recognition of the five little stone lozenges as graves
why_observation_and_identification/4d76b573,Observation and identification of the landscape
why_self-recognition_amid_fear/74b56d24,Self-recognition amid fear
why_fear_of_the_bleak_surroundings/0e8ba390,Fear of the bleak surroundings and thoughts of death
why_attempting_to_confront_or_inte/ef6b3ea5,Attempting to confront or intercept Philip Pirrip
why_narrative_presentation_of_abel/5cdc5e16,Narrative presentation of Abel Magwitch’s condition and appearance
"why_exposure,_injury,_and_desperat/5087220d","Exposure, injury, and desperation"
why_desire_to_silence_philip_pirri/506dfe9d,Desire to silence Philip Pirrip and avoid detection
why_intimidation_and_control_durin/085bae67,Intimidation and control during the confrontation
why_fear_of_abel_magwitch’s_threat/1475185c,Fear of Abel Magwitch’s threat to kill him
why_fear/5354286f,Fear
why_appeal_for_mercy/af5e47aa,Appeal for mercy
why_interrogation/b06e4fb8,Interrogation
why_control/13ddf54a,Control
why_compliance_under_threat/db91ebe8,Compliance under threat
why_intimidation/bed6c9a6,Intimidation
why_interrogation/3a22cf0a,Interrogation
why_compliance_under_threat/ba1e7936,Compliance under threat
why_interrogation/905fa81c,Interrogation
why_establish_control/995b65e3,Establish control
why_compliance_under_threat/40ecc288,Compliance under threat
why_search_for_food_or_tools/039c440e,Search for food or tools
why_desperation/a96c2b76,Desperation
why_control/c18bf798,Control
why_to_immobilize_philip_pirrip/226f17a6,To immobilize Philip Pirrip
why_hunger/c34e9b3f,Hunger
why_survival/21eafd55,Survival
why_fear/f7fa36ea,Fear
why_shock/78711613,Shock
why_intimidation/264f6796,Intimidation
why_mockery/ab4b79c4,Mockery
why_threat/c3c63452,Threat
why_intimidation/f7ce4a85,Intimidation
why_fear/f88120a8,Fear
why_self-preservation/94cf8573,Self-preservation
why_fear/8332655c,Fear
why_distress/ef17f711,Distress
why_interrogation/a07adcb5,Interrogation
why_compliance_under_threat/dd1c8a9a,Compliance under threat
why_clarification/3b829323,Clarification
why_alarm/28697931,Alarm
why_caution_against_being_seen_or/16db6d10,Caution against being seen or pursued
why_clarification/88d6f6e5,Clarification
why_compliance_under_threat/4bc3ad28,Compliance under threat
why_resume_interrogation/b840bc74,Resume interrogation
why_interrogation/e07d62c2,Interrogation
why_compliance_under_threat/95523dcf,Compliance under threat
why_weighing_options/b4752b2b,Weighing options
why_planning_next_move/4027b7b0,Planning next move
why_interrogation/1ed22a50,Interrogation
why_coercion/023d1bef,Coercion
why_threat/09c07203,Threat
why_compliance_under_threat/022140d7,Compliance under threat
why_provide_identifying_informatio/ebea0ff0,Provide identifying information
why_concern_about_leg-iron/f3c4c2e4,Concern about leg-iron
why_considering_escape_risk/d190bd29,Considering escape risk
why_intimidation/7232ed2d,Intimidation
why_coercion/3d79c2d1,Coercion
why_coercion/5497ef67,Coercion
why_set_up_demand_for_tools/957555a9,Set up demand for tools
why_compliance_under_threat/87b1ec1d,Compliance under threat
why_coercion/412cb0de,Coercion
why_set_up_demand_for_food/f113e87d,Set up demand for food
why_compliance_under_threat/b7968399,Compliance under threat
why_intimidation/d8c167ec,Intimidation
why_psychological_pressure/ee56289d,Psychological pressure
why_obtain_tool_to_remove_leg-iron/19250b4a,Obtain tool to remove leg-iron
why_coercion/7f9a72e2,Coercion
why_obtain_food/d1ae6de4,Obtain food
why_coercion/cf00293e,Coercion
why_ensure_delivery/6e27abe2,Ensure delivery
why_coercion/be9e41cc,Coercion
why_threat/40f3240b,Threat
why_enforce_compliance/15b24732,Enforce compliance
why_fear/642d3a91,Fear
why_dizziness/d18c5b0b,Dizziness
why_seek_stability/f1490aed,Seek stability
why_nausea_avoidance/03b3d16b,Nausea avoidance
why_attempt_to_negotiate_under_dur/5dbb0be6,Attempt to negotiate under duress
why_assert_dominance/1eaa2fed,Assert dominance
why_control/68bfe2f3,Control
why_partial_compliance_after_intim/b89bf644,Partial compliance after intimidation
why_coercion/4ca985d0,Coercion
why_threatening_control/516ba70e,Threatening control
why_intimidation/c357a024,Intimidation
why_survival_need/96a2c19d,Survival need
why_secrecy/697728fb,Secrecy
why_intimidation/4582a82f,Intimidation
why_coercion/311b519f,Coercion
why_psychological_intimidation/3ed9d3b0,Psychological intimidation
why_deception/047814e8,Deception
why_leverage/10f625a8,Leverage
why_fear_inducement/e32e7548,Fear inducement
why_fear/27826cde,Fear
why_submission_under_duress/56b27db2,Submission under duress
why_coercion/26663574,Coercion
why_ensuring_compliance/90b53176,Ensuring compliance
why_fear/b34a99b7,Fear
why_compulsion/77705774,Compulsion
why_transition_after_oath/2df664b4,Transition after oath
why_maintaining_control/7d4e7bc3,Maintaining control
why_reinforcing_threat/22790876,Reinforcing threat
why_commanding_obedience/d8c1dad7,Commanding obedience
why_politeness_under_duress/f6bf6a4d,Politeness under duress
why_fear/47062548,Fear
why_impatience/80de2499,Impatience
why_focus_on_escape/6d71a419,Focus on escape
why_vigilance/dd1e7908,Vigilance
why_fear_of_discovery/626c9f78,Fear of discovery
why_desire_to_move_easily_in_the_m/77f6bbac,Desire to move easily in the marsh
why_discomfort_with_cold_and_wet/45f7e8ec,Discomfort with cold and wet
why_cold/86cbc01a,Cold
why_pain/aa6201da,Pain
why_exhaustion/bba93661,Exhaustion
why_childhood_fear/03fc86cf,Childhood fear
why_vivid_imagination/38a51cae,Vivid imagination
why_escape/eca30f00,Escape
why_determination/8c795dcc,Determination
why_checking_compliance/cab3fa1c,Checking compliance
why_wariness/1ca51640,Wariness
why_fear/f4db9b6a,Fear
why_obedience_to_command/65c4e18e,Obedience to command
why_anxious_vigilance/4a8b1b39,Anxious vigilance
why_concern_and_fear/ac9c4e9e,Concern and fear
why_abel_magwitch_moving_toward_th/3268a314,Abel Magwitch moving toward the gibbet
why_belief_that_abel_magwitch_was/308bba8d,Belief that Abel Magwitch was a resurrected pirate
why_fear/547d1692,Fear
why_loneliness_and_fear_on_the_mar/4758063b,Loneliness and fear on the marshes
why_concern_about_the_imagined_you/7651a92e,Concern about the imagined young accomplice
why_fear/ac8dab23,Fear
why_anxious_vigilance/025480f2,Anxious vigilance
why_concern_and_fear/1650008b,Concern and fear
why_anxious_vigilance/8be7364b,Anxious vigilance
why_concern_and_fear/6374c7e3,Concern and fear
why_belief_that_abel_magwitch_was_a_resurrected_pirate/b1a108ca,Belief that Abel Magwitch was a resurrected pirate
why_fear/ee242ff7,Fear
