:START_ID,:END_ID,:TYPE,cue,confidence
event/6b1365fd,event/11acc421,EXPLANATION,or,0.8
event/5286b7be,event/540fe936,CONTRAST,but,0.8
event/59480b17,event/c5a5c042,CONTRAST,"but, however",0.7
event/55870039,event/ac1f73ff,CONTRAST,"but, however",0.8
event/c5a5c042,event/af070c89,CONTRAST,"but, however",0.7
event/3ebc1b5d,event/1ba7af76,CONTRAST,"but, however",0.8
event/4876a46c,event/29d31bf8,PARALLELISM,,0.8
event/658e9129,event/6cf5c280,ELABORATION,"so as to, greater sense of",0.9
event/fe95ce12,event/ae63cb75,ELABORATION,"being, you know",0.8
event/7f3b752b,event/67214038,ELABORATION,"because, therefore",0.8
event/57df8a40,event/714ba1c8,CONTRAST,"but, however",0.7
event/4a5c4a28,event/8f82b207,CONTRAST,"not nearly so, nor yet so",0.8
event/714ba1c8,event/7e16a546,CONTRAST,"and, not",0.9
event/af070c89,event/e2a9e9b7,ELABORATION,"that, seems to me",0.7
event/de59c287,event/1506fca0,EXPLANATION,on the authority of,0.8
event/711e3f9e,event/e554578a,ELABORATION,"and, also",0.8
event/097335f4,event/cae9831a,CONTRAST,"if, but",0.7
event/8c576e02,event/6f83feba,EXPLANATION,"to give, therefore",0.85
event/83d0de1c,event/4d0f3d23,CONTRAST,"in comparison with, but",0.8
event/7d089f83,event/a2f58031,ELABORATION,,0.8
event/c7783e24,event/950d3bcd,ELABORATION,"with, among",0.8
event/779a57b7,event/5a9407af,ELABORATION,,0.9
event/ccc0bdae,event/1107b4fc,ELABORATION,"all, with",0.8
event/345a9515,event/ce798fe7,CONTRAST,and,0.8
event/4b5924f1,event/b7fde553,PARALLELISM,,0.85
event/4baac7b8,event/59480b17,ELABORATION,"which, about",0.8
event/5b743135,event/711e3f9e,ELABORATION,"over, up",0.8
event/6330a707,event/bdfe789c,CONTRAST,,0.7
event/4b5924f1,event/8f82b207,CONTRAST,"not nearly so, nor yet so",0.85
event/33cc0f5c,event/0ab8b034,ELABORATION,"in vain, attempt to hide",0.8
event/711e3f9e,event/e719e5a6,CONTRAST,and,0.8
event/0c8b5fd1,event/6f83feba,ELABORATION,"to give, sense of",0.8
