:ID,name,eventType,actionType,source_quote,causeWeight,confidence,sequence,chapter,time,location
event/c4093f0a,Philip Pirrip is given names,other,be named,"My father’s family name being Pirrip, and my Christian name Philip",1.0,0.8443,0,1,"infancy (implicit, birth context)",
event/d984080f,Philip Pirrip cannot pronounce his full names,perception/recognition,be unable to pronounce,my infant tongue could make of both names nothing longer or more explicit than Pip,1.0,0.8143,1,1,as an infant,
event/541a51a7,Philip Pirrip creates the name Pip for himself,transformation,name,"So, I called myself Pip",1.0,0.8727,2,1,as an infant/young child,
event/094c30c6,Others adopt calling Philip Pirrip by the name Pip,communication,name,and came to be called Pip,1.0,0.8555,3,1,after Philip Pirrip starts calling himself Pip,
event/c97ef20e,Philip Pirrip reports giving Pirrip as his father's family name,communication,state,"I give Pirrip as my father’s family name, on the authority of his tombstone",1.0,0.8875,4,1,narrative present (recollection of childhood),
event/b24a09c1,Philip Pirrip relies on tombstone as authority for family name,perception/recognition,rely,on the authority of his tombstone,1.0,0.8743,5,1,childhood (implied),site of Philip Pirrip's father's tombstone
event/bb547652,Philip Pirrip identifies his sister as Mrs. Joe Gargery,communication,identify,"and my sister,—Mrs. Joe Gargery",1.0,0.8712,6,1,narrative present,site of Philip Pirrip's father's tombstone
event/f413eb65,Mrs. Joe Gargery marries Joe Gargery the blacksmith,transformation,marry,"Mrs. Joe Gargery, who married the blacksmith",1.0,0.908,7,1,before main narrated time,site of Philip Pirrip's father's tombstone
event/08332ce3,Philip Pirrip states he never saw his father,communication,state,As I never saw my father,1.0,0.837,8,1,entire lifetime up to narration,site of Philip Pirrip's father's tombstone
event/345bdf2e,Philip Pirrip states he never saw his mother,communication,state,or my mother,1.0,0.7895,9,1,entire lifetime up to narration,site of Philip Pirrip's father's tombstone
event/40cda722,Philip Pirrip reports never seeing any likeness of his parents,communication,state,and never saw any likeness of either of them,1.0,0.8075,10,1,childhood and youth,site of Philip Pirrip's father's tombstone
event/b71dd584,Philip Pirrip recognizes that his parents lived before the era of photographs,perception/recognition,realize,for their days were long before the days of photographs,1.0,0.8374,11,1,narrative present reflection on past,site of Philip Pirrip's father's tombstone
event/bfaec07a,Philip Pirrip forms first fancies about what his parents were like,emotion,imagine,my first fancies regarding what they were like,1.0,0.792,12,1,childhood,site of Philip Pirrip's father's tombstone
event/7a44b907,Philip Pirrip acknowledges his fancies were unreasonably derived from tombstones,perception/recognition,judge,were unreasonably derived from their tombstones,1.0,0.8719,13,1,narrative present reflecting on childhood,site of Philip Pirrip's father's tombstone
event/4cb5d815,Philip Pirrip derives ideas about his parents from their tombstones,perception/recognition,infer,my first fancies... were unreasonably derived from their tombstones,1.0,0.8638,14,1,childhood,churchyard where parents’ tombstones stand
event/e8f8e11e,Philip Pirrip perceives the shape of the letters on his father’s tombstone,perception/recognition,observe,The shape of the letters on my father’s,1.0,0.8995,15,1,childhood,site of Philip Pirrip's father's tombstone
event/05582d53,Philip Pirrip forms an odd idea of his father’s physical appearance from letter shapes,perception/recognition,imagine,"gave me an odd idea that he was a square, stout, dark man, with curly black hair",1.0,0.8664,16,1,childhood,churchyard with father’s tombstone
event/a2b326ef,Philip Pirrip implicitly feels his childhood inference is odd,emotion,feel,"gave me an odd idea that he was a square, stout, dark man",1.0,0.7465,17,1,narrative present reflecting on childhood,churchyard with father’s tombstone
event/fd7aeadd,Pip infers his mother's appearance from the inscription,perception/recognition,infer,"From the character and turn of the inscription, “Also Georgiana Wife of the Above,” I drew a childish conclusion that my mother was freckled and sickly.",1.0,0.8879,18,1,at that moment in Pip's childhood,by the inscription on the tombstone (implied)
event/3765cbcb,Pip forms a mental image of his mother as freckled and sickly,emotion,imagine,I drew a childish conclusion that my mother was freckled and sickly.,1.0,0.8974,19,1,at that moment in Pip's childhood,by the inscription on the tombstone (implied)
event/88ec664a,Narrator notices five little stone lozenges on grave,perception/recognition,notice,"To five little stone lozenges, each about a foot and a half long, which were arranged in a neat row beside their grave",1.0,0.894,20,1,implicit present of recollection,beside their grave
event/3d9919e8,Five brothers die very young,transformation,die,"five little brothers of mine,—who gave up trying to get a living, exceedingly early in that universal struggle",1.0,0.8652,21,1,exceedingly early in life,"implicit, associated with the grave"
event/b0f85149,Narrator infers belief from the stone lozenges,perception/recognition,infer,I am indebted for a belief I religiously entertained that they had all been born on their backs,1.0,0.8014,22,1,"past, during narrator's earlier life","implicit, at or regarding the grave"
event/872625a5,Narrator forms and holds a religiously entertained belief,emotion,believe,I am indebted for a belief I religiously entertained that they had all been born on their backs,1.0,0.8282,23,1,extended period in narrator’s earlier life,"implicit, in narrator’s mind"
event/a86dc7cf,Narrator imagines brothers were born on their backs with hands in trousers-pockets,other,imagine,"that they had all been born on their backs with their hands in their trousers-pockets, and had never taken them out",0.9990000000000001,0.9073,24,1,same period as belief,"implicit, in narrator’s imagination"
event/31a9531e,Narrator judges brothers as never participating in life’s struggle,perception/recognition,judge,and had never taken them out in this state of existence,1.0,0.8073,25,1,narrator’s earlier belief period,"implicit, in narrator’s mind"
event/0934407b,Philip Pirrip has a vivid impression of the identity of things,perception/recognition,perceive,My first most vivid and broad impression of the identity of things seems to me to have been gained on a memorable raw afternoon towards evening.,0.9990000000000001,0.8567,26,1,a memorable raw afternoon towards evening,the marsh country down by the river within twenty miles of the sea
event/ab8d697d,Pip realizes the place is a churchyard,perception/recognition,realize,I found out for certain that this bleak place overgrown with nettles was the churchyard,1.0,0.9164,27,1,At such a time,bleak place overgrown with nettles / churchyard
event/57846c89,Pip learns that Philip Pirrip is dead and buried,perception/recognition,learn,"Philip Pirrip, late of this parish ... were dead and buried",1.0,0.9367,28,1,At such a time,churchyard
event/b7b7b58d,Pip learns that Georgiana Pirrip is dead and buried,perception/recognition,learn,"Georgiana wife of the above, were dead and buried",1.0,0.9103,29,1,At such a time,churchyard
event/1f12e3f7,Pip learns that Alexander Pirrip is dead and buried,perception/recognition,learn,"Alexander ... infant children of the aforesaid, were also dead and buried",1.0,0.8711,30,1,At such a time,churchyard
event/fe5b1b36,Pip learns that Bartholomew Pirrip is dead and buried,perception/recognition,learn,"Bartholomew ... infant children of the aforesaid, were also dead and buried",1.0,0.8762,31,1,At such a time,churchyard
event/3e0e9e40,Pip learns that Abraham Pirrip is dead and buried,perception/recognition,learn,"Abraham ... infant children of the aforesaid, were also dead and buried",1.0,0.8646,32,1,At such a time,churchyard
event/d97b039b,Pip learns that Tobias Pirrip is dead and buried,perception/recognition,learn,"Tobias ... infant children of the aforesaid, were also dead and buried",1.0,0.893,33,1,At such a time,churchyard
event/220fc5ce,Pip learns that Roger Pirrip is dead and buried,perception/recognition,learn,"Roger, infant children of the aforesaid, were also dead and buried",1.0,0.8729,34,1,At such a time,churchyard
event/1f8273aa,Pip recognizes the marshes beyond the churchyard,perception/recognition,recognize,the dark flat wilderness beyond the churchyard ... was the marshes,1.0,0.9289,35,1,At such a time,dark flat wilderness beyond the churchyard / the marshes
